chromosome	Total_genes	Singletons	Duplicated	Pct_Singleton
1.0	2476	197	2279	7.96
2.0	3156	259	2897	8.21
3.0	2684	189	2495	7.04
4.0	2602	219	2383	8.42
5.0	2517	187	2330	7.43
6.0	3284	254	3030	7.73
7.0	2769	193	2576	6.97
8.0	3719	299	3420	8.04
9.0	2900	211	2689	7.28
10.0	3018	263	2755	8.71
11.0	2595	192	2403	7.4
12.0	2443	197	2246	8.06
13.0	3794	307	3487	8.09
14.0	2268	195	2073	8.6
15.0	2806	233	2573	8.3
16.0	2252	214	2038	9.5
17.0	2655	205	2450	7.72
18.0	3062	235	2827	7.67
19.0	2673	218	2455	8.16
20.0	2536	216	2320	8.52
