




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	non_TAGs_high.txt (37331)	non_TAGs_high.txt (expected)	non_TAGs_high.txt (over/under)	non_TAGs_high.txt (fold Enrichment)	non_TAGs_high.txt (raw P-value)	non_TAGs_high.txt (FDR)
positive regulation of protein catabolic process (GO:0045732)	24	24	16.04	+	1.50	9.62E-05	2.75E-04
regulation of mitotic sister chromatid separation (GO:0010965)	31	31	20.72	+	1.50	7.26E-06	2.57E-05
negative regulation of nuclear division (GO:0051784)	24	24	16.04	+	1.50	9.62E-05	2.75E-04
regulation of chromosome separation (GO:1905818)	31	31	20.72	+	1.50	7.26E-06	2.57E-05
negative regulation of chromosome organization (GO:2001251)	24	24	16.04	+	1.50	9.62E-05	2.74E-04
regulation of mitotic nuclear division (GO:0007088)	31	31	20.72	+	1.50	7.26E-06	2.56E-05
regulation of phosphoprotein phosphatase activity (GO:0043666)	12	12	8.02	+	1.50	1.16E-02	2.22E-02
cytoplasmic translational initiation (GO:0002183)	31	31	20.72	+	1.50	7.26E-06	2.56E-05
monoatomic anion transport (GO:0006820)	12	12	8.02	+	1.50	1.16E-02	2.21E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	22	22	14.70	+	1.50	1.70E-04	4.70E-04
regulation of protein catabolic process (GO:0042176)	28	28	18.71	+	1.50	1.97E-05	6.36E-05
positive regulation of cell cycle (GO:0045787)	13	13	8.69	+	1.50	6.88E-03	1.39E-02
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	22	22	14.70	+	1.50	1.70E-04	4.70E-04
regulation of proteolysis involved in protein catabolic process (GO:1903050)	29	29	19.38	+	1.50	1.15E-05	3.88E-05
intracellular pH reduction (GO:0051452)	14	14	9.36	+	1.50	7.41E-03	1.46E-02
Rho protein signal transduction (GO:0007266)	13	13	8.69	+	1.50	6.88E-03	1.39E-02
small GTPase-mediated signal transduction (GO:0007264)	16	16	10.69	+	1.50	2.34E-03	5.04E-03
regulation of nuclear division (GO:0051783)	37	37	24.73	+	1.50	4.80E-07	2.10E-06
hormone biosynthetic process (GO:0042446)	36	36	24.06	+	1.50	8.35E-07	3.53E-06
positive regulation of cell cycle process (GO:0090068)	13	13	8.69	+	1.50	6.88E-03	1.38E-02
regulation of phosphatase activity (GO:0010921)	13	13	8.69	+	1.50	6.88E-03	1.38E-02
regulation of circadian rhythm (GO:0042752)	18	18	12.03	+	1.50	1.51E-03	3.37E-03
negative regulation of chromosome separation (GO:1905819)	22	22	14.70	+	1.50	1.70E-04	4.69E-04
root development (GO:0048364)	13	13	8.69	+	1.50	6.88E-03	1.38E-02
autophagosome maturation (GO:0097352)	23	23	15.37	+	1.50	1.70E-04	4.58E-04
rRNA base methylation (GO:0070475)	27	27	18.05	+	1.50	3.50E-05	1.08E-04
regulation of proteasomal protein catabolic process (GO:0061136)	26	26	17.38	+	1.50	3.43E-05	1.06E-04
vegetative to reproductive phase transition of meristem (GO:0010228)	13	13	8.69	+	1.50	6.88E-03	1.38E-02
fluid transport (GO:0042044)	26	26	17.38	+	1.50	3.43E-05	1.06E-04
