




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	non_TAGs_low.txt (37812)	non_TAGs_low.txt (expected)	non_TAGs_low.txt (over/under)	non_TAGs_low.txt (fold Enrichment)	non_TAGs_low.txt (raw P-value)	non_TAGs_low.txt (FDR)
regulation of proteolysis involved in protein catabolic process (GO:1903050)	29	29	19.63	+	1.48	2.34E-05	7.05E-05
regulation of mitotic sister chromatid separation (GO:0010965)	31	31	20.99	+	1.48	7.68E-06	2.59E-05
regulation of chromosome separation (GO:1905818)	31	31	20.99	+	1.48	7.68E-06	2.58E-05
glycosyl compound metabolic process (GO:1901657)	33	33	22.34	+	1.48	4.84E-06	1.69E-05
spliceosomal snRNP assembly (GO:0000387)	33	33	22.34	+	1.48	4.84E-06	1.69E-05
regulation of mitotic nuclear division (GO:0007088)	31	31	20.99	+	1.48	7.68E-06	2.57E-05
regulation of defense response (GO:0031347)	31	31	20.99	+	1.48	7.68E-06	2.57E-05
cytoplasmic translational initiation (GO:0002183)	31	31	20.99	+	1.48	7.68E-06	2.56E-05
protein localization to cytoskeleton (GO:0044380)	29	29	19.63	+	1.48	2.34E-05	7.03E-05
positive regulation of proteasomal protein catabolic process (GO:1901800)	22	22	14.89	+	1.48	3.07E-04	7.64E-04
nucleoside catabolic process (GO:0009164)	23	23	15.57	+	1.48	1.78E-04	4.63E-04
regulation of protein catabolic process (GO:0042176)	28	28	18.96	+	1.48	2.24E-05	6.78E-05
positive regulation of cell cycle (GO:0045787)	13	13	8.80	+	1.48	1.33E-02	2.43E-02
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	22	22	14.89	+	1.48	3.07E-04	7.63E-04
intracellular pH reduction (GO:0051452)	14	14	9.48	+	1.48	7.35E-03	1.42E-02
positive regulation of protein catabolic process (GO:0045732)	24	24	16.25	+	1.48	1.08E-04	2.91E-04
Rho protein signal transduction (GO:0007266)	13	13	8.80	+	1.48	1.33E-02	2.43E-02
small GTPase-mediated signal transduction (GO:0007264)	16	16	10.83	+	1.48	2.52E-03	5.32E-03
negative regulation of nuclear division (GO:0051784)	24	24	16.25	+	1.48	1.08E-04	2.91E-04
regulation of nuclear division (GO:0051783)	37	37	25.05	+	1.48	1.01E-06	3.82E-06
embryo development (GO:0009790)	14	14	9.48	+	1.48	7.35E-03	1.42E-02
positive regulation of cell cycle process (GO:0090068)	13	13	8.80	+	1.48	1.33E-02	2.42E-02
regulation of phosphatase activity (GO:0010921)	13	13	8.80	+	1.48	1.33E-02	2.42E-02
negative regulation of chromosome separation (GO:1905819)	22	22	14.89	+	1.48	3.07E-04	7.62E-04
root development (GO:0048364)	13	13	8.80	+	1.48	1.33E-02	2.42E-02
NADP metabolic process (GO:0006739)	39	39	26.40	+	1.48	3.34E-07	1.36E-06
autophagosome maturation (GO:0097352)	23	23	15.57	+	1.48	1.78E-04	4.62E-04
regulation of proteasomal protein catabolic process (GO:0061136)	26	26	17.60	+	1.48	6.33E-05	1.79E-04
vegetative to reproductive phase transition of meristem (GO:0010228)	13	13	8.80	+	1.48	1.33E-02	2.41E-02
fluid transport (GO:0042044)	26	26	17.60	+	1.48	6.33E-05	1.79E-04
negative regulation of mitotic sister chromatid segregation (GO:0033048)	22	22	14.89	+	1.48	3.07E-04	7.60E-04
regulation of mitotic sister chromatid segregation (GO:0033047)	22	22	14.89	+	1.48	3.07E-04	7.59E-04
negative regulation of sister chromatid segregation (GO:0033046)	22	22	14.89	+	1.48	3.07E-04	7.58E-04
carotenoid biosynthetic process (GO:0016117)	13	13	8.80	+	1.48	1.33E-02	2.41E-02
rRNA methylation (GO:0031167)	37	37	25.05	+	1.48	1.01E-06	3.81E-06
negative regulation of mitotic sister chromatid separation (GO:2000816)	22	22	14.89	+	1.48	3.07E-04	7.56E-04
regulation of mitotic metaphase/anaphase transition (GO:0030071)	35	35	23.69	+	1.48	1.60E-06	5.96E-06
cell cycle G1/S phase transition (GO:0044843)	12	12	8.12	+	1.48	1.23E-02	2.28E-02
mRNA splice site recognition (GO:0006376)	14	14	9.48	+	1.48	7.35E-03	1.42E-02
negative regulation of chromosome segregation (GO:0051985)	22	22	14.89	+	1.48	3.07E-04	7.55E-04
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	22	22	14.89	+	1.48	3.07E-04	7.54E-04
respiratory chain complex IV assembly (GO:0008535)	13	13	8.80	+	1.48	1.33E-02	2.41E-02
response to wounding (GO:0009611)	30	30	20.31	+	1.48	1.31E-05	4.19E-05
regulation of apoptotic process (GO:0042981)	11	11	7.45	+	1.48	2.08E-02	3.61E-02
mitochondrial cytochrome c oxidase assembly (GO:0033617)	13	13	8.80	+	1.48	1.33E-02	2.40E-02
regulation of microtubule-based process (GO:0032886)	13	13	8.80	+	1.48	1.33E-02	2.40E-02
DNA modification (GO:0006304)	13	13	8.80	+	1.48	1.33E-02	2.40E-02
negative regulation of chromosome organization (GO:2001251)	24	24	16.25	+	1.48	1.08E-04	2.90E-04
G1/S transition of mitotic cell cycle (GO:0000082)	12	12	8.12	+	1.48	1.23E-02	2.28E-02
protein K48-linked deubiquitination (GO:0071108)	13	13	8.80	+	1.48	1.33E-02	2.40E-02
mitotic spindle assembly checkpoint signaling (GO:0007094)	22	22	14.89	+	1.48	3.07E-04	7.52E-04
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	35	35	23.69	+	1.48	1.60E-06	5.95E-06
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	22	22	14.89	+	1.48	3.07E-04	7.51E-04
vacuolar acidification (GO:0007035)	14	14	9.48	+	1.48	7.35E-03	1.41E-02
peroxisome organization (GO:0007031)	43	43	29.11	+	1.48	6.96E-08	3.00E-07
regulation of phosphoprotein phosphatase activity (GO:0043666)	12	12	8.12	+	1.48	1.23E-02	2.27E-02
negative regulation of mitotic nuclear division (GO:0045839)	22	22	14.89	+	1.48	3.07E-04	7.50E-04
pattern specification process (GO:0007389)	23	23	15.57	+	1.48	1.78E-04	4.62E-04
nucleobase-containing small molecule catabolic process (GO:0034656)	23	23	15.57	+	1.48	1.78E-04	4.61E-04
tissue development (GO:0009888)	70	70	47.39	+	1.48	2.07E-12	1.42E-11
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	11	11	7.45	+	1.48	2.08E-02	3.60E-02
intermembrane lipid transfer (GO:0120009)	14	14	9.48	+	1.48	7.35E-03	1.41E-02
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	22	22	14.89	+	1.48	3.07E-04	7.48E-04
poly(A)+ mRNA export from nucleus (GO:0016973)	13	13	8.80	+	1.48	1.33E-02	2.39E-02
chloroplast fission (GO:0010020)	14	14	9.48	+	1.48	7.35E-03	1.41E-02
xylan biosynthetic process (GO:0045492)	47	47	31.82	+	1.48	1.46E-08	6.70E-08
water transport (GO:0006833)	26	26	17.60	+	1.48	6.33E-05	1.78E-04
iron ion transport (GO:0006826)	22	22	14.89	+	1.48	3.07E-04	7.47E-04
monoatomic anion transport (GO:0006820)	12	12	8.12	+	1.48	1.23E-02	2.27E-02
