




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	singletons_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	singletons_high.txt (2030)	singletons_high.txt (expected)	singletons_high.txt (over/under)	singletons_high.txt (fold Enrichment)	singletons_high.txt (raw P-value)	singletons_high.txt (FDR)
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	5	3	.18	+	16.51	4.54E-04	1.05E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	9	5	.33	+	15.29	7.04E-06	3.50E-04
signal transduction in response to DNA damage (GO:0042770)	19	8	.69	+	11.58	1.59E-07	1.16E-05
DNA damage checkpoint signaling (GO:0000077)	19	8	.69	+	11.58	1.59E-07	1.11E-05
mitotic DNA damage checkpoint signaling (GO:0044773)	13	5	.47	+	10.58	6.36E-05	1.93E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	19	6	.69	+	8.69	4.13E-05	1.31E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	16	5	.58	+	8.60	1.97E-04	5.28E-03
mitochondrial respiratory chain complex assembly (GO:0033108)	32	10	1.16	+	8.60	1.22E-07	9.45E-06
mitotic G2/M transition checkpoint (GO:0044818)	16	5	.58	+	8.60	1.97E-04	5.18E-03
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	5	.58	+	8.60	1.97E-04	5.09E-03
DNA integrity checkpoint signaling (GO:0031570)	32	8	1.16	+	6.88	1.45E-05	6.30E-04
cytochrome complex assembly (GO:0017004)	17	4	.62	+	6.47	2.83E-03	4.49E-02
pseudouridine synthesis (GO:0001522)	37	8	1.34	+	5.95	4.52E-05	1.40E-03
regulation of cell cycle G2/M phase transition (GO:1902749)	28	6	1.02	+	5.90	4.33E-04	1.04E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	28	6	1.02	+	5.90	4.33E-04	1.02E-02
base-excision repair (GO:0006284)	47	10	1.71	+	5.85	5.95E-06	3.19E-04
meiotic cell cycle process (GO:1903046)	57	10	2.07	+	4.83	3.57E-05	1.18E-03
tRNA methylation (GO:0030488)	35	6	1.27	+	4.72	1.50E-03	2.55E-02
meiotic nuclear division (GO:0140013)	39	6	1.42	+	4.23	2.67E-03	4.32E-02
meiosis I cell cycle process (GO:0061982)	39	6	1.42	+	4.23	2.67E-03	4.27E-02
cell cycle checkpoint signaling (GO:0000075)	56	8	2.04	+	3.93	9.02E-04	1.91E-02
tRNA modification (GO:0006400)	102	14	3.71	+	3.78	2.00E-05	7.15E-04
