




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Glycine max - REFLIST (55853)	TAGs_high.txt (6826)	TAGs_high.txt (expected)	TAGs_high.txt (over/under)	TAGs_high.txt (fold Enrichment)	TAGs_high.txt (raw P-value)	TAGs_high.txt (FDR)
extracellular space (GO:0005615)	140	67	17.11	+	3.92	4.00E-25	1.23E-23
extracellular region (GO:0005576)	340	155	41.55	+	3.73	1.13E-52	8.34E-51
lytic vacuole (GO:0000323)	132	51	16.13	+	3.16	1.03E-14	2.12E-13
lysosome (GO:0005764)	123	47	15.03	+	3.13	1.82E-13	2.80E-12
cell wall (GO:0005618)	225	69	27.50	+	2.51	1.87E-13	2.76E-12
external encapsulating structure (GO:0030312)	225	69	27.50	+	2.51	1.87E-13	2.66E-12
mRNA cleavage factor complex (GO:0005849)	27	8	3.30	+	2.42	1.29E-02	3.52E-02
plant-type vacuole membrane (GO:0009705)	77	21	9.41	+	2.23	3.18E-04	1.39E-03
plasma membrane (GO:0005886)	2071	521	253.10	+	2.06	9.49E-61	1.76E-58
cell periphery (GO:0071944)	2449	612	299.30	+	2.04	1.71E-70	6.32E-68
anchoring junction (GO:0070161)	290	70	35.44	+	1.98	2.24E-08	1.45E-07
cell-cell junction (GO:0005911)	290	70	35.44	+	1.98	2.24E-08	1.43E-07
cell junction (GO:0030054)	292	70	35.69	+	1.96	2.64E-08	1.63E-07
vacuole (GO:0005773)	441	105	53.90	+	1.95	1.41E-11	1.58E-10
plant-type vacuole (GO:0000325)	94	21	11.49	+	1.83	6.41E-03	2.01E-02
membrane (GO:0016020)	4950	943	604.96	+	1.56	1.95E-47	8.03E-46
cytoplasm (GO:0005737)	8330	828	1018.04	-	.81	1.89E-12	2.33E-11
cytosol (GO:0005829)	1634	157	199.70	-	.79	8.44E-04	3.22E-03
intracellular anatomical structure (GO:0005622)	13022	1114	1591.47	-	.70	1.75E-51	9.26E-50
endomembrane system (GO:0012505)	1995	170	243.82	-	.70	9.41E-08	5.62E-07
intracellular organelle (GO:0043229)	10086	781	1232.65	-	.63	5.85E-57	5.41E-55
organelle (GO:0043226)	10093	781	1233.50	-	.63	3.65E-57	4.50E-55
intracellular membrane-bounded organelle (GO:0043231)	8967	689	1095.89	-	.63	3.14E-51	1.45E-49
membrane-bounded organelle (GO:0043227)	8980	689	1097.48	-	.63	1.58E-51	9.76E-50
bounding membrane of organelle (GO:0098588)	770	56	94.10	-	.60	8.62E-06	4.25E-05
intracellular non-membrane-bounded organelle (GO:0043232)	2169	156	265.08	-	.59	8.61E-15	2.12E-13
non-membrane-bounded organelle (GO:0043228)	2169	156	265.08	-	.59	8.61E-15	1.99E-13
transferase complex, transferring phosphorus-containing groups (GO:0061695)	376	27	45.95	-	.59	1.97E-03	6.95E-03
endoplasmic reticulum (GO:0005783)	791	56	96.67	-	.58	2.37E-06	1.31E-05
nucleus (GO:0005634)	5079	346	620.72	-	.56	7.02E-40	2.60E-38
cytoplasmic vesicle membrane (GO:0030659)	192	13	23.47	-	.55	1.98E-02	5.03E-02
vesicle membrane (GO:0012506)	192	13	23.47	-	.55	1.98E-02	4.99E-02
nucleoplasm (GO:0005654)	407	27	49.74	-	.54	2.53E-04	1.11E-03
ubiquitin ligase complex (GO:0000151)	259	16	31.65	-	.51	1.64E-03	5.95E-03
mitochondrial membrane (GO:0031966)	261	16	31.90	-	.50	1.65E-03	5.94E-03
transcription regulator complex (GO:0005667)	197	12	24.08	-	.50	6.19E-03	1.98E-02
mitochondrial inner membrane (GO:0005743)	198	12	24.20	-	.50	6.24E-03	1.97E-02
ribonucleoprotein complex (GO:1990904)	914	55	111.70	-	.49	4.02E-10	3.04E-09
protein-containing complex (GO:0032991)	3757	226	459.16	-	.49	4.96E-39	1.67E-37
mitochondrial envelope (GO:0005740)	267	16	32.63	-	.49	9.82E-04	3.67E-03
coated vesicle (GO:0030135)	187	11	22.85	-	.48	6.82E-03	2.12E-02
organelle membrane (GO:0031090)	1264	74	154.48	-	.48	2.68E-14	4.73E-13
transferase complex (GO:1990234)	790	44	96.55	-	.46	3.33E-10	2.62E-09
chloroplast (GO:0009507)	559	31	68.32	-	.45	1.64E-07	9.50E-07
catalytic complex (GO:1902494)	1438	79	175.74	-	.45	5.61E-18	1.60E-16
plastid (GO:0009536)	568	31	69.42	-	.45	7.17E-08	4.35E-07
membrane-enclosed lumen (GO:0031974)	912	48	111.46	-	.43	1.26E-12	1.72E-11
intracellular organelle lumen (GO:0070013)	912	48	111.46	-	.43	1.26E-12	1.66E-11
organelle lumen (GO:0043233)	912	48	111.46	-	.43	1.26E-12	1.60E-11
organelle inner membrane (GO:0019866)	229	12	27.99	-	.43	5.36E-04	2.16E-03
microtubule cytoskeleton (GO:0015630)	404	21	49.37	-	.43	2.69E-06	1.42E-05
organelle subcompartment (GO:0031984)	546	28	66.73	-	.42	2.60E-08	1.63E-07
