




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Glycine max - REFLIST (55853)	TAGs_low.txt (7661)	TAGs_low.txt (expected)	TAGs_low.txt (over/under)	TAGs_low.txt (fold Enrichment)	TAGs_low.txt (raw P-value)	TAGs_low.txt (FDR)
extracellular space (GO:0005615)	140	71	19.20	+	3.70	1.88E-25	5.78E-24
extracellular region (GO:0005576)	340	159	46.64	+	3.41	3.72E-49	1.72E-47
lytic vacuole (GO:0000323)	132	52	18.11	+	2.87	2.39E-13	3.16E-12
lysosome (GO:0005764)	123	48	16.87	+	2.85	2.93E-12	3.09E-11
cell wall (GO:0005618)	225	73	30.86	+	2.37	6.61E-13	8.15E-12
external encapsulating structure (GO:0030312)	225	73	30.86	+	2.37	6.61E-13	7.89E-12
cell projection (GO:0042995)	26	8	3.57	+	2.24	1.96E-02	4.74E-02
plant-type vacuole membrane (GO:0009705)	77	23	10.56	+	2.18	1.95E-04	7.36E-04
plasma membrane (GO:0005886)	2071	560	284.07	+	1.97	9.52E-60	7.05E-58
cell periphery (GO:0071944)	2449	658	335.91	+	1.96	3.13E-69	1.16E-66
anchoring junction (GO:0070161)	290	77	39.78	+	1.94	8.61E-09	5.69E-08
cell-cell junction (GO:0005911)	290	77	39.78	+	1.94	8.61E-09	5.59E-08
cell junction (GO:0030054)	292	77	40.05	+	1.92	1.00E-08	6.30E-08
exocyst (GO:0000145)	75	19	10.29	+	1.85	6.49E-03	1.79E-02
vacuole (GO:0005773)	441	111	60.49	+	1.84	1.38E-10	1.09E-09
plant-type vacuole (GO:0000325)	94	23	12.89	+	1.78	6.09E-03	1.69E-02
membrane (GO:0016020)	4950	1008	678.96	+	1.48	1.30E-41	4.82E-40
cytoplasm (GO:0005737)	8330	888	1142.57	-	.78	1.80E-19	4.44E-18
cytosol (GO:0005829)	1634	164	224.13	-	.73	5.83E-06	2.76E-05
