




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Glycine max - REFLIST (55853)	non_TAGs_high.txt (37331)	non_TAGs_high.txt (expected)	non_TAGs_high.txt (over/under)	non_TAGs_high.txt (fold Enrichment)	non_TAGs_high.txt (raw P-value)	non_TAGs_high.txt (FDR)
recycling endosome (GO:0055037)	24	24	16.04	+	1.50	9.62E-05	2.17E-04
Set1C/COMPASS complex (GO:0048188)	15	15	10.03	+	1.50	4.09E-03	7.53E-03
actin filament (GO:0005884)	12	12	8.02	+	1.50	1.16E-02	1.92E-02
clathrin vesicle coat (GO:0030125)	30	30	20.05	+	1.50	6.93E-06	1.82E-05
eukaryotic translation initiation factor 3 complex (GO:0005852)	30	30	20.05	+	1.50	6.93E-06	1.81E-05
SWI/SNF complex (GO:0016514)	12	12	8.02	+	1.50	1.16E-02	1.91E-02
pICln-Sm protein complex (GO:0034715)	12	12	8.02	+	1.50	1.16E-02	1.91E-02
chaperonin-containing T-complex (GO:0005832)	15	15	10.03	+	1.50	4.09E-03	7.49E-03
autophagosome (GO:0005776)	30	30	20.05	+	1.50	6.93E-06	1.79E-05
histone methyltransferase complex (GO:0035097)	21	21	14.04	+	1.50	2.79E-04	5.96E-04
EMC complex (GO:0072546)	21	21	14.04	+	1.50	2.79E-04	5.92E-04
Prp19 complex (GO:0000974)	21	21	14.04	+	1.50	2.79E-04	5.89E-04
SMN-Sm protein complex (GO:0034719)	14	14	9.36	+	1.50	7.41E-03	1.28E-02
Golgi transport complex (GO:0017119)	16	16	10.69	+	1.50	2.34E-03	4.45E-03
TRAPP complex (GO:0030008)	21	21	14.04	+	1.50	2.79E-04	5.86E-04
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	18	18	12.03	+	1.50	1.51E-03	2.95E-03
NuA4 histone acetyltransferase complex (GO:0035267)	16	16	10.69	+	1.50	2.34E-03	4.43E-03
proteasome regulatory particle, lid subcomplex (GO:0008541)	21	21	14.04	+	1.50	2.79E-04	5.82E-04
autophagosome membrane (GO:0000421)	13	13	8.69	+	1.50	6.88E-03	1.21E-02
preribosome, large subunit precursor (GO:0030687)	32	32	21.39	+	1.50	4.04E-06	1.08E-05
U4 snRNP (GO:0005687)	13	13	8.69	+	1.50	6.88E-03	1.20E-02
Arp2/3 protein complex (GO:0005885)	17	17	11.36	+	1.50	1.38E-03	2.73E-03
DNA polymerase complex (GO:0042575)	19	19	12.70	+	1.50	8.30E-04	1.69E-03
COP9 signalosome (GO:0008180)	17	17	11.36	+	1.50	1.38E-03	2.72E-03
perinuclear region of cytoplasm (GO:0048471)	17	17	11.36	+	1.50	1.38E-03	2.70E-03
protein folding chaperone complex (GO:0101031)	19	19	12.70	+	1.50	8.30E-04	1.68E-03
small-subunit processome (GO:0032040)	66	65	44.11	+	1.47	1.50E-10	6.54E-10
cytoplasmic microtubule (GO:0005881)	65	64	43.44	+	1.47	2.63E-10	1.09E-09
clathrin-coated vesicle (GO:0030136)	64	63	42.78	+	1.47	2.55E-10	1.07E-09
nuclear pore (GO:0005643)	55	54	36.76	+	1.47	8.91E-09	3.17E-08
cortical cytoskeleton (GO:0030863)	55	54	36.76	+	1.47	8.91E-09	3.14E-08
peroxisomal membrane (GO:0005778)	42	41	28.07	+	1.46	1.42E-06	4.10E-06
methyltransferase complex (GO:0034708)	38	37	25.40	+	1.46	6.43E-06	1.71E-05
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	37	36	24.73	+	1.46	1.08E-05	2.73E-05
kinetochore (GO:0000776)	37	36	24.73	+	1.46	1.08E-05	2.71E-05
clathrin-coated pit (GO:0005905)	36	35	24.06	+	1.45	1.87E-05	4.55E-05
U1 snRNP (GO:0005685)	35	34	23.39	+	1.45	1.79E-05	4.38E-05
preribosome (GO:0030684)	129	125	86.22	+	1.45	3.85E-17	2.41E-16
chloroplast inner membrane (GO:0009706)	31	30	20.72	+	1.45	8.02E-05	1.83E-04
transcription factor TFIID complex (GO:0005669)	29	28	19.38	+	1.44	2.16E-04	4.64E-04
histone acetyltransferase complex (GO:0000123)	52	50	34.76	+	1.44	3.92E-07	1.22E-06
U5 snRNP (GO:0005682)	24	23	16.04	+	1.43	1.62E-03	3.13E-03
SCF ubiquitin ligase complex (GO:0019005)	95	91	63.50	+	1.43	7.15E-12	3.27E-11
endopeptidase complex (GO:1905369)	110	105	73.52	+	1.43	2.84E-13	1.31E-12
nuclear envelope (GO:0005635)	85	81	56.81	+	1.43	3.50E-10	1.44E-09
SAGA-type complex (GO:0070461)	21	20	14.04	+	1.42	4.14E-03	7.54E-03
SAGA complex (GO:0000124)	21	20	14.04	+	1.42	4.14E-03	7.50E-03
late endosome membrane (GO:0031902)	20	19	13.37	+	1.42	6.99E-03	1.21E-02
condensed chromosome, centromeric region (GO:0000779)	40	38	26.74	+	1.42	3.05E-05	7.25E-05
supramolecular polymer (GO:0099081)	269	255	179.79	+	1.42	7.52E-29	6.62E-28
polymeric cytoskeletal fiber (GO:0099513)	269	255	179.79	+	1.42	7.52E-29	6.47E-28
supramolecular fiber (GO:0099512)	269	255	179.79	+	1.42	7.52E-29	6.32E-28
proteasome complex (GO:0000502)	96	91	64.16	+	1.42	5.16E-11	2.33E-10
CCR4-NOT complex (GO:0030014)	37	35	24.73	+	1.42	8.08E-05	1.83E-04
microtubule (GO:0005874)	257	243	171.77	+	1.41	5.15E-27	4.15E-26
peptidase complex (GO:1905368)	145	137	96.92	+	1.41	1.07E-15	6.20E-15
lytic vacuole membrane (GO:0098852)	18	17	12.03	+	1.41	1.08E-02	1.80E-02
proteasome accessory complex (GO:0022624)	54	51	36.09	+	1.41	1.69E-06	4.82E-06
proteasome regulatory particle (GO:0005838)	54	51	36.09	+	1.41	1.69E-06	4.78E-06
lysosomal membrane (GO:0005765)	18	17	12.03	+	1.41	1.08E-02	1.79E-02
preribosome, small subunit precursor (GO:0030688)	18	17	12.03	+	1.41	1.08E-02	1.79E-02
precatalytic spliceosome (GO:0071011)	53	50	35.42	+	1.41	2.70E-06	7.46E-06
RNA polymerase II, core complex (GO:0005665)	35	33	23.39	+	1.41	2.05E-04	4.47E-04
actin cytoskeleton (GO:0015629)	136	128	90.90	+	1.41	2.87E-14	1.48E-13
chloroplast membrane (GO:0031969)	50	47	33.42	+	1.41	6.88E-06	1.82E-05
endosome (GO:0005768)	315	296	210.54	+	1.41	2.57E-31	2.50E-30
core mediator complex (GO:0070847)	16	15	10.69	+	1.40	2.95E-02	4.66E-02
endosome membrane (GO:0010008)	80	75	53.47	+	1.40	1.39E-08	4.63E-08
90S preribosome (GO:0030686)	63	59	42.11	+	1.40	6.07E-07	1.82E-06
spliceosomal tri-snRNP complex (GO:0097526)	47	44	31.41	+	1.40	1.78E-05	4.38E-05
catalytic step 2 spliceosome (GO:0071013)	91	85	60.82	+	1.40	1.98E-09	7.63E-09
