




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	TAGs_high.txt (6826)	TAGs_high.txt (expected)	TAGs_high.txt (over/under)	TAGs_high.txt (fold Enrichment)	TAGs_high.txt (raw P-value)	TAGs_high.txt (FDR)
phospholipase C activity (GO:0004629)	15	13	1.83	+	7.09	1.11E-10	1.51E-09
glutathione transferase activity (GO:0004364)	84	61	10.27	+	5.94	2.22E-37	5.44E-35
L-lysine transmembrane transporter activity (GO:0015189)	10	6	1.22	+	4.91	4.50E-04	1.99E-03
basic amino acid transmembrane transporter activity (GO:0015174)	10	6	1.22	+	4.91	4.50E-04	1.97E-03
L-glutamate transmembrane transporter activity (GO:0005313)	10	6	1.22	+	4.91	4.50E-04	1.95E-03
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	7	4	.86	+	4.68	5.74E-03	1.92E-02
O-methyltransferase activity (GO:0008171)	55	29	6.72	+	4.31	4.41E-13	7.73E-12
solute:proton symporter activity (GO:0015295)	27	14	3.30	+	4.24	6.87E-07	5.44E-06
solute:monoatomic cation symporter activity (GO:0015294)	27	14	3.30	+	4.24	6.87E-07	5.35E-06
symporter activity (GO:0015293)	27	14	3.30	+	4.24	6.87E-07	5.27E-06
actin monomer binding (GO:0003785)	10	5	1.22	+	4.09	4.03E-03	1.44E-02
glucosidase activity (GO:0015926)	85	40	10.39	+	3.85	2.74E-15	6.73E-14
phospholipase activity (GO:0004620)	79	37	9.65	+	3.83	3.60E-14	7.69E-13
UDP-glucosyltransferase activity (GO:0035251)	148	67	18.09	+	3.70	2.12E-23	1.74E-21
cysteine-type endopeptidase activity (GO:0004197)	125	55	15.28	+	3.60	8.86E-19	3.35E-17
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	74	31	9.04	+	3.43	1.45E-10	1.87E-09
metalloendopeptidase activity (GO:0004222)	41	17	5.01	+	3.39	2.43E-06	1.63E-05
acidic amino acid transmembrane transporter activity (GO:0015172)	17	7	2.08	+	3.37	2.58E-03	9.74E-03
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	92	37	11.24	+	3.29	1.08E-11	1.57E-10
lipase activity (GO:0016298)	117	46	14.30	+	3.22	9.60E-14	1.96E-12
chitinase activity (GO:0004568)	36	14	4.40	+	3.18	4.44E-05	2.45E-04
UDP-glycosyltransferase activity (GO:0008194)	192	74	23.47	+	3.15	1.39E-20	6.18E-19
carboxylic ester hydrolase activity (GO:0052689)	233	87	28.48	+	3.06	7.87E-23	4.83E-21
glucosyltransferase activity (GO:0046527)	221	81	27.01	+	3.00	8.99E-21	4.41E-19
L-amino acid transmembrane transporter activity (GO:0015179)	43	15	5.26	+	2.85	1.04E-04	5.43E-04
carbohydrate transmembrane transporter activity (GO:0015144)	72	25	8.80	+	2.84	6.53E-07	5.35E-06
sterol transporter activity (GO:0015248)	26	9	3.18	+	2.83	2.68E-03	1.00E-02
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	208	71	25.42	+	2.79	1.74E-16	5.33E-15
hormone binding (GO:0042562)	51	17	6.23	+	2.73	7.08E-05	3.78E-04
enzyme inhibitor activity (GO:0004857)	218	71	26.64	+	2.66	2.79E-15	6.52E-14
molecular function inhibitor activity (GO:0140678)	218	71	26.64	+	2.66	2.79E-15	6.22E-14
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	123	40	15.03	+	2.66	3.03E-09	3.47E-08
metallopeptidase activity (GO:0008237)	66	21	8.07	+	2.60	2.33E-05	1.32E-04
alcohol binding (GO:0043178)	65	20	7.94	+	2.52	6.19E-05	3.34E-04
phosphoric diester hydrolase activity (GO:0008081)	107	32	13.08	+	2.45	9.22E-07	6.66E-06
sugar transmembrane transporter activity (GO:0051119)	57	17	6.97	+	2.44	3.26E-04	1.54E-03
protein phosphatase inhibitor activity (GO:0004864)	58	17	7.09	+	2.40	4.09E-04	1.84E-03
phosphatase inhibitor activity (GO:0019212)	59	17	7.21	+	2.36	5.10E-04	2.20E-03
monooxygenase activity (GO:0004497)	240	69	29.33	+	2.35	6.26E-12	9.32E-11
signaling receptor activity (GO:0038023)	112	32	13.69	+	2.34	3.22E-06	2.11E-05
O-acyltransferase activity (GO:0008374)	189	54	23.10	+	2.34	1.84E-09	2.21E-08
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	279	78	34.10	+	2.29	1.26E-12	2.06E-11
amino acid transmembrane transporter activity (GO:0015171)	173	48	21.14	+	2.27	3.31E-08	3.46E-07
endopeptidase activity (GO:0004175)	274	76	33.49	+	2.27	3.60E-12	5.70E-11
antioxidant activity (GO:0016209)	150	41	18.33	+	2.24	5.12E-07	4.26E-06
cysteine-type peptidase activity (GO:0008234)	217	59	26.52	+	2.22	2.15E-09	2.51E-08
ligand-gated channel activity (GO:0022834)	56	15	6.84	+	2.19	3.05E-03	1.13E-02
ligand-gated monoatomic ion channel activity (GO:0015276)	56	15	6.84	+	2.19	3.05E-03	1.12E-02
dioxygenase activity (GO:0051213)	254	67	31.04	+	2.16	9.28E-10	1.17E-08
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	216	56	26.40	+	2.12	3.27E-08	3.49E-07
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	298	77	36.42	+	2.11	1.19E-10	1.58E-09
exopeptidase activity (GO:0008238)	119	30	14.54	+	2.06	1.05E-04	5.41E-04
organic acid binding (GO:0043177)	68	17	8.31	+	2.05	4.30E-03	1.53E-02
hexosyltransferase activity (GO:0016758)	360	90	44.00	+	2.05	2.46E-11	3.45E-10
carboxylic acid binding (GO:0031406)	68	17	8.31	+	2.05	4.30E-03	1.52E-02
hydrolase activity, acting on glycosyl bonds (GO:0016798)	316	78	38.62	+	2.02	1.27E-09	1.56E-08
carboxylic acid transmembrane transporter activity (GO:0046943)	212	52	25.91	+	2.01	8.00E-07	6.04E-06
organic acid transmembrane transporter activity (GO:0005342)	212	52	25.91	+	2.01	8.00E-07	5.95E-06
acetyltransferase activity (GO:0016407)	192	47	23.47	+	2.00	2.45E-06	1.63E-05
molecular transducer activity (GO:0060089)	137	32	16.74	+	1.91	3.26E-04	1.53E-03
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	292	68	35.69	+	1.91	1.33E-07	1.31E-06
protein serine/threonine kinase activity (GO:0004674)	898	207	109.75	+	1.89	1.10E-19	4.51E-18
methyltransferase activity (GO:0008168)	291	67	35.56	+	1.88	3.25E-07	2.90E-06
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	287	66	35.08	+	1.88	4.40E-07	3.73E-06
oxidoreductase activity (GO:0016491)	1611	368	196.89	+	1.87	2.40E-33	3.93E-31
protein kinase activity (GO:0004672)	1089	244	133.09	+	1.83	2.74E-21	1.49E-19
organic anion transmembrane transporter activity (GO:0008514)	261	58	31.90	+	1.82	6.31E-06	3.87E-05
nucleosome binding (GO:0031491)	78	17	9.53	+	1.78	1.48E-02	4.56E-02
transferase activity, transferring one-carbon groups (GO:0016741)	318	68	38.86	+	1.75	4.14E-06	2.61E-05
secondary active transmembrane transporter activity (GO:0015291)	193	41	23.59	+	1.74	3.73E-04	1.69E-03
glycosyltransferase activity (GO:0016757)	488	101	59.64	+	1.69	1.02E-07	1.02E-06
acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	449	92	54.87	+	1.68	6.80E-07	5.47E-06
peptidase activity (GO:0008233)	558	113	68.20	+	1.66	7.68E-08	7.85E-07
2-oxoglutarate-dependent dioxygenase activity (GO:0016706)	180	36	22.00	+	1.64	2.80E-03	1.04E-02
active monoatomic ion transmembrane transporter activity (GO:0022853)	170	34	20.78	+	1.64	3.26E-03	1.19E-02
transmembrane transporter activity (GO:0022857)	1537	298	187.84	+	1.59	3.70E-16	1.07E-14
transporter activity (GO:0005215)	1624	310	198.47	+	1.56	8.50E-16	2.32E-14
kinase activity (GO:0016301)	1401	267	171.22	+	1.56	1.35E-13	2.55E-12
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	1339	254	163.64	+	1.55	9.33E-13	1.58E-11
hydrolase activity, acting on ester bonds (GO:0016788)	1074	188	131.26	+	1.43	4.33E-07	3.73E-06
catalytic activity (GO:0003824)	9048	1583	1105.79	+	1.43	7.55E-58	3.71E-55
transferase activity (GO:0016740)	3842	672	469.54	+	1.43	7.53E-23	5.28E-21
molecular function regulator activity (GO:0098772)	628	109	76.75	+	1.42	1.75E-04	8.78E-04
enzyme regulator activity (GO:0030234)	565	98	69.05	+	1.42	3.66E-04	1.68E-03
hydrolase activity (GO:0016787)	2644	451	323.13	+	1.40	1.20E-13	2.35E-12
active transmembrane transporter activity (GO:0022804)	450	75	55.00	+	1.36	5.87E-03	1.95E-02
transferase activity, transferring phosphorus-containing groups (GO:0016772)	1651	273	201.77	+	1.35	1.98E-07	1.83E-06
catalytic activity, acting on a protein (GO:0140096)	2812	429	343.66	+	1.25	1.05E-06	7.49E-06
molecular_function (GO:0003674)	16362	2386	1999.66	+	1.19	3.39E-27	3.33E-25
Unclassified (UNCLASSIFIED)	39491	4440	4826.34	-	.92	3.39E-27	4.16E-25
binding (GO:0005488)	6122	549	748.19	-	.73	1.41E-17	4.60E-16
structural constituent of ribosome (GO:0003735)	452	38	55.24	-	.69	1.15E-02	3.66E-02
nucleic acid binding (GO:0003676)	3417	287	417.60	-	.69	1.98E-13	3.60E-12
organic cyclic compound binding (GO:0097159)	3916	328	478.59	-	.69	1.67E-15	4.31E-14
protein binding (GO:0005515)	1539	126	188.09	-	.67	3.31E-07	2.90E-06
protein-containing complex binding (GO:0044877)	546	43	66.73	-	.64	1.26E-03	5.15E-03
ubiquitin-like protein ligase activity (GO:0061659)	333	26	40.70	-	.64	1.17E-02	3.67E-02
