




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	TAGs_low.txt (7661)	TAGs_low.txt (expected)	TAGs_low.txt (over/under)	TAGs_low.txt (fold Enrichment)	TAGs_low.txt (raw P-value)	TAGs_low.txt (FDR)
phospholipase C activity (GO:0004629)	15	13	2.06	+	6.32	4.82E-10	6.23E-09
glutathione transferase activity (GO:0004364)	84	63	11.52	+	5.47	5.66E-37	6.94E-35
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	7	4	.96	+	4.17	8.75E-03	2.65E-02
O-methyltransferase activity (GO:0008171)	55	29	7.54	+	3.84	8.21E-12	1.30E-10
enzyme inhibitor activity (GO:0004857)	218	111	29.90	+	3.71	3.75E-39	9.21E-37
molecular function inhibitor activity (GO:0140678)	218	111	29.90	+	3.71	3.75E-39	6.14E-37
actin monomer binding (GO:0003785)	10	5	1.37	+	3.65	6.70E-03	2.19E-02
glucosidase activity (GO:0015926)	85	42	11.66	+	3.60	3.76E-15	9.71E-14
carboxylic ester hydrolase activity (GO:0052689)	233	112	31.96	+	3.50	1.87E-36	1.83E-34
UDP-glucosyltransferase activity (GO:0035251)	148	71	20.30	+	3.50	1.33E-23	9.32E-22
phospholipase activity (GO:0004620)	79	37	10.84	+	3.41	1.30E-12	2.65E-11
cysteine-type endopeptidase activity (GO:0004197)	125	57	17.15	+	3.32	5.97E-18	2.09E-16
solute:proton symporter activity (GO:0015295)	27	12	3.70	+	3.24	1.02E-04	5.28E-04
solute:monoatomic cation symporter activity (GO:0015294)	27	12	3.70	+	3.24	1.02E-04	5.22E-04
symporter activity (GO:0015293)	27	12	3.70	+	3.24	1.02E-04	5.17E-04
metalloendopeptidase activity (GO:0004222)	41	18	5.62	+	3.20	2.44E-06	1.88E-05
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	92	40	12.62	+	3.17	3.21E-12	6.07E-11
fucosyltransferase activity (GO:0008417)	14	6	1.92	+	3.12	7.43E-03	2.35E-02
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	74	31	10.15	+	3.05	2.58E-09	2.81E-08
UDP-glycosyltransferase activity (GO:0008194)	192	78	26.34	+	2.96	3.28E-20	1.34E-18
glucosyltransferase activity (GO:0046527)	221	88	30.31	+	2.90	6.70E-22	4.11E-20
lipase activity (GO:0016298)	117	46	16.05	+	2.87	6.04E-12	1.06E-10
hormone binding (GO:0042562)	51	20	7.00	+	2.86	5.70E-06	4.24E-05
chitinase activity (GO:0004568)	36	14	4.94	+	2.84	1.59E-04	7.48E-04
phosphatidylserine binding (GO:0001786)	26	10	3.57	+	2.80	1.52E-03	5.81E-03
ligand-gated channel activity (GO:0022834)	56	20	7.68	+	2.60	2.90E-05	1.78E-04
ligand-gated monoatomic ion channel activity (GO:0015276)	56	20	7.68	+	2.60	2.90E-05	1.76E-04
signaling receptor activity (GO:0038023)	112	40	15.36	+	2.60	3.92E-09	4.19E-08
alcohol binding (GO:0043178)	65	23	8.92	+	2.58	8.98E-06	6.30E-05
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	208	73	28.53	+	2.56	5.67E-15	1.39E-13
