




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	non_TAGs_low.txt (37812)	non_TAGs_low.txt (expected)	non_TAGs_low.txt (over/under)	non_TAGs_low.txt (fold Enrichment)	non_TAGs_low.txt (raw P-value)	non_TAGs_low.txt (FDR)
heat shock protein binding (GO:0031072)	29	29	19.63	+	1.48	2.34E-05	7.75E-05
RNA polymerase I activity (GO:0001054)	29	29	19.63	+	1.48	2.34E-05	7.70E-05
identical protein binding (GO:0042802)	14	14	9.48	+	1.48	7.35E-03	1.43E-02
syntaxin binding (GO:0019905)	24	24	16.25	+	1.48	1.08E-04	3.03E-04
RNA cap binding (GO:0000339)	12	12	8.12	+	1.48	1.23E-02	2.28E-02
carbohydrate binding (GO:0030246)	12	12	8.12	+	1.48	1.23E-02	2.28E-02
small GTPase binding (GO:0031267)	11	11	7.45	+	1.48	2.08E-02	3.65E-02
cyclin-dependent protein kinase activity (GO:0097472)	16	16	10.83	+	1.48	2.52E-03	5.35E-03
phosphatidylinositol-3-phosphate binding (GO:0032266)	14	14	9.48	+	1.48	7.35E-03	1.42E-02
Hsp70 protein binding (GO:0030544)	15	15	10.15	+	1.48	4.22E-03	8.53E-03
organic cation transmembrane transporter activity (GO:0015101)	13	13	8.80	+	1.48	1.33E-02	2.43E-02
Hsp90 protein binding (GO:0051879)	16	16	10.83	+	1.48	2.52E-03	5.33E-03
fatty acid binding (GO:0005504)	12	12	8.12	+	1.48	1.23E-02	2.27E-02
alpha-glucosidase activity (GO:0090599)	13	13	8.80	+	1.48	1.33E-02	2.42E-02
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	16	16	10.83	+	1.48	2.52E-03	5.30E-03
transcription factor binding (GO:0008134)	28	28	18.96	+	1.48	2.24E-05	7.54E-05
TBP-class protein binding (GO:0017025)	14	14	9.48	+	1.48	7.35E-03	1.42E-02
monoatomic anion transmembrane transporter activity (GO:0008509)	28	28	18.96	+	1.48	2.24E-05	7.49E-05
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	40	40	27.08	+	1.48	2.04E-07	9.18E-07
structural constituent of nuclear pore (GO:0017056)	20	20	13.54	+	1.48	5.20E-04	1.28E-03
poly(A) binding (GO:0008143)	25	25	16.92	+	1.48	1.13E-04	3.15E-04
RNA polymerase III activity (GO:0001056)	21	21	14.22	+	1.48	5.50E-04	1.34E-03
RNA polymerase II activity (GO:0001055)	25	25	16.92	+	1.48	1.13E-04	3.14E-04
cullin family protein binding (GO:0097602)	25	25	16.92	+	1.48	1.13E-04	3.12E-04
phosphatidylinositol binding (GO:0035091)	57	56	38.59	+	1.45	1.14E-08	5.48E-08
phosphatidylinositol phosphate binding (GO:1901981)	51	50	34.53	+	1.45	8.14E-08	3.77E-07
phosphatidylinositol bisphosphate binding (GO:1902936)	47	46	31.82	+	1.45	3.66E-07	1.59E-06
galactosyltransferase activity (GO:0008378)	44	43	29.79	+	1.44	1.01E-06	4.13E-06
translation initiation factor activity (GO:0003743)	88	86	59.58	+	1.44	2.34E-12	1.67E-11
clathrin binding (GO:0030276)	83	81	56.19	+	1.44	9.49E-12	6.21E-11
protein-lysine N-methyltransferase activity (GO:0016279)	37	36	25.05	+	1.44	2.17E-05	7.49E-05
lysine N-methyltransferase activity (GO:0016278)	37	36	25.05	+	1.44	2.17E-05	7.44E-05
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	37	36	25.05	+	1.44	2.17E-05	7.39E-05
ATP hydrolysis activity (GO:0016887)	148	144	100.19	+	1.44	1.58E-19	1.85E-18
single-stranded RNA binding (GO:0003727)	37	36	25.05	+	1.44	2.17E-05	7.33E-05
iron-sulfur cluster binding (GO:0051536)	33	32	22.34	+	1.43	5.47E-05	1.64E-04
aspartic-type endopeptidase activity (GO:0004190)	31	30	20.99	+	1.43	1.44E-04	3.95E-04
catalytic activity, acting on a rRNA (GO:0140102)	31	30	20.99	+	1.43	1.44E-04	3.92E-04
tetrapyrrole binding (GO:0046906)	31	30	20.99	+	1.43	1.44E-04	3.90E-04
rRNA methyltransferase activity (GO:0008649)	31	30	20.99	+	1.43	1.44E-04	3.88E-04
snRNA binding (GO:0017069)	30	29	20.31	+	1.43	2.45E-04	6.42E-04
GTPase activator activity (GO:0005096)	59	57	39.94	+	1.43	6.65E-08	3.11E-07
heme binding (GO:0020037)	29	28	19.63	+	1.43	2.37E-04	6.27E-04
GTPase regulator activity (GO:0030695)	110	106	74.47	+	1.42	1.32E-13	1.06E-12
nucleoside-triphosphatase regulator activity (GO:0060589)	110	106	74.47	+	1.42	1.32E-13	1.05E-12
microfilament motor activity (GO:0000146)	27	26	18.28	+	1.42	6.30E-04	1.51E-03
deubiquitinase activity (GO:0101005)	105	101	71.08	+	1.42	5.52E-13	4.05E-12
voltage-gated channel activity (GO:0022832)	26	25	17.60	+	1.42	1.07E-03	2.44E-03
voltage-gated monoatomic ion channel activity (GO:0005244)	26	25	17.60	+	1.42	1.07E-03	2.43E-03
mannosyltransferase activity (GO:0000030)	26	25	17.60	+	1.42	1.07E-03	2.42E-03
ubiquitin-like protein peptidase activity (GO:0019783)	116	111	78.53	+	1.41	1.49E-13	1.16E-12
cytoskeletal motor activity (GO:0003774)	116	111	78.53	+	1.41	1.49E-13	1.15E-12
pre-mRNA binding (GO:0036002)	23	22	15.57	+	1.41	2.73E-03	5.73E-03
translation initiation factor binding (GO:0031369)	23	22	15.57	+	1.41	2.73E-03	5.71E-03
microtubule motor activity (GO:0003777)	89	85	60.25	+	1.41	1.66E-10	9.57E-10
enzyme activator activity (GO:0008047)	132	126	89.36	+	1.41	6.08E-15	5.33E-14
N-methyltransferase activity (GO:0008170)	84	80	56.87	+	1.41	1.11E-09	6.05E-09
protein-disulfide reductase activity (GO:0015035)	41	39	27.76	+	1.41	3.42E-05	1.08E-04
protein serine/threonine phosphatase activity (GO:0004722)	142	135	96.13	+	1.40	1.56E-15	1.47E-14
lipid kinase activity (GO:0001727)	59	56	39.94	+	1.40	8.18E-07	3.40E-06
cysteine-type deubiquitinase activity (GO:0004843)	76	72	51.45	+	1.40	1.87E-08	8.89E-08
tubulin binding (GO:0015631)	217	205	146.91	+	1.40	6.13E-22	7.92E-21
deaminase activity (GO:0019239)	35	33	23.69	+	1.39	3.78E-04	9.52E-04
phosphoprotein phosphatase activity (GO:0004721)	175	165	118.47	+	1.39	1.61E-17	1.75E-16
microtubule binding (GO:0008017)	209	197	141.49	+	1.39	9.66E-21	1.22E-19
disulfide oxidoreductase activity (GO:0015036)	52	49	35.20	+	1.39	8.12E-06	2.98E-05
actin filament binding (GO:0051015)	120	113	81.24	+	1.39	2.54E-12	1.78E-11
P-type ion transporter activity (GO:0015662)	67	63	45.36	+	1.39	2.87E-07	1.28E-06
kinase activator activity (GO:0019209)	32	30	21.66	+	1.38	9.20E-04	2.14E-03
protein kinase activator activity (GO:0030295)	32	30	21.66	+	1.38	9.20E-04	2.13E-03
mRNA 3'-UTR binding (GO:0003730)	31	29	20.99	+	1.38	9.12E-04	2.13E-03
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	46	43	31.14	+	1.38	4.87E-05	1.48E-04
iron ion binding (GO:0005506)	30	28	20.31	+	1.38	1.41E-03	3.14E-03
transcription coactivator activity (GO:0003713)	45	42	30.46	+	1.38	7.82E-05	2.27E-04
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	45	42	30.46	+	1.38	7.82E-05	2.26E-04
ATPase-coupled monoatomic cation transmembrane transporter activity (GO:0019829)	89	83	60.25	+	1.38	9.56E-09	4.65E-08
signal sequence binding (GO:0005048)	59	55	39.94	+	1.38	4.33E-06	1.62E-05
hexokinase activity (GO:0004396)	28	26	18.96	+	1.37	3.65E-03	7.50E-03
carbohydrate kinase activity (GO:0019200)	69	64	46.71	+	1.37	9.59E-07	3.96E-06
cytoskeletal protein binding (GO:0008092)	357	331	241.69	+	1.37	4.16E-30	1.13E-28
protein transmembrane transporter activity (GO:0008320)	41	38	27.76	+	1.37	3.04E-04	7.72E-04
guanyl-nucleotide exchange factor activity (GO:0005085)	27	25	18.28	+	1.37	3.53E-03	7.31E-03
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	27	25	18.28	+	1.37	3.53E-03	7.28E-03
translation regulator activity, nucleic acid binding (GO:0090079)	133	123	90.04	+	1.37	1.04E-11	6.64E-11
translation factor activity, RNA binding (GO:0008135)	133	123	90.04	+	1.37	1.04E-11	6.56E-11
translation regulator activity (GO:0045182)	133	123	90.04	+	1.37	1.04E-11	6.48E-11
prenyltransferase activity (GO:0004659)	53	49	35.88	+	1.37	2.60E-05	8.45E-05
inorganic anion transmembrane transporter activity (GO:0015103)	39	36	26.40	+	1.36	4.56E-04	1.13E-03
sulfurtransferase activity (GO:0016783)	26	24	17.60	+	1.36	5.49E-03	1.10E-02
peptide-lysine-N-acetyltransferase activity (GO:0061733)	26	24	17.60	+	1.36	5.49E-03	1.09E-02
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	77	71	52.13	+	1.36	5.07E-07	2.18E-06
water transmembrane transporter activity (GO:0005372)	51	47	34.53	+	1.36	6.23E-05	1.82E-04
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	75	69	50.77	+	1.36	7.85E-07	3.32E-06
ferrous iron binding (GO:0008198)	25	23	16.92	+	1.36	8.71E-03	1.66E-02
molecular function activator activity (GO:0140677)	170	156	115.09	+	1.36	9.68E-14	7.92E-13
SNARE binding (GO:0000149)	145	133	98.16	+	1.35	7.03E-12	4.66E-11
histone acetyltransferase activity (GO:0004402)	24	22	16.25	+	1.35	1.41E-02	2.54E-02
