"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","7.62626189664103e-12","1244","580","66","0.113793103448276","0.0530546623794212","GO:0006259","GO:BP","DNA metabolic process","31814","2071","GO:0090304"
"query_1","TRUE","1.62537450550052e-09","1007","580","54","0.0931034482758621","0.0536246276067527","GO:0006974","GO:BP","DNA damage response","31814","2590","GO:0033554"
"query_1","TRUE","4.87091725447319e-08","972","580","50","0.0862068965517241","0.051440329218107","GO:0006281","GO:BP","DNA repair","31814","2088","GO:0006259;GO:0006974"
"query_1","TRUE","3.10922573312201e-07","1582","580","66","0.113793103448276","0.0417193426042984","GO:0033554","GO:BP","cellular response to stress","31814","8226","GO:0006950;GO:0051716"
"query_1","TRUE","1.14528224731303e-06","164","580","18","0.0310344827586207","0.109756097560976","GO:0043414","GO:BP","macromolecule methylation","31814","10584","GO:0032259;GO:0043412"
"query_1","TRUE","2.09800264535782e-06","81","580","13","0.0224137931034483","0.160493827160494","GO:0061982","GO:BP","meiosis I cell cycle process","31814","15545","GO:1903046"
"query_1","TRUE","1.00099748002476e-05","256","580","21","0.0362068965517241","0.08203125","GO:0006302","GO:BP","double-strand break repair","31814","2101","GO:0006281"
"query_1","TRUE","4.50118251002991e-05","8836","580","220","0.379310344827586","0.0248981439565414","GO:0006139","GO:BP","nucleobase-containing compound metabolic process","31814","1979","GO:0044238"
"query_1","TRUE","0.000181150775762761","203","580","17","0.0293103448275862","0.083743842364532","GO:0006261","GO:BP","DNA-templated DNA replication","31814","2073","GO:0006260"
"query_1","TRUE","0.000244363754191763","480","580","27","0.046551724137931","0.05625","GO:0032259","GO:BP","methylation","31814","7392","GO:0008152"
"query_1","TRUE","0.000268288777287209","141","580","14","0.0241379310344828","0.099290780141844","GO:1903046","GO:BP","meiotic cell cycle process","31814","22407","GO:0022402;GO:0022414;GO:0051321"
"query_1","TRUE","0.000407827138211221","191","580","16","0.0275862068965517","0.0837696335078534","GO:0000724","GO:BP","double-strand break repair via homologous recombination","31814","201","GO:0000725;GO:0006302"
"query_1","TRUE","0.000444571001220796","18","580","6","0.0103448275862069","0.333333333333333","GO:0009553","GO:BP","embryo sac development","31814","3489","GO:0048229"
"query_1","TRUE","0.000515401584626","71","580","10","0.0172413793103448","0.140845070422535","GO:0007127","GO:BP","meiosis I","31814","2685","GO:0061982;GO:0140013"
"query_1","TRUE","0.000527621154902069","41","580","8","0.0137931034482759","0.195121951219512","GO:0048229","GO:BP","gametophyte development","31814","12427","GO:0007275"
"query_1","TRUE","0.000659422931298227","385","580","23","0.0396551724137931","0.0597402597402597","GO:0006399","GO:BP","tRNA metabolic process","31814","2152","GO:0016070"
"query_1","TRUE","0.000736519839627723","30","580","7","0.0120689655172414","0.233333333333333","GO:0042770","GO:BP","signal transduction in response to DNA damage","31814","10262","GO:0006974;GO:0035556"
"query_1","TRUE","0.000736519839627723","30","580","7","0.0120689655172414","0.233333333333333","GO:0000077","GO:BP","DNA damage checkpoint signaling","31814","28","GO:0031570;GO:0042770"
"query_1","TRUE","0.000806933411112534","201","580","16","0.0275862068965517","0.0796019900497512","GO:0000725","GO:BP","recombinational repair","31814","202","GO:0006281;GO:0006310"
"query_1","TRUE","0.000872733682232551","227","580","17","0.0293103448275862","0.0748898678414097","GO:0008033","GO:BP","tRNA processing","31814","3084","GO:0006396;GO:0006399"
"query_1","TRUE","0.000877238046399349","708","580","33","0.0568965517241379","0.0466101694915254","GO:0022402","GO:BP","cell cycle process","31814","6561","GO:0007049;GO:0009987"
"query_1","TRUE","0.00102895331274762","7972","580","196","0.337931034482759","0.0245860511791269","GO:0090304","GO:BP","nucleic acid metabolic process","31814","17951","GO:0006139;GO:0043170"
"query_1","TRUE","0.00104255575191257","1562","580","56","0.096551724137931","0.0358514724711908","GO:0006396","GO:BP","RNA processing","31814","2149","GO:0010467;GO:0032774;GO:0044238"
"query_1","TRUE","0.00167174502470683","164","580","14","0.0241379310344828","0.0853658536585366","GO:0006400","GO:BP","tRNA modification","31814","2153","GO:0008033;GO:0009451"
"query_1","TRUE","0.00182043856266941","13","580","5","0.00862068965517241","0.384615384615385","GO:0042138","GO:BP","meiotic DNA double-strand break formation","31814","9894","GO:0006259;GO:0061982"
"query_1","TRUE","0.00223696391690616","23","580","6","0.0103448275862069","0.260869565217391","GO:0036297","GO:BP","interstrand cross-link repair","31814","9461","GO:0006281"
"query_1","TRUE","0.00238147717746176","103","580","11","0.0189655172413793","0.106796116504854","GO:0022904","GO:BP","respiratory electron transport chain","31814","6598","GO:0022900;GO:0045333"
"query_1","TRUE","0.00247766106730178","66","580","9","0.0155172413793103","0.136363636363636","GO:0140527","GO:BP","reciprocal homologous recombination","31814","19553","GO:0035825"
"query_1","TRUE","0.00247766106730178","66","580","9","0.0155172413793103","0.136363636363636","GO:0007131","GO:BP","reciprocal meiotic recombination","31814","2689","GO:0007127;GO:0140527;GO:1903046"
"query_1","TRUE","0.0029543707349921","7","580","4","0.00689655172413793","0.571428571428571","GO:0007095","GO:BP","mitotic G2 DNA damage checkpoint signaling","31814","2665","GO:0044773;GO:0044818"
"query_1","TRUE","0.00334056530842823","719","580","32","0.0551724137931034","0.0445062586926286","GO:0022414","GO:BP","reproductive process","31814","6573","GO:0008150"
"query_1","TRUE","0.0058232984570925","8","580","4","0.00689655172413793","0.5","GO:0045003","GO:BP","double-strand break repair via synthesis-dependent strand annealing","31814","11067","GO:0000724"
"query_1","TRUE","0.00758648194602606","116","580","11","0.0189655172413793","0.0948275862068965","GO:0001510","GO:BP","RNA methylation","31814","322","GO:0009451;GO:0043414"
"query_1","TRUE","0.00950806800901229","329","580","19","0.0327586206896552","0.0577507598784195","GO:0022900","GO:BP","electron transport chain","31814","6597","GO:0006091"
"query_1","TRUE","0.0111701621915767","79","580","9","0.0155172413793103","0.113924050632911","GO:0035825","GO:BP","homologous recombination","31814","9200","GO:0006310"
"query_1","TRUE","0.0122777665205402","122","580","11","0.0189655172413793","0.0901639344262295","GO:0140013","GO:BP","meiotic nuclear division","31814","19371","GO:0000280;GO:1903046"
"query_1","TRUE","0.0129583169917613","45","580","7","0.0120689655172414","0.155555555555556","GO:0001522","GO:BP","pseudouridine synthesis","31814","326","GO:0009451"
"query_1","TRUE","0.0197292776279827","20","580","5","0.00862068965517241","0.25","GO:0044818","GO:BP","mitotic G2/M transition checkpoint","31814","11026","GO:0007093;GO:0010972"
"query_1","TRUE","0.0197292776279827","20","580","5","0.00862068965517241","0.25","GO:0010972","GO:BP","negative regulation of G2/M transition of mitotic cell cycle","31814","4528","GO:0000086;GO:0010389;GO:1901991;GO:1902750"
"query_1","TRUE","0.020427973157016","973","580","37","0.0637931034482759","0.0380267214799589","GO:0007049","GO:BP","cell cycle","31814","2636","GO:0009987"
"query_1","TRUE","0.0224946641846937","755","580","31","0.053448275862069","0.0410596026490066","GO:0090407","GO:BP","organophosphate biosynthetic process","31814","18037","GO:0009058;GO:0019637"
"query_1","TRUE","0.0230328334128309","49","580","7","0.0120689655172414","0.142857142857143","GO:0031570","GO:BP","DNA integrity checkpoint signaling","31814","7180","GO:0000075"
"query_1","TRUE","0.0255070601064597","21","580","5","0.00862068965517241","0.238095238095238","GO:1902750","GO:BP","negative regulation of cell cycle G2/M phase transition","31814","22171","GO:0044839;GO:1901988;GO:1902749"
"query_1","TRUE","0.0262802729270577","11","580","4","0.00689655172413793","0.363636363636364","GO:0000455","GO:BP","enzyme-directed rRNA pseudouridine synthesis","31814","147","GO:0031118"
"query_1","TRUE","0.0263644834727342","50","580","7","0.0120689655172414","0.14","GO:0008213","GO:BP","protein alkylation","31814","3126","GO:0036211"
"query_1","TRUE","0.0263644834727342","50","580","7","0.0120689655172414","0.14","GO:0006479","GO:BP","protein methylation","31814","2208","GO:0008213;GO:0043414"
"query_1","TRUE","0.0300821533126061","51","580","7","0.0120689655172414","0.137254901960784","GO:0030488","GO:BP","tRNA methylation","31814","6777","GO:0001510;GO:0006400"
"query_1","TRUE","0.0382935526511499","244","580","15","0.0258620689655172","0.0614754098360656","GO:0051321","GO:BP","meiotic cell cycle","31814","13466","GO:0007049;GO:0019953;GO:0022414"
"query_1","TRUE","0.0453479117032808","94","580","9","0.0155172413793103","0.0957446808510638","GO:0048316","GO:BP","seed development","31814","12486","GO:0009791;GO:0010154;GO:0048608"
"query_1","TRUE","0.0471375638132141","117","580","10","0.0172413793103448","0.0854700854700855","GO:0010154","GO:BP","fruit development","31814","3940","GO:0048608"
"query_1","TRUE","0.0495155820430011","55","580","7","0.0120689655172414","0.127272727272727","GO:0006270","GO:BP","DNA replication initiation","31814","2078","GO:0006259;GO:0006261"
"query_1","TRUE","1.18360764795135e-11","15187","933","539","0.577706323687031","0.0354908803582011","GO:0016020","GO:CC","membrane","33180","699","GO:0110165"
"query_1","TRUE","4.07147111585499e-08","1966","933","105","0.112540192926045","0.0534079348931841","GO:0009536","GO:CC","plastid","33180","597","GO:0005737;GO:0043231"
"query_1","TRUE","2.12946556817241e-06","1848","933","95","0.101822079314041","0.0514069264069264","GO:0009507","GO:CC","chloroplast","33180","569","GO:0009536"
"query_1","TRUE","7.72377119026873e-20","1667","677","96","0.141802067946824","0.0575884823035393","GO:0140640","GO:MF","catalytic activity, acting on a nucleic acid","35844","9450","GO:0003824"
"query_1","TRUE","1.97280551137941e-10","735","677","47","0.069423929098966","0.0639455782312925","GO:0140097","GO:MF","catalytic activity, acting on DNA","35844","9293","GO:0140640"
"query_1","TRUE","1.54837661130161e-08","924","677","50","0.0738552437223043","0.0541125541125541","GO:0140098","GO:MF","catalytic activity, acting on RNA","35844","9294","GO:0140640"
"query_1","TRUE","3.35677174799857e-07","531","677","34","0.0502215657311669","0.064030131826742","GO:0004518","GO:MF","nuclease activity","35844","824","GO:0016788"
"query_1","TRUE","2.93965984492269e-05","299","677","22","0.0324963072378139","0.0735785953177258","GO:0004519","GO:MF","endonuclease activity","35844","825","GO:0004518"
"query_1","TRUE","4.90468691041523e-05","8","677","5","0.00738552437223043","0.625","GO:0000400","GO:MF","four-way junction DNA binding","35844","73","GO:0000217"
"query_1","TRUE","7.64587860858095e-05","172","677","16","0.0236336779911374","0.0930232558139535","GO:0016651","GO:MF","oxidoreductase activity, acting on NAD(P)H","35844","2817","GO:0016491"
"query_1","TRUE","0.00028570505773542","105","677","12","0.017725258493353","0.114285714285714","GO:0004536","GO:MF","DNA nuclease activity","35844","841","GO:0004518;GO:0140097"
"query_1","TRUE","0.000385918417776249","56","677","9","0.0132939438700148","0.160714285714286","GO:0048038","GO:MF","quinone binding","35844","6707","GO:0036094"
"query_1","TRUE","0.000487472008815279","43","677","8","0.0118168389955687","0.186046511627907","GO:0008137","GO:MF","NADH dehydrogenase (ubiquinone) activity","35844","1543","GO:0003954;GO:0009055;GO:0015078;GO:0015453;GO:0016655;GO:0022853"
"query_1","TRUE","0.000834524127170632","46","677","8","0.0118168389955687","0.173913043478261","GO:0004520","GO:MF","DNA endonuclease activity","35844","826","GO:0004519;GO:0004536"
"query_1","TRUE","0.00140012122032202","65","677","9","0.0132939438700148","0.138461538461538","GO:0015453","GO:MF","oxidoreduction-driven active transmembrane transporter activity","35844","2505","GO:0015399"
"query_1","TRUE","0.00244433754664264","38","677","7","0.0103397341211226","0.184210526315789","GO:0140664","GO:MF","ATP-dependent DNA damage sensor activity","35844","9460","GO:0008094;GO:0140612"
"query_1","TRUE","0.00244433754664264","38","677","7","0.0103397341211226","0.184210526315789","GO:0140612","GO:MF","DNA damage sensor activity","35844","9439","GO:0140299"
"query_1","TRUE","0.00273607759677917","306","677","19","0.0280649926144756","0.0620915032679739","GO:0016779","GO:MF","nucleotidyltransferase activity","35844","2911","GO:0016772"
"query_1","TRUE","0.0029498660728995","71","677","9","0.0132939438700148","0.126760563380282","GO:0003954","GO:MF","NADH dehydrogenase activity","35844","455","GO:0016651"
"query_1","TRUE","0.00470550120636635","17","677","5","0.00738552437223043","0.294117647058824","GO:0016889","GO:MF","DNA endonuclease activity, producing 3'-phosphomonoesters","35844","3000","GO:0004520"
"query_1","TRUE","0.00506826872539484","138","677","12","0.017725258493353","0.0869565217391304","GO:0008276","GO:MF","protein methyltransferase activity","35844","1610","GO:0008168;GO:0140096"
"query_1","TRUE","0.00575119569927576","43","677","7","0.0103397341211226","0.162790697674419","GO:0015252","GO:MF","proton channel activity","35844","2390","GO:0005261;GO:0015078"
"query_1","TRUE","0.0102619527553071","32","677","6","0.00886262924667651","0.1875","GO:0009982","GO:MF","pseudouridine synthase activity","35844","2133","GO:0016866"
"query_1","TRUE","0.0129034168636924","85","677","9","0.0132939438700148","0.105882352941176","GO:0016655","GO:MF","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","35844","2820","GO:0016651"
"query_1","TRUE","0.0289685571999973","24","677","5","0.00738552437223043","0.208333333333333","GO:0035312","GO:MF","5'-3' DNA exonuclease activity","35844","4816","GO:0008409;GO:0016895"
"query_1","TRUE","0.0323723941007043","495","677","23","0.03397341211226","0.0464646464646465","GO:0008094","GO:MF","ATP-dependent activity, acting on DNA","35844","1516","GO:0140097;GO:0140657"
