"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","0.000348958039344081","2807","30820","2757","0.0894548994159637","0.982187388671179","GO:0007165","GO:BP","signal transduction","31814","2716","GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716"
"query_1","TRUE","0.000404665148577115","2838","30820","2787","0.0904282933160286","0.982029598308668","GO:0007154","GO:BP","cell communication","31814","2705","GO:0009987"
"query_1","TRUE","0.000450586366844675","2831","30820","2780","0.0902011680726801","0.981985164252914","GO:0023052","GO:BP","signaling","31814","6607","GO:0050789"
"query_1","TRUE","0.00049579753544019","1817","30820","1790","0.0580791693705386","0.985140341221794","GO:0070887","GO:BP","cellular response to chemical stimulus","31814","16130","GO:0042221;GO:0051716"
"query_1","TRUE","0.000896787870784151","2624","30820","2577","0.0836145360155743","0.982088414634146","GO:0042221","GO:BP","response to chemical","31814","9956","GO:0050896"
"query_1","TRUE","0.00129589437907158","1314","30820","1297","0.0420830629461389","0.987062404870624","GO:0071495","GO:BP","cellular response to endogenous stimulus","31814","16497","GO:0009719"
"query_1","TRUE","0.00134877840564982","1312","30820","1295","0.0420181700194679","0.987042682926829","GO:0032870","GO:BP","cellular response to hormone stimulus","31814","7810","GO:0009725;GO:0070887;GO:0071495"
"query_1","TRUE","0.00235101351395466","1284","30820","1267","0.041109669046074","0.986760124610592","GO:0009755","GO:BP","hormone-mediated signaling pathway","31814","3637","GO:0007165;GO:0032870"
"query_1","TRUE","0.00406480579046859","2563","30820","2515","0.0816028552887735","0.981271946937183","GO:0006468","GO:BP","protein phosphorylation","31814","2199","GO:0016310;GO:0036211"
"query_1","TRUE","0.0091527077884792","1522","30820","1498","0.0486048020765737","0.984231274638633","GO:0009719","GO:BP","response to endogenous stimulus","31814","3602","GO:0050896"
"query_1","TRUE","0.00933816224559047","297","30820","297","0.00963659961064244","1","GO:0046777","GO:BP","protein autophosphorylation","31814","12198","GO:0006468"
