"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","0.00302853879567774","8","17","2","0.117647058823529","0.25","GO:0046901","GO:BP","tetrahydrofolylpolyglutamate biosynthetic process","31814","12261","GO:0009396;GO:0046900"
"query_1","TRUE","0.00389261169538046","9","17","2","0.117647058823529","0.222222222222222","GO:0000967","GO:BP","rRNA 5'-end processing","31814","273","GO:0000966;GO:0006364"
"query_1","TRUE","0.00486423525037948","10","17","2","0.117647058823529","0.2","GO:0046900","GO:BP","tetrahydrofolylpolyglutamate metabolic process","31814","12260","GO:0006760"
"query_1","TRUE","0.00712972777289271","12","17","2","0.117647058823529","0.166666666666667","GO:0006446","GO:BP","regulation of translational initiation","31814","2188","GO:0006413;GO:0006417"
"query_1","TRUE","0.00712972777289271","12","17","2","0.117647058823529","0.166666666666667","GO:0006449","GO:BP","regulation of translational termination","31814","2191","GO:0006415;GO:0006417;GO:0043244"
"query_1","TRUE","0.0322757013556879","25","17","2","0.117647058823529","0.08","GO:0016973","GO:BP","poly(A)+ mRNA export from nucleus","31814","5235","GO:0006406"
"query_1","TRUE","0.0467262854355427","30","17","2","0.117647058823529","0.0666666666666667","GO:0009396","GO:BP","folic acid-containing compound biosynthetic process","31814","3451","GO:0006760;GO:0042398;GO:0042559"
"query_1","TRUE","0.00281652129150966","7","39","2","0.0512820512820513","0.285714285714286","GO:0044614","GO:CC","nuclear pore cytoplasmic filaments","33180","2053","GO:0005643;GO:0140513"
"query_1","TRUE","0.0441466414904756","1199","39","7","0.179487179487179","0.00583819849874896","GO:0031967","GO:CC","organelle envelope","33180","1187","GO:0043227;GO:0043229;GO:0110165"
"query_1","TRUE","0.00130516199373147","8","19","2","0.105263157894737","0.25","GO:0004326","GO:MF","tetrahydrofolylpolyglutamate synthase activity","35844","665","GO:0016881"
"query_1","TRUE","0.00557941998773067","16","19","2","0.105263157894737","0.125","GO:0000822","GO:MF","inositol hexakisphosphate binding","35844","96","GO:0043168;GO:0043178"
"query_1","TRUE","0.0201360808514983","30","19","2","0.105263157894737","0.0666666666666667","GO:0031369","GO:MF","translation initiation factor binding","35844","3866","GO:0005515"
"query_1","TRUE","0.0416283375790422","43","19","2","0.105263157894737","0.0465116279069767","GO:0008137","GO:MF","NADH dehydrogenase (ubiquinone) activity","35844","1543","GO:0003954;GO:0009055;GO:0015078;GO:0015453;GO:0016655;GO:0022853"
