"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","5.31085269886848e-49","3126","28423","3012","0.105970516834958","0.963531669865643","GO:0009056","GO:BP","catabolic process","31814","3218","GO:0008152"
"query_1","TRUE","3.55557860173984e-30","1821","28423","1760","0.0619216831439327","0.966501922020868","GO:0009057","GO:BP","macromolecule catabolic process","31814","3219","GO:0009056;GO:0043170"
"query_1","TRUE","5.02371866432336e-28","2699","28423","2571","0.0904549132744608","0.95257502778807","GO:0044281","GO:BP","small molecule metabolic process","31814","10850","GO:0008152"
"query_1","TRUE","1.34892349973975e-26","2153","28423","2062","0.0725468810470394","0.957733395262425","GO:0044085","GO:BP","cellular component biogenesis","31814","10811","GO:0071840"
"query_1","TRUE","1.27315684036535e-23","5136","28423","4791","0.168560672694649","0.932827102803738","GO:0051179","GO:BP","localization","31814","13378","GO:0008150"
"query_1","TRUE","7.69048572055566e-22","5000","28423","4660","0.163951729233367","0.932","GO:0051234","GO:BP","establishment of localization","31814","13403","GO:0051179"
"query_1","TRUE","5.93115198675515e-21","1543","28423","1483","0.052176054603666","0.961114711600778","GO:0006082","GO:BP","organic acid metabolic process","31814","1943","GO:0044281"
"query_1","TRUE","6.40749191022386e-21","1542","28423","1482","0.0521408718291524","0.961089494163424","GO:0043436","GO:BP","oxoacid metabolic process","31814","10596","GO:0006082"
"query_1","TRUE","1.65863922482595e-20","1457","28423","1402","0.0493262498680646","0.962251201098147","GO:0019752","GO:BP","carboxylic acid metabolic process","31814","6004","GO:0043436"
"query_1","TRUE","4.08315558382622e-20","5198","28423","4833","0.17003834922422","0.9297806848788","GO:0071840","GO:BP","cellular component organization or biogenesis","31814","16709","GO:0009987"
"query_1","TRUE","5.3848027892645e-20","2036","28423","1938","0.0681842170073532","0.951866404715128","GO:0005975","GO:BP","carbohydrate metabolic process","31814","1848","GO:0044238"
