"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","0.0499951199427488","2","276","2","0.0072463768115942","1","GO:0009187","GO:BP","cyclic nucleotide metabolic process","31814","3339","GO:0009117"
"query_1","TRUE","2.59604118343243e-13","117","321","17","0.0529595015576324","0.145299145299145","GO:0004523","GO:MF","RNA-DNA hybrid ribonuclease activity","35844","829","GO:0016891"
"query_1","TRUE","8.80030184890022e-11","165","321","17","0.0529595015576324","0.103030303030303","GO:0016891","GO:MF","RNA endonuclease activity, producing 5'-phosphomonoesters","35844","3002","GO:0004521"
"query_1","TRUE","2.05968713463269e-09","231","321","18","0.0560747663551402","0.0779220779220779","GO:0004521","GO:MF","RNA endonuclease activity","35844","827","GO:0004519;GO:0004540"
"query_1","TRUE","1.45111583329512e-07","299","321","18","0.0560747663551402","0.0602006688963211","GO:0004519","GO:MF","endonuclease activity","35844","825","GO:0004518"
"query_1","TRUE","7.72184376503688e-07","332","321","18","0.0560747663551402","0.0542168674698795","GO:0004540","GO:MF","RNA nuclease activity","35844","842","GO:0004518;GO:0140098"
"query_1","TRUE","4.37157397139187e-05","531","321","20","0.0623052959501558","0.0376647834274953","GO:0004518","GO:MF","nuclease activity","35844","824","GO:0016788"
"query_1","TRUE","0.00587993228348355","924","321","23","0.0716510903426791","0.0248917748917749","GO:0140098","GO:MF","catalytic activity, acting on RNA","35844","9294","GO:0140640"
"query_1","TRUE","0.0192492134746359","8135","321","104","0.32398753894081","0.0127842655193608","GO:0003676","GO:MF","nucleic acid binding","35844","311","GO:0005488"
"query_1","TRUE","0.0278782508836558","9","321","3","0.00934579439252336","0.333333333333333","GO:0003886","GO:MF","DNA (cytosine-5-)-methyltransferase activity","35844","413","GO:0008757;GO:0009008"
"query_1","TRUE","0.0373751566565778","1258","321","26","0.0809968847352025","0.0206677265500795","GO:0008270","GO:MF","zinc ion binding","35844","1607","GO:0046914"
"query_1","TRUE","0.03881208460934","2","321","2","0.00623052959501558","1","GO:0004113","GO:MF","2',3'-cyclic-nucleotide 3'-phosphodiesterase activity","35844","578","GO:0004112"
"query_1","TRUE","0.03881208460934","2","321","2","0.00623052959501558","1","GO:0008936","GO:MF","nicotinamidase activity","35844","2010","GO:0004040"
"query_1","TRUE","0.0395617320154655","10","321","3","0.00934579439252336","0.3","GO:0009008","GO:MF","DNA-methyltransferase activity","35844","2059","GO:0008168;GO:0140097"
