"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","0.010828940897327","29","57","3","0.0526315789473684","0.103448275862069","GO:0060320","GO:BP","rejection of self pollen","31814","14323","GO:0048544"
"query_1","TRUE","0.0369943656423038","7","57","2","0.0350877192982456","0.285714285714286","GO:0043335","GO:BP","protein unfolding","31814","10542","GO:0009987"
"query_1","TRUE","0.0492690020065793","8","57","2","0.0350877192982456","0.25","GO:0046901","GO:BP","tetrahydrofolylpolyglutamate biosynthetic process","31814","12261","GO:0009396;GO:0046900"
"query_1","TRUE","9.54828637063361e-05","506","85","10","0.117647058823529","0.0197628458498024","GO:0009579","GO:CC","thylakoid","33180","621","GO:0043232"
"query_1","TRUE","0.00080479875535471","378","85","8","0.0941176470588235","0.0211640211640212","GO:0009534","GO:CC","chloroplast thylakoid","33180","595","GO:0009507;GO:0031976"
"query_1","TRUE","0.00080479875535471","378","85","8","0.0941176470588235","0.0211640211640212","GO:0031976","GO:CC","plastid thylakoid","33180","1194","GO:0009536;GO:0009579"
"query_1","TRUE","0.00943383646402678","31","85","3","0.0352941176470588","0.0967741935483871","GO:0009543","GO:CC","chloroplast thylakoid lumen","33180","603","GO:0009534;GO:0031978"
"query_1","TRUE","0.00943383646402678","31","85","3","0.0352941176470588","0.0967741935483871","GO:0031978","GO:CC","plastid thylakoid lumen","33180","1196","GO:0031976;GO:0031977"
"query_1","TRUE","0.0136349858542972","35","85","3","0.0352941176470588","0.0857142857142857","GO:0031977","GO:CC","thylakoid lumen","33180","1195","GO:0009579;GO:0110165"
"query_1","TRUE","0.0184017268758938","7","85","2","0.0235294117647059","0.285714285714286","GO:0044614","GO:CC","nuclear pore cytoplasmic filaments","33180","2053","GO:0005643;GO:0140513"
"query_1","TRUE","0.00671713569658497","85","68","4","0.0588235294117647","0.0470588235294118","GO:0016655","GO:MF","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","35844","2820","GO:0016651"
"query_1","TRUE","0.0129016361888445","24615","68","61","0.897058823529412","0.00247816372130815","GO:0005488","GO:MF","binding","35844","1450","GO:0003674"
"query_1","TRUE","0.0309951711230444","8","68","2","0.0294117647058824","0.25","GO:0004326","GO:MF","tetrahydrofolylpolyglutamate synthase activity","35844","665","GO:0016881"
"query_1","TRUE","0.0408825861401655","135","68","4","0.0588235294117647","0.0296296296296296","GO:0043130","GO:MF","ubiquitin binding","35844","5219","GO:0032182"
