"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","1.38524764612523e-17","4571","28806","4297","0.14917031174061","0.940056880332531","GO:0036211","GO:BP","protein modification process","31814","9413","GO:0019538;GO:0043412"
"query_1","TRUE","9.15233549258131e-14","4276","28806","4009","0.139172394640006","0.93755846585594","GO:0006793","GO:BP","phosphorus metabolic process","31814","2471","GO:0008152"
"query_1","TRUE","9.30060248188882e-14","29744","28806","27043","0.938797472748733","0.909191769768693","GO:0009987","GO:BP","cellular process","31814","3796","GO:0008150"
"query_1","TRUE","9.9300703448463e-14","4274","28806","4007","0.13910296466014","0.937529246607394","GO:0006796","GO:BP","phosphate-containing compound metabolic process","31814","2474","GO:0006793"
"query_1","TRUE","5.80293916987691e-13","2990","28806","2820","0.0978962716100812","0.94314381270903","GO:0016310","GO:BP","phosphorylation","31814","5173","GO:0006796"
"query_1","TRUE","2.63292967491318e-12","7597","28806","7045","0.24456710407554","0.927339739370804","GO:0019538","GO:BP","protein metabolic process","31814","5841","GO:0043170;GO:0044238"
"query_1","TRUE","5.90758081517519e-12","19737","28806","18064","0.627091578143442","0.915235344783908","GO:0044238","GO:BP","primary metabolic process","31814","10839","GO:0008152"
"query_1","TRUE","7.75854066105422e-12","2563","28806","2421","0.0840449906269527","0.944596176355833","GO:0006468","GO:BP","protein phosphorylation","31814","2199","GO:0016310;GO:0036211"
"query_1","TRUE","3.45442997954008e-10","3126","28806","2934","0.101853780462404","0.938579654510557","GO:0009056","GO:BP","catabolic process","31814","3218","GO:0008152"
"query_1","TRUE","1.43673251885457e-08","4490","28806","4179","0.145073942928557","0.930734966592428","GO:0051252","GO:BP","regulation of RNA metabolic process","31814","13417","GO:0016070;GO:0019219;GO:0060255"
"query_1","TRUE","2.19352273053097e-08","1542","28806","1463","0.0507880302714712","0.948767833981842","GO:0043436","GO:BP","oxoacid metabolic process","31814","10596","GO:0006082"
"query_1","TRUE","4.14603644943719e-08","1543","28806","1463","0.0507880302714712","0.948152948801037","GO:0006082","GO:BP","organic acid metabolic process","31814","1943","GO:0044281"
"query_1","TRUE","6.46206243961413e-08","5132","28806","4763","0.165347497049226","0.928098207326578","GO:0080090","GO:BP","regulation of primary metabolic process","31814","17565","GO:0019222;GO:0044238"
"query_1","TRUE","7.88730129528191e-08","5090","28806","4724","0.163993612441852","0.928094302554027","GO:0009889","GO:BP","regulation of biosynthetic process","31814","3734","GO:0009058;GO:0019222"
"query_1","TRUE","9.50502143086152e-08","1457","28806","1382","0.0479761160869263","0.948524365133837","GO:0019752","GO:BP","carboxylic acid metabolic process","31814","6004","GO:0043436"
