"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","0.000461038083876782","1542","29806","1485","0.049822183452996","0.963035019455253","GO:0043436","GO:BP","oxoacid metabolic process","31814","10596","GO:0006082"
"query_1","TRUE","0.000498780398663315","1817","29806","1746","0.0585788096356438","0.960924600990644","GO:0070887","GO:BP","cellular response to chemical stimulus","31814","16130","GO:0042221;GO:0051716"
"query_1","TRUE","0.000807477358651169","1543","29806","1485","0.049822183452996","0.962410887880752","GO:0006082","GO:BP","organic acid metabolic process","31814","1943","GO:0044281"
"query_1","TRUE","0.000960710326291343","1457","29806","1403","0.0470710595182178","0.962937542896362","GO:0019752","GO:BP","carboxylic acid metabolic process","31814","6004","GO:0043436"
"query_1","TRUE","0.00280304430047196","2563","29806","2449","0.082164664832584","0.95552087397581","GO:0006468","GO:BP","protein phosphorylation","31814","2199","GO:0016310;GO:0036211"
"query_1","TRUE","0.00544139485334105","2807","29806","2678","0.0898476816748306","0.954043462771642","GO:0007165","GO:BP","signal transduction","31814","2716","GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716"
"query_1","TRUE","0.00662425380031807","4571","29806","4342","0.145675367375696","0.949901553270619","GO:0036211","GO:BP","protein modification process","31814","9413","GO:0019538;GO:0043412"
"query_1","TRUE","0.00755877239343318","2990","29806","2850","0.0956183318794873","0.953177257525084","GO:0016310","GO:BP","phosphorylation","31814","5173","GO:0006796"
"query_1","TRUE","0.00869615936173982","4276","29806","4063","0.136314835939073","0.950187090739008","GO:0006793","GO:BP","phosphorus metabolic process","31814","2471","GO:0008152"
"query_1","TRUE","0.00899814213330116","4274","29806","4061","0.136247735355298","0.950163781001404","GO:0006796","GO:BP","phosphate-containing compound metabolic process","31814","2474","GO:0006793"
"query_1","TRUE","0.0105250111058178","1314","29806","1263","0.0423740186539623","0.961187214611872","GO:0071495","GO:BP","cellular response to endogenous stimulus","31814","16497","GO:0009719"
"query_1","TRUE","0.0111258363379982","1312","29806","1261","0.0423069180701872","0.961128048780488","GO:0032870","GO:BP","cellular response to hormone stimulus","31814","7810","GO:0009725;GO:0070887;GO:0071495"
"query_1","TRUE","0.0118135454244184","2624","29806","2503","0.0839763805945112","0.953887195121951","GO:0042221","GO:BP","response to chemical","31814","9956","GO:0050896"
"query_1","TRUE","0.0189625642307197","994","29806","958","0.0321411796282628","0.963782696177062","GO:0016192","GO:BP","vesicle-mediated transport","31814","5143","GO:0006810;GO:0009987"
"query_1","TRUE","0.0238919955899685","1284","29806","1233","0.0413675098973361","0.960280373831776","GO:0009755","GO:BP","hormone-mediated signaling pathway","31814","3637","GO:0007165;GO:0032870"
"query_1","TRUE","0.0289291652868904","2831","29806","2696","0.0904515869288063","0.952313670081243","GO:0023052","GO:BP","signaling","31814","6607","GO:0050789"
"query_1","TRUE","0.035482288119895","2838","29806","2702","0.0906528886801315","0.952078928823115","GO:0007154","GO:BP","cell communication","31814","2705","GO:0009987"
"query_1","TRUE","4.10508422987916e-93","21845","30201","20407","0.675706102446939","0.934172579537652","GO:0005622","GO:CC","intracellular anatomical structure","33180","232","GO:0110165"
"query_1","TRUE","1.4008923913323e-50","18289","30201","17042","0.564285950796331","0.931816939143748","GO:0043229","GO:CC","intracellular organelle","33180","1843","GO:0005622;GO:0043226"
"query_1","TRUE","1.58012603249704e-50","18331","30201","17080","0.565544187278567","0.93175495063008","GO:0043226","GO:CC","organelle","33180","1840","GO:0110165"
"query_1","TRUE","1.18239817191574e-38","16851","30201","15683","0.519287440813218","0.930686606136134","GO:0043227","GO:CC","membrane-bounded organelle","33180","1841","GO:0043226"
"query_1","TRUE","1.54754078944665e-38","16800","30201","15636","0.517731200953611","0.930714285714286","GO:0043231","GO:CC","intracellular membrane-bounded organelle","33180","1845","GO:0043227;GO:0043229"
"query_1","TRUE","1.21151670811796e-28","9508","30201","8915","0.295188901029767","0.937631468237274","GO:0005634","GO:CC","nucleus","33180","238","GO:0043231"
"query_1","TRUE","1.24617654087171e-28","12925","30201","12050","0.398993410814211","0.932301740812379","GO:0005737","GO:CC","cytoplasm","33180","304","GO:0005622;GO:0110165"
"query_1","TRUE","8.00771838293134e-24","4064","30201","3865","0.127975894837919","0.951033464566929","GO:0071944","GO:CC","cell periphery","33180","2725","GO:0110165"
"query_1","TRUE","3.57059221615359e-18","2982","30201","2840","0.0940366213039303","0.952380952380952","GO:0012505","GO:CC","endomembrane system","33180","666","GO:0110165"
"query_1","TRUE","1.40727935067583e-14","3345","30201","3165","0.104797854375683","0.946188340807175","GO:0005886","GO:CC","plasma membrane","33180","409","GO:0016020;GO:0071944"
"query_1","TRUE","2.93525663709018e-14","1368","30201","1320","0.0437071620145028","0.964912280701754","GO:0005576","GO:CC","extracellular region","33180","194","GO:0110165"
"query_1","TRUE","2.3174389212948e-12","1393","30201","1339","0.0443362802556207","0.961234745154343","GO:0005794","GO:CC","Golgi apparatus","33180","345","GO:0005737;GO:0012505;GO:0043231"
"query_1","TRUE","2.07019837232499e-08","845","30201","815","0.026985861395318","0.964497041420118","GO:0005773","GO:CC","vacuole","33180","327","GO:0005737;GO:0043231"
"query_1","TRUE","2.75889544683779e-08","595","30201","579","0.0191715506109069","0.973109243697479","GO:0030312","GO:CC","external encapsulating structure","33180","902","GO:0071944;GO:0110165"
"query_1","TRUE","4.89447429380091e-08","568","30201","553","0.0183106519651667","0.973591549295775","GO:0005618","GO:CC","cell wall","33180","229","GO:0030312"
"query_1","TRUE","1.69902277474702e-06","2307","30201","2169","0.0718188139465581","0.940182054616385","GO:0005829","GO:CC","cytosol","33180","367","GO:0005737;GO:0110165"
"query_1","TRUE","3.94130863447846e-06","690","30201","664","0.0219860269527499","0.96231884057971","GO:0005856","GO:CC","cytoskeleton","33180","386","GO:0043232"
"query_1","TRUE","7.11023825016904e-06","712","30201","684","0.0226482566802424","0.960674157303371","GO:0031410","GO:CC","cytoplasmic vesicle","33180","1078","GO:0005737;GO:0097708"
"query_1","TRUE","7.11023825016904e-06","712","30201","684","0.0226482566802424","0.960674157303371","GO:0097708","GO:CC","intracellular vesicle","33180","3068","GO:0031982;GO:0043231"
"query_1","TRUE","9.21033701019589e-06","755","30201","724","0.0239727161352273","0.958940397350993","GO:0031982","GO:CC","vesicle","33180","1199","GO:0043227"
"query_1","TRUE","5.76339992556104e-05","562","30201","541","0.0179133141286712","0.962633451957295","GO:0099080","GO:CC","supramolecular complex","33180","3270","GO:0110165"
"query_1","TRUE","5.94213865522019e-05","5575","30201","5166","0.171053938611304","0.926636771300448","GO:0032991","GO:CC","protein-containing complex","33180","1311","GO:0005575"
"query_1","TRUE","7.63019009667499e-05","291","30201","285","0.00943677361676766","0.979381443298969","GO:0048046","GO:CC","apoplast","33180","2151","GO:0005576"
"query_1","TRUE","0.000101845890772915","435","30201","421","0.0139399357637164","0.967816091954023","GO:0005768","GO:CC","endosome","33180","323","GO:0012505;GO:0031410"
