"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","0.0116428121277951","8","30","2","0.0666666666666667","0.25","GO:0046901","GO:BP","tetrahydrofolylpolyglutamate biosynthetic process","31814","12261","GO:0009396;GO:0046900"
"query_1","TRUE","0.0149605487929254","9","30","2","0.0666666666666667","0.222222222222222","GO:0000967","GO:BP","rRNA 5'-end processing","31814","273","GO:0000966;GO:0006364"
"query_1","TRUE","0.0186897166205886","10","30","2","0.0666666666666667","0.2","GO:0046900","GO:BP","tetrahydrofolylpolyglutamate metabolic process","31814","12260","GO:0006760"
"query_1","TRUE","0.0273794382704089","12","30","2","0.0666666666666667","0.166666666666667","GO:0006446","GO:BP","regulation of translational initiation","31814","2188","GO:0006413;GO:0006417"
"query_1","TRUE","0.0273794382704089","12","30","2","0.0666666666666667","0.166666666666667","GO:0006449","GO:BP","regulation of translational termination","31814","2191","GO:0006415;GO:0006417;GO:0043244"
"query_1","TRUE","0.00620329620836488","7","56","2","0.0357142857142857","0.285714285714286","GO:0044614","GO:CC","nuclear pore cytoplasmic filaments","33180","2053","GO:0005643;GO:0140513"
"query_1","TRUE","0.000345413697419092","85","35","4","0.114285714285714","0.0470588235294118","GO:0016655","GO:MF","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","35844","2820","GO:0016651"
"query_1","TRUE","0.00218068018127265","135","35","4","0.114285714285714","0.0296296296296296","GO:0043130","GO:MF","ubiquitin binding","35844","5219","GO:0032182"
"query_1","TRUE","0.00305157510108193","147","35","4","0.114285714285714","0.0272108843537415","GO:0032182","GO:MF","ubiquitin-like protein binding","35844","4162","GO:0005515"
"query_1","TRUE","0.00540653909371569","56","35","3","0.0857142857142857","0.0535714285714286","GO:0048038","GO:MF","quinone binding","35844","6707","GO:0036094"
"query_1","TRUE","0.00565555442984978","172","35","4","0.114285714285714","0.0232558139534884","GO:0016651","GO:MF","oxidoreductase activity, acting on NAD(P)H","35844","2817","GO:0016491"
"query_1","TRUE","0.00612310942256373","8","35","2","0.0571428571428571","0.25","GO:0004326","GO:MF","tetrahydrofolylpolyglutamate synthase activity","35844","665","GO:0016881"
"query_1","TRUE","0.0261133829160094","16","35","2","0.0571428571428571","0.125","GO:0000822","GO:MF","inositol hexakisphosphate binding","35844","96","GO:0043168;GO:0043178"
