"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","1.86551377946996e-16","19737","29367","18424","0.627370858446556","0.933475198865076","GO:0044238","GO:BP","primary metabolic process","31814","10839","GO:0008152"
"query_1","TRUE","9.37517824115154e-15","29744","29367","27562","0.938536452480676","0.926640667025282","GO:0009987","GO:BP","cellular process","31814","3796","GO:0008150"
"query_1","TRUE","1.1638131603732e-11","4571","29367","4338","0.147716825007662","0.949026471231678","GO:0036211","GO:BP","protein modification process","31814","9413","GO:0019538;GO:0043412"
"query_1","TRUE","1.01823134518996e-10","3126","29367","2981","0.101508495930807","0.95361484325016","GO:0009056","GO:BP","catabolic process","31814","3218","GO:0008152"
"query_1","TRUE","1.03479702260915e-10","5304","29367","5018","0.17087206728641","0.946078431372549","GO:0043412","GO:BP","macromolecule modification","31814","10582","GO:0043170"
"query_1","TRUE","4.48326961799449e-10","7597","29367","7150","0.243470562195662","0.941160984599184","GO:0019538","GO:BP","protein metabolic process","31814","5841","GO:0043170;GO:0044238"
"query_1","TRUE","1.70872258088599e-09","22317","29367","20750","0.706575407770627","0.929784469238697","GO:0008152","GO:BP","metabolic process","31814","3111","GO:0009987"
"query_1","TRUE","3.02417779703851e-07","16171","29367","15069","0.513126979262437","0.931853317667429","GO:0043170","GO:BP","macromolecule metabolic process","31814","10470","GO:0008152"
"query_1","TRUE","4.54262331212339e-07","2990","29367","2838","0.0966390846868934","0.949163879598662","GO:0016310","GO:BP","phosphorylation","31814","5173","GO:0006796"
"query_1","TRUE","7.64065896746169e-07","4276","29367","4038","0.137501276943508","0.944340505144995","GO:0006793","GO:BP","phosphorus metabolic process","31814","2471","GO:0008152"
"query_1","TRUE","8.06300073263114e-07","4274","29367","4036","0.137433173289747","0.944314459522695","GO:0006796","GO:BP","phosphate-containing compound metabolic process","31814","2474","GO:0006793"
"query_1","TRUE","2.69526433123643e-06","1821","29367","1739","0.0592161269452106","0.954969796814937","GO:0009057","GO:BP","macromolecule catabolic process","31814","3219","GO:0009056;GO:0043170"
"query_1","TRUE","1.63875976089409e-05","5132","29367","4827","0.164368168352232","0.940568978955573","GO:0080090","GO:BP","regulation of primary metabolic process","31814","17565","GO:0019222;GO:0044238"
"query_1","TRUE","1.68510940833041e-05","5504","29367","5173","0.176150100452889","0.939861918604651","GO:0060255","GO:BP","regulation of macromolecule metabolic process","31814","14264","GO:0019222;GO:0043170"
"query_1","TRUE","2.64327785322041e-05","2563","29367","2430","0.0827459393196445","0.948107686305111","GO:0006468","GO:BP","protein phosphorylation","31814","2199","GO:0016310;GO:0036211"
"query_1","TRUE","3.07795112432921e-05","5090","29367","4786","0.162972043450131","0.940275049115914","GO:0009889","GO:BP","regulation of biosynthetic process","31814","3734","GO:0009058;GO:0019222"
"query_1","TRUE","4.61450307190326e-05","5072","29367","4768","0.162359110566282","0.94006309148265","GO:0010556","GO:BP","regulation of macromolecule biosynthetic process","31814","4192","GO:0009059;GO:0009889;GO:0060255"
"query_1","TRUE","6.30129656922587e-05","5058","29367","4754","0.161882384989955","0.939897192566232","GO:0010468","GO:BP","regulation of gene expression","31814","4145","GO:0010467;GO:0010556"
