"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","0.000338276556874043","1817","30493","1777","0.0582756698258617","0.977985690698954","GO:0070887","GO:BP","cellular response to chemical stimulus","31814","16130","GO:0042221;GO:0051716"
"query_1","TRUE","0.000453842700351776","2807","30493","2734","0.0896599219492998","0.973993587459922","GO:0007165","GO:BP","signal transduction","31814","2716","GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716"
"query_1","TRUE","0.000453931249261119","1314","30493","1289","0.0422719968517365","0.980974124809741","GO:0071495","GO:BP","cellular response to endogenous stimulus","31814","16497","GO:0009719"
"query_1","TRUE","0.000476985877210282","1312","30493","1287","0.042206408028072","0.98094512195122","GO:0032870","GO:BP","cellular response to hormone stimulus","31814","7810","GO:0009725;GO:0070887;GO:0071495"
"query_1","TRUE","0.000896220227964448","2563","30493","2497","0.0818876463450628","0.974248927038627","GO:0006468","GO:BP","protein phosphorylation","31814","2199","GO:0016310;GO:0036211"
"query_1","TRUE","0.000948276084052199","1284","30493","1259","0.0412881644967698","0.980529595015576","GO:0009755","GO:BP","hormone-mediated signaling pathway","31814","3637","GO:0007165;GO:0032870"
"query_1","TRUE","0.00457435696985596","2990","30493","2906","0.0953005607844423","0.97190635451505","GO:0016310","GO:BP","phosphorylation","31814","5173","GO:0006796"
"query_1","TRUE","0.00531276311681477","2838","30493","2759","0.0904797822451054","0.972163495419309","GO:0007154","GO:BP","cell communication","31814","2705","GO:0009987"
"query_1","TRUE","0.00594956628091569","2831","30493","2752","0.0902502213622799","0.972094666195691","GO:0023052","GO:BP","signaling","31814","6607","GO:0050789"
"query_1","TRUE","0.00943050657044317","4571","30493","4428","0.145213655593087","0.968715817107854","GO:0036211","GO:BP","protein modification process","31814","9413","GO:0019538;GO:0043412"
"query_1","TRUE","0.0165997355860648","2624","30493","2550","0.0836257501721707","0.971798780487805","GO:0042221","GO:BP","response to chemical","31814","9956","GO:0050896"
"query_1","TRUE","0.0450643127300166","616","30493","606","0.0198734135703276","0.983766233766234","GO:0009734","GO:BP","auxin-activated signaling pathway","31814","3616","GO:0009755;GO:0071365"
"query_1","TRUE","0.0450643127300166","616","30493","606","0.0198734135703276","0.983766233766234","GO:0071365","GO:BP","cellular response to auxin stimulus","31814","16387","GO:0009733;GO:0032870"
"query_1","TRUE","0.0470886415952713","297","30493","295","0.00967435149050602","0.993265993265993","GO:0046777","GO:BP","protein autophosphorylation","31814","12198","GO:0006468"
"query_1","TRUE","1.0609948157425e-78","21845","31043","20852","0.671713429758722","0.954543373769741","GO:0005622","GO:CC","intracellular anatomical structure","33180","232","GO:0110165"
"query_1","TRUE","9.01561181143463e-47","18289","31043","17437","0.561704732145733","0.953414620810323","GO:0043229","GO:CC","intracellular organelle","33180","1843","GO:0005622;GO:0043226"
"query_1","TRUE","1.08993552000556e-46","18331","31043","17476","0.562961054021841","0.953357700070918","GO:0043226","GO:CC","organelle","33180","1840","GO:0110165"
"query_1","TRUE","5.08175876991076e-33","16851","31043","16039","0.516670424894501","0.951812948786422","GO:0043227","GO:CC","membrane-bounded organelle","33180","1841","GO:0043226"
"query_1","TRUE","5.77750541974176e-33","16800","31043","15991","0.515124182585446","0.951845238095238","GO:0043231","GO:CC","intracellular membrane-bounded organelle","33180","1845","GO:0043227;GO:0043229"
"query_1","TRUE","1.0469457750232e-28","4064","31043","3954","0.127371710208421","0.972933070866142","GO:0071944","GO:CC","cell periphery","33180","2725","GO:0110165"
"query_1","TRUE","1.98621802584652e-26","12925","31043","12327","0.397094352994234","0.953733075435203","GO:0005737","GO:CC","cytoplasm","33180","304","GO:0005622;GO:0110165"
"query_1","TRUE","3.38159385343476e-17","3345","31043","3239","0.104339142479786","0.96831091180867","GO:0005886","GO:CC","plasma membrane","33180","409","GO:0016020;GO:0071944"
"query_1","TRUE","5.91005274938646e-16","9508","31043","9063","0.291949875978481","0.953197307530501","GO:0005634","GO:CC","nucleus","33180","238","GO:0043231"
"query_1","TRUE","1.08618324666567e-15","2982","31043","2889","0.0930644589762587","0.968812877263581","GO:0012505","GO:CC","endomembrane system","33180","666","GO:0110165"
"query_1","TRUE","2.48547615289643e-15","1368","31043","1344","0.0432947846535451","0.982456140350877","GO:0005576","GO:CC","extracellular region","33180","194","GO:0110165"
"query_1","TRUE","1.38165002015215e-12","568","31043","566","0.0182327738942757","0.996478873239437","GO:0005618","GO:CC","cell wall","33180","229","GO:0030312"
"query_1","TRUE","3.45203926724752e-12","595","31043","592","0.0190703218116806","0.994957983193277","GO:0030312","GO:CC","external encapsulating structure","33180","902","GO:0071944;GO:0110165"
"query_1","TRUE","1.04929727600011e-11","845","31043","834","0.0268659601198338","0.98698224852071","GO:0005773","GO:CC","vacuole","33180","327","GO:0005737;GO:0043231"
"query_1","TRUE","1.22602815444201e-10","1393","31043","1359","0.0437779853751248","0.975592246949031","GO:0005794","GO:CC","Golgi apparatus","33180","345","GO:0005737;GO:0012505;GO:0043231"
"query_1","TRUE","1.79513596413838e-06","446","31043","441","0.0142061012144445","0.988789237668161","GO:0005774","GO:CC","vacuolar membrane","33180","328","GO:0005773;GO:0098588"
"query_1","TRUE","1.81209723308014e-06","590","31043","580","0.0186837612344168","0.983050847457627","GO:0005911","GO:CC","cell-cell junction","33180","426","GO:0070161"
"query_1","TRUE","1.81209723308014e-06","590","31043","580","0.0186837612344168","0.983050847457627","GO:0030054","GO:CC","cell junction","33180","844","GO:0110165"
"query_1","TRUE","1.81209723308014e-06","590","31043","580","0.0186837612344168","0.983050847457627","GO:0055044","GO:CC","symplast","33180","2194","GO:0110165"
"query_1","TRUE","1.81209723308014e-06","590","31043","580","0.0186837612344168","0.983050847457627","GO:0070161","GO:CC","anchoring junction","33180","2375","GO:0030054"
"query_1","TRUE","1.81209723308014e-06","590","31043","580","0.0186837612344168","0.983050847457627","GO:0009506","GO:CC","plasmodesma","33180","568","GO:0005911;GO:0055044"
"query_1","TRUE","2.80883692116216e-06","2307","31043","2216","0.0713848532680475","0.960554833116602","GO:0005829","GO:CC","cytosol","33180","367","GO:0005737;GO:0110165"
"query_1","TRUE","4.89211087573857e-05","291","31043","289","0.00930966723576974","0.993127147766323","GO:0048046","GO:CC","apoplast","33180","2151","GO:0005576"
"query_1","TRUE","0.000356353405312243","1284","31043","1237","0.0398479528396096","0.963395638629283","GO:0005783","GO:CC","endoplasmic reticulum","33180","335","GO:0005737;GO:0012505;GO:0043231"
"query_1","TRUE","0.000815237988750828","5575","31043","5285","0.170247720903263","0.947982062780269","GO:0032991","GO:CC","protein-containing complex","33180","1311","GO:0005575"
"query_1","TRUE","0.00100638192936251","906","31043","876","0.0282189221402571","0.966887417218543","GO:0031984","GO:CC","organelle subcompartment","33180","1201","GO:0043227;GO:0043229;GO:0110165"
"query_1","TRUE","0.00108130603602493","690","31043","670","0.0215829655638952","0.971014492753623","GO:0005856","GO:CC","cytoskeleton","33180","386","GO:0043232"
"query_1","TRUE","0.00242365399655099","755","31043","731","0.0235479818316529","0.968211920529801","GO:0031982","GO:CC","vesicle","33180","1199","GO:0043227"
