




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	large_families_high_stringency.txt (21135)	large_families_high_stringency.txt (expected)	large_families_high_stringency.txt (over/under)	large_families_high_stringency.txt (fold Enrichment)	large_families_high_stringency.txt (raw P-value)	large_families_high_stringency.txt (FDR)
Rho protein signal transduction (GO:0007266)	13	13	4.92	+	2.64	3.25E-06	1.51E-05
positive regulation of developmental process (GO:0051094)	4	4	1.51	+	2.64	2.05E-02	4.00E-02
positive regulation of cell motility (GO:2000147)	6	6	2.27	+	2.64	2.93E-03	7.27E-03
regulation of cell motility (GO:2000145)	6	6	2.27	+	2.64	2.93E-03	7.25E-03
cilium assembly (GO:0060271)	6	6	2.27	+	2.64	2.93E-03	7.24E-03
calcium ion transmembrane import into cytosol (GO:0097553)	15	15	5.68	+	2.64	4.66E-07	2.52E-06
negative regulation of sequestering of calcium ion (GO:0051283)	15	15	5.68	+	2.64	4.66E-07	2.51E-06
regulation of sequestering of calcium ion (GO:0051282)	15	15	5.68	+	2.64	4.66E-07	2.50E-06
positive regulation of multicellular organismal process (GO:0051240)	4	4	1.51	+	2.64	2.05E-02	3.99E-02
cilium organization (GO:0044782)	6	6	2.27	+	2.64	2.93E-03	7.23E-03
release of sequestered calcium ion into cytosol (GO:0051209)	15	15	5.68	+	2.64	4.66E-07	2.49E-06
positive regulation of locomotion (GO:0040017)	6	6	2.27	+	2.64	2.93E-03	7.21E-03
regulation of locomotion (GO:0040012)	6	6	2.27	+	2.64	2.93E-03	7.20E-03
plasma membrane bounded cell projection organization (GO:0120036)	6	6	2.27	+	2.64	2.93E-03	7.19E-03
plasma membrane bounded cell projection assembly (GO:0120031)	6	6	2.27	+	2.64	2.93E-03	7.18E-03
regulation of cytokinesis (GO:0032465)	6	6	2.27	+	2.64	2.93E-03	7.16E-03
regulation of establishment of protein localization (GO:0070201)	10	10	3.78	+	2.64	6.01E-05	2.23E-04
regulation of peptidase activity (GO:0052547)	5	5	1.89	+	2.64	7.76E-03	1.78E-02
positive regulation of peptidase activity (GO:0010952)	5	5	1.89	+	2.64	7.76E-03	1.77E-02
energy reserve metabolic process (GO:0006112)	9	9	3.41	+	2.64	1.59E-04	5.30E-04
circadian regulation of gene expression (GO:0032922)	7	7	2.65	+	2.64	1.11E-03	3.05E-03
glycogen metabolic process (GO:0005977)	9	9	3.41	+	2.64	1.59E-04	5.29E-04
multicellular organismal reproductive process (GO:0048609)	7	7	2.65	+	2.64	1.11E-03	3.05E-03
positive regulation of transport (GO:0051050)	10	10	3.78	+	2.64	6.01E-05	2.23E-04
glycosaminoglycan biosynthetic process (GO:0006024)	7	7	2.65	+	2.64	1.11E-03	3.04E-03
aminoglycan biosynthetic process (GO:0006023)	7	7	2.65	+	2.64	1.11E-03	3.03E-03
positive regulation of establishment of protein localization (GO:1904951)	10	10	3.78	+	2.64	6.01E-05	2.22E-04
multicellular organism reproduction (GO:0032504)	7	7	2.65	+	2.64	1.11E-03	3.03E-03
hormone transport (GO:0009914)	20	20	7.57	+	2.64	3.60E-09	2.72E-08
positive regulation of protein localization (GO:1903829)	10	10	3.78	+	2.64	6.01E-05	2.22E-04
positive regulation of apoptotic signaling pathway (GO:2001235)	5	5	1.89	+	2.64	7.76E-03	1.77E-02
rhythmic process (GO:0048511)	9	9	3.41	+	2.64	1.59E-04	5.27E-04
positive regulation of programmed cell death (GO:0043068)	5	5	1.89	+	2.64	7.76E-03	1.77E-02
positive regulation of apoptotic process (GO:0043065)	5	5	1.89	+	2.64	7.76E-03	1.76E-02
negative regulation of multicellular organismal process (GO:0051241)	5	5	1.89	+	2.64	7.76E-03	1.76E-02
regulation of protein transport (GO:0051223)	10	10	3.78	+	2.64	6.01E-05	2.21E-04
positive regulation of protein transport (GO:0051222)	10	10	3.78	+	2.64	6.01E-05	2.21E-04
cell fate specification (GO:0001708)	10	10	3.78	+	2.64	6.01E-05	2.20E-04
secondary alcohol metabolic process (GO:1902652)	10	10	3.78	+	2.64	6.01E-05	2.19E-04
circadian rhythm (GO:0007623)	9	9	3.41	+	2.64	1.59E-04	5.26E-04
actin filament bundle organization (GO:0061572)	38	36	14.38	+	2.50	1.77E-13	2.20E-12
actin filament bundle assembly (GO:0051017)	38	36	14.38	+	2.50	1.77E-13	2.18E-12
response to organic cyclic compound (GO:0014070)	37	35	14.00	+	2.50	4.43E-13	5.23E-12
hormone biosynthetic process (GO:0042446)	36	34	13.62	+	2.50	1.11E-12	1.22E-11
MAPK cascade (GO:0000165)	31	29	11.73	+	2.47	1.07E-10	9.53E-10
cellular response to organic cyclic compound (GO:0071407)	30	28	11.35	+	2.47	2.64E-10	2.33E-09
fluid transport (GO:0042044)	26	24	9.84	+	2.44	9.72E-09	6.74E-08
water transport (GO:0006833)	26	24	9.84	+	2.44	9.72E-09	6.71E-08
steroid hormone mediated signaling pathway (GO:0043401)	25	23	9.46	+	2.43	2.38E-08	1.57E-07
response to steroid hormone (GO:0048545)	25	23	9.46	+	2.43	2.38E-08	1.56E-07
cellular response to steroid hormone stimulus (GO:0071383)	25	23	9.46	+	2.43	2.38E-08	1.56E-07
autophagosome maturation (GO:0097352)	23	21	8.70	+	2.41	1.41E-07	8.22E-07
developmental growth (GO:0048589)	22	20	8.32	+	2.40	3.41E-07	1.89E-06
cell growth (GO:0016049)	22	20	8.32	+	2.40	3.41E-07	1.88E-06
developmental growth involved in morphogenesis (GO:0060560)	22	20	8.32	+	2.40	3.41E-07	1.87E-06
growth (GO:0040007)	22	20	8.32	+	2.40	3.41E-07	1.86E-06
unidimensional cell growth (GO:0009826)	22	20	8.32	+	2.40	3.41E-07	1.86E-06
mitotic cytokinesis (GO:0000281)	57	51	21.57	+	2.36	6.51E-16	9.97E-15
cytoskeleton-dependent cytokinesis (GO:0061640)	57	51	21.57	+	2.36	6.51E-16	9.87E-15
cytokinesis (GO:0000910)	57	51	21.57	+	2.36	6.51E-16	9.76E-15
small GTPase-mediated signal transduction (GO:0007264)	16	14	6.05	+	2.31	6.19E-05	2.25E-04
mitochondrial transcription (GO:0006390)	8	7	3.03	+	2.31	5.94E-03	1.39E-02
beta-glucan biosynthetic process (GO:0051274)	63	55	23.84	+	2.31	5.58E-16	8.65E-15
regulation of transcription elongation by RNA polymerase II (GO:0034243)	45	39	17.03	+	2.29	1.76E-11	1.75E-10
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	45	39	17.03	+	2.29	1.76E-11	1.74E-10
peptidyl-threonine phosphorylation (GO:0018107)	43	37	16.27	+	2.27	9.26E-11	8.38E-10
protein K63-linked ubiquitination (GO:0070534)	14	12	5.30	+	2.27	3.32E-04	1.02E-03
intracellular glucose homeostasis (GO:0001678)	14	12	5.30	+	2.27	3.32E-04	1.02E-03
cell projection assembly (GO:0030031)	7	6	2.65	+	2.27	1.39E-02	2.95E-02
cell projection organization (GO:0030030)	7	6	2.65	+	2.27	1.39E-02	2.95E-02
glucose homeostasis (GO:0042593)	14	12	5.30	+	2.27	3.32E-04	1.02E-03
carbohydrate homeostasis (GO:0033500)	14	12	5.30	+	2.27	3.32E-04	1.02E-03
neutral amino acid transport (GO:0015804)	7	6	2.65	+	2.27	1.39E-02	2.94E-02
cell surface receptor signaling pathway (GO:0007166)	41	35	15.51	+	2.26	4.81E-10	4.11E-09
phospholipid catabolic process (GO:0009395)	33	28	12.49	+	2.24	3.70E-08	2.35E-07
vegetative to reproductive phase transition of meristem (GO:0010228)	13	11	4.92	+	2.24	7.58E-04	2.19E-03
intracellular signaling cassette (GO:0141124)	69	58	26.11	+	2.22	3.52E-15	4.95E-14
establishment or maintenance of cell polarity (GO:0007163)	30	25	11.35	+	2.20	4.17E-07	2.26E-06
response to external biotic stimulus (GO:0043207)	271	224	102.55	+	2.18	5.68E-52	2.47E-50
response to other organism (GO:0051707)	271	224	102.55	+	2.18	5.68E-52	2.40E-50
response to biotic stimulus (GO:0009607)	271	224	102.55	+	2.18	5.68E-52	2.33E-50
defense response to other organism (GO:0098542)	271	224	102.55	+	2.18	5.68E-52	2.26E-50
amino acid transmembrane transport (GO:0003333)	143	117	54.11	+	2.16	4.51E-27	1.06E-25
actin filament depolymerization (GO:0030042)	21	17	7.95	+	2.14	1.14E-04	3.91E-04
actin polymerization or depolymerization (GO:0008154)	21	17	7.95	+	2.14	1.14E-04	3.90E-04
protein peptidyl-prolyl isomerization (GO:0000413)	56	45	21.19	+	2.12	9.54E-11	8.58E-10
protein hydroxylation (GO:0018126)	25	20	9.46	+	2.11	2.75E-05	1.12E-04
developmental cell growth (GO:0048588)	10	8	3.78	+	2.11	8.35E-03	1.89E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	280	224	105.95	+	2.11	2.66E-47	9.50E-46
cell development (GO:0048468)	10	8	3.78	+	2.11	8.35E-03	1.88E-02
cell division (GO:0051301)	74	59	28.00	+	2.11	2.31E-13	2.78E-12
regulation of cell shape (GO:0008360)	24	19	9.08	+	2.09	5.51E-05	2.12E-04
secondary metabolite biosynthetic process (GO:0044550)	48	38	18.16	+	2.09	9.67E-09	6.74E-08
protein phosphorylation (GO:0006468)	986	780	373.11	+	2.09	3.68E-157	1.71E-154
telomere maintenance via telomerase (GO:0007004)	66	52	24.97	+	2.08	1.40E-11	1.40E-10
defense response (GO:0006952)	344	271	130.17	+	2.08	1.96E-54	1.14E-52
heterochromatin organization (GO:0070828)	37	29	14.00	+	2.07	6.07E-07	3.11E-06
heterochromatin formation (GO:0031507)	37	29	14.00	+	2.07	6.07E-07	3.10E-06
detoxification (GO:0098754)	37	29	14.00	+	2.07	6.07E-07	3.09E-06
response to toxic substance (GO:0009636)	37	29	14.00	+	2.07	6.07E-07	3.08E-06
amino acid transport (GO:0006865)	170	133	64.33	+	2.07	6.69E-27	1.55E-25
carbohydrate phosphorylation (GO:0046835)	18	14	6.81	+	2.06	8.57E-04	2.46E-03
telomere maintenance via telomere lengthening (GO:0010833)	67	52	25.35	+	2.05	4.90E-11	4.68E-10
phosphorylation (GO:0016310)	1054	817	398.84	+	2.05	9.65E-155	3.36E-152
organic acid transmembrane transport (GO:1903825)	163	126	61.68	+	2.04	1.22E-24	2.62E-23
carboxylic acid transmembrane transport (GO:1905039)	163	126	61.68	+	2.04	1.22E-24	2.58E-23
cellular response to oxygen-containing compound (GO:1901701)	129	99	48.81	+	2.03	2.88E-19	5.02E-18
phospholipid dephosphorylation (GO:0046839)	64	49	24.22	+	2.02	3.64E-10	3.15E-09
glycolytic process (GO:0006096)	89	68	33.68	+	2.02	1.52E-13	1.90E-12
glucan biosynthetic process (GO:0009250)	80	61	30.27	+	2.02	3.52E-12	3.72E-11
cell wall organization (GO:0071555)	46	35	17.41	+	2.01	1.55E-07	9.01E-07
protein dephosphorylation (GO:0006470)	176	133	66.60	+	2.00	4.08E-24	8.49E-23
regulation of intracellular pH (GO:0051453)	45	34	17.03	+	2.00	4.96E-07	2.63E-06
regulation of cellular pH (GO:0030641)	45	34	17.03	+	2.00	4.96E-07	2.62E-06
oligosaccharide biosynthetic process (GO:0009312)	49	37	18.54	+	2.00	1.26E-07	7.39E-07
regulation of hormone levels (GO:0010817)	101	76	38.22	+	1.99	3.16E-14	4.24E-13
cell cycle G1/S phase transition (GO:0044843)	12	9	4.54	+	1.98	1.34E-02	2.87E-02
G1/S transition of mitotic cell cycle (GO:0000082)	12	9	4.54	+	1.98	1.34E-02	2.87E-02
cell morphogenesis (GO:0000902)	32	24	12.11	+	1.98	2.64E-05	1.08E-04
regulation of protein-containing complex assembly (GO:0043254)	36	27	13.62	+	1.98	7.27E-06	3.17E-05
calcium-mediated signaling (GO:0019722)	20	15	7.57	+	1.98	8.92E-04	2.55E-03
NLS-bearing protein import into nucleus (GO:0006607)	20	15	7.57	+	1.98	8.92E-04	2.55E-03
glucan metabolic process (GO:0044042)	114	85	43.14	+	1.97	2.06E-15	2.92E-14
DNA geometric change (GO:0032392)	86	64	32.54	+	1.97	6.27E-12	6.53E-11
DNA duplex unwinding (GO:0032508)	86	64	32.54	+	1.97	6.27E-12	6.48E-11
response to external stimulus (GO:0009605)	347	257	131.31	+	1.96	6.58E-43	2.18E-41
actin filament organization (GO:0007015)	104	77	39.35	+	1.96	9.34E-14	1.21E-12
cellular response to lipid (GO:0071396)	92	68	34.81	+	1.95	2.61E-12	2.80E-11
positive regulation of DNA-templated transcription, elongation (GO:0032786)	53	39	20.06	+	1.94	1.99E-07	1.14E-06
regulation of DNA-templated transcription elongation (GO:0032784)	53	39	20.06	+	1.94	1.99E-07	1.13E-06
gibberellin metabolic process (GO:0009685)	34	25	12.87	+	1.94	4.73E-05	1.86E-04
phospholipid translocation (GO:0045332)	30	22	11.35	+	1.94	9.69E-05	3.37E-04
purine ribonucleotide catabolic process (GO:0009154)	93	68	35.19	+	1.93	7.72E-12	7.85E-11
ribonucleotide catabolic process (GO:0009261)	93	68	35.19	+	1.93	7.72E-12	7.80E-11
dephosphorylation (GO:0016311)	249	182	94.22	+	1.93	1.81E-29	4.86E-28
immune system process (GO:0002376)	26	19	9.84	+	1.93	3.55E-04	1.08E-03
immune response (GO:0006955)	26	19	9.84	+	1.93	3.55E-04	1.08E-03
secondary metabolic process (GO:0019748)	59	43	22.33	+	1.93	5.39E-08	3.34E-07
peptidyl-serine phosphorylation (GO:0018105)	173	126	65.46	+	1.92	1.39E-20	2.49E-19
peptidyl-serine modification (GO:0018209)	173	126	65.46	+	1.92	1.39E-20	2.45E-19
phosphatidylinositol dephosphorylation (GO:0046856)	55	40	20.81	+	1.92	1.86E-07	1.07E-06
external encapsulating structure organization (GO:0045229)	73	53	27.62	+	1.92	2.89E-09	2.21E-08
glutathione metabolic process (GO:0006749)	87	63	32.92	+	1.91	9.17E-11	8.41E-10
hormone-mediated signaling pathway (GO:0009755)	137	98	51.84	+	1.89	1.39E-15	2.07E-14
cellular response to hormone stimulus (GO:0032870)	137	98	51.84	+	1.89	1.39E-15	2.04E-14
microtubule depolymerization (GO:0007019)	21	15	7.95	+	1.89	2.50E-03	6.39E-03
L-amino acid transport (GO:0015807)	14	10	5.30	+	1.89	1.26E-02	2.70E-02
ribosomal large subunit assembly (GO:0000027)	52	37	19.68	+	1.88	1.89E-06	9.14E-06
cell wall biogenesis (GO:0042546)	149	106	56.38	+	1.88	2.36E-16	3.78E-15
folic acid-containing compound metabolic process (GO:0006760)	38	27	14.38	+	1.88	3.75E-05	1.50E-04
response to lipid (GO:0033993)	123	87	46.54	+	1.87	1.83E-13	2.23E-12
negative regulation of supramolecular fiber organization (GO:1902904)	17	12	6.43	+	1.87	9.83E-03	2.17E-02
negative regulation of actin filament polymerization (GO:0030837)	17	12	6.43	+	1.87	9.83E-03	2.17E-02
regulation of actin filament polymerization (GO:0030833)	17	12	6.43	+	1.87	9.83E-03	2.16E-02
negative regulation of cytoskeleton organization (GO:0051494)	17	12	6.43	+	1.87	9.83E-03	2.16E-02
negative regulation of protein polymerization (GO:0032272)	17	12	6.43	+	1.87	9.83E-03	2.16E-02
regulation of protein polymerization (GO:0032271)	17	12	6.43	+	1.87	9.83E-03	2.15E-02
negative regulation of protein-containing complex assembly (GO:0031333)	17	12	6.43	+	1.87	9.83E-03	2.15E-02
cellular response to endogenous stimulus (GO:0071495)	139	98	52.60	+	1.86	9.39E-15	1.30E-13
carboxylic acid transport (GO:0046942)	202	142	76.44	+	1.86	1.38E-20	2.53E-19
organic acid transport (GO:0015849)	202	142	76.44	+	1.86	1.38E-20	2.49E-19
maintenance of location in cell (GO:0051651)	66	46	24.97	+	1.84	2.80E-07	1.58E-06
