




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	large_families_low_stringency.txt (31045)	large_families_low_stringency.txt (expected)	large_families_low_stringency.txt (over/under)	large_families_low_stringency.txt (fold Enrichment)	large_families_low_stringency.txt (raw P-value)	large_families_low_stringency.txt (FDR)
long-chain fatty acid metabolic process (GO:0001676)	31	31	17.23	+	1.80	2.13E-08	1.20E-07
MAPK cascade (GO:0000165)	31	31	17.23	+	1.80	2.13E-08	1.19E-07
reproductive shoot system development (GO:0090567)	31	31	17.23	+	1.80	2.13E-08	1.19E-07
flower development (GO:0009908)	31	31	17.23	+	1.80	2.13E-08	1.19E-07
protein K63-linked deubiquitination (GO:0070536)	8	8	4.45	+	1.80	1.06E-02	2.06E-02
intracellular glucose homeostasis (GO:0001678)	14	14	7.78	+	1.80	4.83E-04	1.31E-03
embryo development (GO:0009790)	14	14	7.78	+	1.80	4.83E-04	1.31E-03
circadian regulation of gene expression (GO:0032922)	7	7	3.89	+	1.80	1.98E-02	3.58E-02
multicellular organismal reproductive process (GO:0048609)	7	7	3.89	+	1.80	1.98E-02	3.57E-02
glycosaminoglycan biosynthetic process (GO:0006024)	7	7	3.89	+	1.80	1.98E-02	3.57E-02
aminoglycan biosynthetic process (GO:0006023)	7	7	3.89	+	1.80	1.98E-02	3.57E-02
L-alpha-amino acid transmembrane transport (GO:1902475)	8	8	4.45	+	1.80	1.06E-02	2.06E-02
regulation of protein localization (GO:0032880)	15	15	8.34	+	1.80	2.51E-04	7.20E-04
multicellular organism reproduction (GO:0032504)	7	7	3.89	+	1.80	1.98E-02	3.56E-02
calcium ion transmembrane import into cytosol (GO:0097553)	15	15	8.34	+	1.80	2.51E-04	7.19E-04
negative regulation of sequestering of calcium ion (GO:0051283)	15	15	8.34	+	1.80	2.51E-04	7.17E-04
regulation of sequestering of calcium ion (GO:0051282)	15	15	8.34	+	1.80	2.51E-04	7.16E-04
beta-glucan biosynthetic process (GO:0051274)	63	63	35.02	+	1.80	8.79E-17	1.00E-15
glucose homeostasis (GO:0042593)	14	14	7.78	+	1.80	4.83E-04	1.31E-03
release of sequestered calcium ion into cytosol (GO:0051209)	15	15	8.34	+	1.80	2.51E-04	7.14E-04
carbohydrate homeostasis (GO:0033500)	14	14	7.78	+	1.80	4.83E-04	1.30E-03
L-amino acid transport (GO:0015807)	14	14	7.78	+	1.80	4.83E-04	1.30E-03
mitotic cytokinesis (GO:0000281)	57	57	31.68	+	1.80	3.30E-15	3.49E-14
regulation of establishment of protein localization (GO:0070201)	10	10	5.56	+	1.80	3.11E-03	6.94E-03
Rho protein signal transduction (GO:0007266)	13	13	7.23	+	1.80	9.34E-04	2.30E-03
defense response to bacterium (GO:0042742)	38	38	21.12	+	1.80	2.47E-10	1.66E-09
root development (GO:0048364)	13	13	7.23	+	1.80	9.34E-04	2.30E-03
innate immune response (GO:0045087)	21	21	11.67	+	1.80	5.47E-06	2.04E-05
immune system process (GO:0002376)	26	26	14.45	+	1.80	2.55E-07	1.17E-06
vegetative to reproductive phase transition of meristem (GO:0010228)	13	13	7.23	+	1.80	9.34E-04	2.29E-03
positive regulation of transport (GO:0051050)	10	10	5.56	+	1.80	3.11E-03	6.93E-03
fluid transport (GO:0042044)	26	26	14.45	+	1.80	2.55E-07	1.16E-06
cell surface receptor signaling pathway (GO:0007166)	41	41	22.79	+	1.80	3.91E-11	2.97E-10
jasmonic acid metabolic process (GO:0009694)	24	24	13.34	+	1.80	8.61E-07	3.59E-06
cell cycle G1/S phase transition (GO:0044843)	12	12	6.67	+	1.80	9.28E-04	2.29E-03
response to bacterium (GO:0009617)	38	38	21.12	+	1.80	2.47E-10	1.66E-09
positive regulation of establishment of protein localization (GO:1904951)	10	10	5.56	+	1.80	3.11E-03	6.92E-03
hormone transport (GO:0009914)	20	20	11.12	+	1.80	1.02E-05	3.70E-05
positive regulation of protein localization (GO:1903829)	10	10	5.56	+	1.80	3.11E-03	6.91E-03
regionalization (GO:0003002)	19	19	10.56	+	1.80	1.92E-05	6.51E-05
G1/S transition of mitotic cell cycle (GO:0000082)	12	12	6.67	+	1.80	9.28E-04	2.29E-03
immune response (GO:0006955)	26	26	14.45	+	1.80	2.55E-07	1.16E-06
chloroplast RNA modification (GO:1900865)	10	10	5.56	+	1.80	3.11E-03	6.90E-03
glucan biosynthetic process (GO:0009250)	80	80	44.47	+	1.80	4.01E-21	5.53E-20
regulation of protein transport (GO:0051223)	10	10	5.56	+	1.80	3.11E-03	6.88E-03
positive regulation of protein transport (GO:0051222)	10	10	5.56	+	1.80	3.11E-03	6.87E-03
cytoskeleton-dependent cytokinesis (GO:0061640)	57	57	31.68	+	1.80	3.30E-15	3.46E-14
defense response to symbiont (GO:0140546)	23	23	12.78	+	1.80	1.59E-06	6.42E-06
cell fate specification (GO:0001708)	10	10	5.56	+	1.80	3.11E-03	6.86E-03
cytokinesis (GO:0000910)	57	57	31.68	+	1.80	3.30E-15	3.44E-14
secondary alcohol metabolic process (GO:1902652)	10	10	5.56	+	1.80	3.11E-03	6.85E-03
floral organ development (GO:0048437)	19	19	10.56	+	1.80	1.92E-05	6.49E-05
water transport (GO:0006833)	26	26	14.45	+	1.80	2.55E-07	1.16E-06
hormone biosynthetic process (GO:0042446)	36	36	20.01	+	1.80	8.61E-10	5.53E-09
energy reserve metabolic process (GO:0006112)	9	9	5.00	+	1.80	5.73E-03	1.19E-02
biological process involved in interaction with host (GO:0051701)	9	9	5.00	+	1.80	5.73E-03	1.19E-02
leaf development (GO:0048366)	9	9	5.00	+	1.80	5.73E-03	1.19E-02
glycogen metabolic process (GO:0005977)	9	9	5.00	+	1.80	5.73E-03	1.19E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	9	9	5.00	+	1.80	5.73E-03	1.18E-02
defense response to fungus (GO:0050832)	9	9	5.00	+	1.80	5.73E-03	1.18E-02
rhythmic process (GO:0048511)	9	9	5.00	+	1.80	5.73E-03	1.18E-02
mitochondrial calcium ion homeostasis (GO:0051560)	17	17	9.45	+	1.80	6.87E-05	2.15E-04
circadian rhythm (GO:0007623)	9	9	5.00	+	1.80	5.73E-03	1.18E-02
regulation of hormone levels (GO:0010817)	101	100	56.14	+	1.78	1.53E-24	2.56E-23
