




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	small_families_high_stringency.txt (22994)	small_families_high_stringency.txt (expected)	small_families_high_stringency.txt (over/under)	small_families_high_stringency.txt (fold Enrichment)	small_families_high_stringency.txt (raw P-value)	small_families_high_stringency.txt (FDR)
TOR signaling (GO:0031929)	8	8	3.29	+	2.43	8.25E-04	2.14E-03
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	8	8	3.29	+	2.43	8.25E-04	2.14E-03
meiotic sister chromatid cohesion (GO:0051177)	8	8	3.29	+	2.43	8.25E-04	2.13E-03
glycerolipid catabolic process (GO:0046503)	4	4	1.65	+	2.43	2.87E-02	5.10E-02
nucleoside triphosphate catabolic process (GO:0009143)	7	7	2.88	+	2.43	2.00E-03	4.74E-03
regulation of cell population proliferation (GO:0042127)	4	4	1.65	+	2.43	2.87E-02	5.09E-02
regulation of microtubule cytoskeleton organization (GO:0070507)	7	7	2.88	+	2.43	2.00E-03	4.73E-03
snRNA transcription by RNA polymerase II (GO:0042795)	4	4	1.65	+	2.43	2.87E-02	5.09E-02
intracellular lipid transport (GO:0032365)	8	8	3.29	+	2.43	8.25E-04	2.13E-03
tRNA 3'-end processing (GO:0042780)	4	4	1.65	+	2.43	2.87E-02	5.08E-02
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	8	8	3.29	+	2.43	8.25E-04	2.12E-03
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	4	4	1.65	+	2.43	2.87E-02	5.07E-02
protein localization to kinetochore (GO:0034501)	4	4	1.65	+	2.43	2.87E-02	5.07E-02
succinate transport (GO:0015744)	7	7	2.88	+	2.43	2.00E-03	4.73E-03
C4-dicarboxylate transport (GO:0015740)	7	7	2.88	+	2.43	2.00E-03	4.72E-03
sulfur compound catabolic process (GO:0044273)	8	8	3.29	+	2.43	8.25E-04	2.12E-03
cellular response to amino acid starvation (GO:0034198)	4	4	1.65	+	2.43	2.87E-02	5.06E-02
negative regulation of phosphorus metabolic process (GO:0010563)	7	7	2.88	+	2.43	2.00E-03	4.71E-03
kinetochore assembly (GO:0051382)	4	4	1.65	+	2.43	2.87E-02	5.06E-02
positive regulation of cell population proliferation (GO:0008284)	4	4	1.65	+	2.43	2.87E-02	5.05E-02
regulation of autophagosome maturation (GO:1901096)	4	4	1.65	+	2.43	2.87E-02	5.04E-02
chromosome separation (GO:0051304)	4	4	1.65	+	2.43	2.87E-02	5.04E-02
regulation of MAPK cascade (GO:0043408)	4	4	1.65	+	2.43	2.87E-02	5.03E-02
negative regulation of phosphate metabolic process (GO:0045936)	7	7	2.88	+	2.43	2.00E-03	4.70E-03
homologous chromosome pairing at meiosis (GO:0007129)	4	4	1.65	+	2.43	2.87E-02	5.02E-02
reticulophagy (GO:0061709)	8	8	3.29	+	2.43	8.25E-04	2.12E-03
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	4	1.65	+	2.43	2.87E-02	5.02E-02
mRNA splice site recognition (GO:0006376)	14	14	5.76	+	2.43	4.01E-06	1.59E-05
quaternary ammonium group transport (GO:0015697)	4	4	1.65	+	2.43	2.87E-02	5.01E-02
organic cation transport (GO:0015695)	4	4	1.65	+	2.43	2.87E-02	5.00E-02
response to mechanical stimulus (GO:0009612)	8	8	3.29	+	2.43	8.25E-04	2.11E-03
regulation of microtubule polymerization or depolymerization (GO:0031110)	7	7	2.88	+	2.43	2.00E-03	4.69E-03
adenosine metabolic process (GO:0046085)	4	4	1.65	+	2.43	2.87E-02	5.00E-02
glycosphingolipid biosynthetic process (GO:0006688)	4	4	1.65	+	2.43	2.87E-02	4.99E-02
DNA methylation (GO:0006306)	4	4	1.65	+	2.43	2.87E-02	4.99E-02
DNA alkylation (GO:0006305)	4	4	1.65	+	2.43	2.87E-02	4.98E-02
nucleus organization (GO:0006997)	16	16	6.59	+	2.43	6.79E-07	3.05E-06
amino sugar catabolic process (GO:0046348)	4	4	1.65	+	2.43	2.87E-02	4.97E-02
miRNA processing (GO:0035196)	4	4	1.65	+	2.43	2.87E-02	4.97E-02
long-chain fatty acid transport (GO:0015909)	4	4	1.65	+	2.43	2.87E-02	4.96E-02
monoatomic anion transmembrane transport (GO:0098656)	4	4	1.65	+	2.43	2.87E-02	4.96E-02
spliceosomal snRNP assembly (GO:0000387)	33	33	13.59	+	2.43	1.88E-13	2.00E-12
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	8	8	3.29	+	2.43	8.25E-04	2.11E-03
