




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Glycine max - REFLIST (55853)	large_families_high_stringency.txt (21135)	large_families_high_stringency.txt (expected)	large_families_high_stringency.txt (over/under)	large_families_high_stringency.txt (fold Enrichment)	large_families_high_stringency.txt (raw P-value)	large_families_high_stringency.txt (FDR)
secretory granule (GO:0030141)	6	6	2.27	+	2.64	2.93E-03	5.87E-03
cilium (GO:0005929)	6	6	2.27	+	2.64	2.93E-03	5.84E-03
ciliary basal body (GO:0036064)	6	6	2.27	+	2.64	2.93E-03	5.81E-03
plasma membrane bounded cell projection (GO:0120025)	6	6	2.27	+	2.64	2.93E-03	5.78E-03
motile cilium (GO:0031514)	6	6	2.27	+	2.64	2.93E-03	5.74E-03
cell division site (GO:0032153)	8	8	3.03	+	2.64	4.20E-04	1.02E-03
actin filament bundle (GO:0032432)	8	8	3.03	+	2.64	4.20E-04	1.02E-03
recycling endosome membrane (GO:0055038)	10	10	3.78	+	2.64	6.01E-05	1.74E-04
cell projection (GO:0042995)	26	25	9.84	+	2.54	4.61E-10	2.40E-09
autophagosome membrane (GO:0000421)	13	11	4.92	+	2.24	7.58E-04	1.75E-03
cell wall (GO:0005618)	225	176	85.14	+	2.07	4.15E-35	1.18E-33
external encapsulating structure (GO:0030312)	225	176	85.14	+	2.07	4.15E-35	1.10E-33
lysosome (GO:0005764)	123	94	46.54	+	2.02	3.83E-18	4.43E-17
nuclear speck (GO:0016607)	106	81	40.11	+	2.02	7.48E-16	5.89E-15
extracellular space (GO:0005615)	140	103	52.98	+	1.94	1.53E-17	1.49E-16
plant-type vacuole (GO:0000325)	94	69	35.57	+	1.94	4.35E-12	2.64E-11
vacuole (GO:0005773)	441	318	166.88	+	1.91	1.56E-48	6.42E-47
actin cytoskeleton (GO:0015629)	136	98	51.46	+	1.90	8.16E-16	6.29E-15
trans-Golgi network (GO:0005802)	198	142	74.92	+	1.90	4.62E-22	6.57E-21
nuclear body (GO:0016604)	113	81	42.76	+	1.89	3.40E-13	2.24E-12
trans-Golgi network membrane (GO:0032588)	14	10	5.30	+	1.89	1.26E-02	2.20E-02
plant-type vacuole membrane (GO:0009705)	77	55	29.14	+	1.89	4.00E-09	1.90E-08
replisome (GO:0030894)	73	52	27.62	+	1.88	8.42E-09	3.85E-08
lytic vacuole (GO:0000323)	132	94	49.95	+	1.88	8.59E-15	6.23E-14
replication fork (GO:0005657)	169	119	63.95	+	1.86	9.81E-18	1.04E-16
plasma membrane (GO:0005886)	2071	1422	783.67	+	1.81	3.80E-184	2.81E-182
Golgi apparatus subcompartment (GO:0098791)	208	142	78.71	+	1.80	6.58E-19	8.40E-18
extracellular region (GO:0005576)	340	232	128.66	+	1.80	6.20E-30	1.35E-28
cell periphery (GO:0071944)	2449	1647	926.71	+	1.78	2.15E-199	3.98E-197
vacuolar membrane (GO:0005774)	170	113	64.33	+	1.76	6.00E-14	4.19E-13
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	141	93	53.35	+	1.74	1.95E-11	1.11E-10
nuclear replication fork (GO:0043596)	84	55	31.79	+	1.73	3.72E-07	1.42E-06
protein serine/threonine phosphatase complex (GO:0008287)	23	15	8.70	+	1.72	9.06E-03	1.64E-02
cytoplasmic stress granule (GO:0010494)	23	15	8.70	+	1.72	9.06E-03	1.64E-02
mitochondrial outer membrane (GO:0005741)	60	39	22.70	+	1.72	2.44E-05	7.92E-05
clathrin vesicle coat (GO:0030125)	30	19	11.35	+	1.67	7.18E-03	1.32E-02
cytoplasmic dynein complex (GO:0005868)	24	15	9.08	+	1.65	1.88E-02	3.07E-02
dynein complex (GO:0030286)	24	15	9.08	+	1.65	1.88E-02	3.06E-02
anchoring junction (GO:0070161)	290	179	109.74	+	1.63	1.85E-16	1.67E-15
cell-cell junction (GO:0005911)	290	179	109.74	+	1.63	1.85E-16	1.63E-15
cell junction (GO:0030054)	292	179	110.49	+	1.62	6.33E-16	5.09E-15
microtubule associated complex (GO:0005875)	108	65	40.87	+	1.59	3.38E-06	1.17E-05
serine/threonine protein kinase complex (GO:1902554)	181	106	68.49	+	1.55	2.04E-08	8.97E-08
protein kinase complex (GO:1902911)	181	106	68.49	+	1.55	2.04E-08	8.87E-08
side of membrane (GO:0098552)	47	27	17.78	+	1.52	6.63E-03	1.23E-02
membrane (GO:0016020)	4950	2795	1873.10	+	1.49	2.78E-170	1.72E-168
Golgi apparatus (GO:0005794)	932	516	352.67	+	1.46	1.01E-27	2.07E-26
cytoskeleton (GO:0005856)	566	312	214.18	+	1.46	6.29E-17	5.97E-16
clathrin-coated vesicle (GO:0030136)	64	33	24.22	+	1.36	2.79E-02	4.48E-02
endosome (GO:0005768)	315	157	119.20	+	1.32	1.50E-05	5.04E-05
cytosolic large ribosomal subunit (GO:0022625)	211	104	79.84	+	1.30	7.92E-04	1.82E-03
cytosolic ribosome (GO:0022626)	341	166	129.04	+	1.29	5.17E-05	1.61E-04
microtubule cytoskeleton (GO:0015630)	404	195	152.88	+	1.28	1.84E-05	6.03E-05
cytosol (GO:0005829)	1634	788	618.31	+	1.27	5.04E-18	5.65E-17
cytosolic small ribosomal subunit (GO:0022627)	130	62	49.19	+	1.26	2.34E-02	3.76E-02
supramolecular polymer (GO:0099081)	269	128	101.79	+	1.26	1.27E-03	2.74E-03
polymeric cytoskeletal fiber (GO:0099513)	269	128	101.79	+	1.26	1.27E-03	2.73E-03
supramolecular fiber (GO:0099512)	269	128	101.79	+	1.26	1.27E-03	2.71E-03
cellular anatomical entity (GO:0110165)	16567	7877	6269.02	+	1.26	2.86E-204	1.06E-201
cellular_component (GO:0005575)	16862	7960	6380.65	+	1.25	2.65E-195	3.26E-193
microtubule (GO:0005874)	257	120	97.25	+	1.23	3.70E-03	7.09E-03
intracellular vesicle (GO:0097708)	542	248	205.09	+	1.21	1.80E-04	4.68E-04
cytoplasmic vesicle (GO:0031410)	542	248	205.09	+	1.21	1.80E-04	4.65E-04
vesicle (GO:0031982)	567	258	214.56	+	1.20	1.79E-04	4.70E-04
cytoplasm (GO:0005737)	8330	3702	3152.11	+	1.17	1.12E-40	3.76E-39
organelle subcompartment (GO:0031984)	546	238	206.61	+	1.15	5.94E-03	1.11E-02
nucleus (GO:0005634)	5079	2206	1921.91	+	1.15	1.22E-17	1.26E-16
intracellular anatomical structure (GO:0005622)	13022	5635	4927.58	+	1.14	1.07E-47	3.97E-46
intracellular organelle (GO:0043229)	10086	4355	3816.58	+	1.14	7.02E-34	1.73E-32
organelle (GO:0043226)	10093	4355	3819.23	+	1.14	1.47E-33	3.39E-32
