




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Glycine max - REFLIST (55853)	large_families_low_stringency.txt (31045)	large_families_low_stringency.txt (expected)	large_families_low_stringency.txt (over/under)	large_families_low_stringency.txt (fold Enrichment)	large_families_low_stringency.txt (raw P-value)	large_families_low_stringency.txt (FDR)
cell division site (GO:0032153)	8	8	4.45	+	1.80	1.06E-02	1.81E-02
actin filament bundle (GO:0032432)	8	8	4.45	+	1.80	1.06E-02	1.80E-02
recycling endosome membrane (GO:0055038)	10	10	5.56	+	1.80	3.11E-03	6.00E-03
cell projection (GO:0042995)	26	26	14.45	+	1.80	2.55E-07	8.22E-07
MCM complex (GO:0042555)	13	13	7.23	+	1.80	9.34E-04	1.96E-03
calcium channel complex (GO:0034704)	17	17	9.45	+	1.80	6.87E-05	1.72E-04
cation channel complex (GO:0034703)	17	17	9.45	+	1.80	6.87E-05	1.71E-04
monoatomic ion channel complex (GO:0034702)	17	17	9.45	+	1.80	6.87E-05	1.69E-04
cell wall (GO:0005618)	225	224	125.06	+	1.79	5.70E-56	2.34E-54
external encapsulating structure (GO:0030312)	225	224	125.06	+	1.79	5.70E-56	2.11E-54
plant-type vacuole membrane (GO:0009705)	77	75	42.80	+	1.75	5.14E-17	4.13E-16
plant-type vacuole (GO:0000325)	94	91	52.25	+	1.74	1.37E-19	1.23E-18
cytoplasmic dynein complex (GO:0005868)	24	23	13.34	+	1.72	3.06E-05	7.91E-05
dynein complex (GO:0030286)	24	23	13.34	+	1.72	3.06E-05	7.85E-05
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	141	130	78.37	+	1.66	1.27E-21	1.30E-20
anchoring junction (GO:0070161)	290	267	161.19	+	1.66	3.85E-43	1.02E-41
cell-cell junction (GO:0005911)	290	267	161.19	+	1.66	3.85E-43	9.50E-42
cell junction (GO:0030054)	292	267	162.30	+	1.65	1.38E-41	2.84E-40
trans-Golgi network (GO:0005802)	198	177	110.06	+	1.61	3.81E-25	4.55E-24
microtubule associated complex (GO:0005875)	108	96	60.03	+	1.60	7.43E-14	4.66E-13
plasma membrane (GO:0005886)	2071	1839	1151.13	+	1.60	3.52E-245	2.61E-243
extracellular space (GO:0005615)	140	124	77.82	+	1.59	3.16E-17	2.60E-16
