




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	low_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Glycine max - REFLIST (55853)	small_families_high_stringency.txt (22994)	small_families_high_stringency.txt (expected)	small_families_high_stringency.txt (over/under)	small_families_high_stringency.txt (fold Enrichment)	small_families_high_stringency.txt (raw P-value)	small_families_high_stringency.txt (FDR)
BRCA1-A complex (GO:0070531)	8	8	3.29	+	2.43	8.25E-04	1.48E-03
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	8	8	3.29	+	2.43	8.25E-04	1.47E-03
cortical actin cytoskeleton (GO:0030864)	4	4	1.65	+	2.43	2.87E-02	4.00E-02
microtubule plus-end (GO:0035371)	8	8	3.29	+	2.43	8.25E-04	1.47E-03
SMN-Sm protein complex (GO:0034719)	14	14	5.76	+	2.43	4.01E-06	9.89E-06
spindle pole (GO:0000922)	4	4	1.65	+	2.43	2.87E-02	3.98E-02
organelle membrane contact site (GO:0044232)	4	4	1.65	+	2.43	2.87E-02	3.97E-02
early endosome (GO:0005769)	8	8	3.29	+	2.43	8.25E-04	1.46E-03
transcription factor TFIIH core complex (GO:0000439)	8	8	3.29	+	2.43	8.25E-04	1.45E-03
preribosome, large subunit precursor (GO:0030687)	32	32	13.17	+	2.43	4.58E-13	2.32E-12
guanyl-nucleotide exchange factor complex (GO:0032045)	8	8	3.29	+	2.43	8.25E-04	1.45E-03
SMN complex (GO:0032797)	8	8	3.29	+	2.43	8.25E-04	1.44E-03
nuclear pore (GO:0005643)	55	55	22.64	+	2.43	6.09E-22	5.24E-21
histone methyltransferase complex (GO:0035097)	21	21	8.65	+	2.43	8.01E-09	2.80E-08
transcription export complex 2 (GO:0070390)	6	6	2.47	+	2.43	4.87E-03	7.73E-03
EMC complex (GO:0072546)	21	21	8.65	+	2.43	8.01E-09	2.77E-08
Set1C/COMPASS complex (GO:0048188)	15	15	6.18	+	2.43	1.65E-06	4.33E-06
nuclear membrane (GO:0031965)	10	10	4.12	+	2.43	1.40E-04	2.72E-04
Prp19 complex (GO:0000974)	21	21	8.65	+	2.43	8.01E-09	2.74E-08
Arp2/3 protein complex (GO:0005885)	17	17	7.00	+	2.43	2.79E-07	8.01E-07
DNA polymerase complex (GO:0042575)	19	19	7.82	+	2.43	4.73E-08	1.46E-07
eukaryotic translation initiation factor 3 complex (GO:0005852)	30	30	12.35	+	2.43	2.71E-12	1.25E-11
endoplasmic reticulum tubular network (GO:0071782)	6	6	2.47	+	2.43	4.87E-03	7.70E-03
pICln-Sm protein complex (GO:0034715)	12	12	4.94	+	2.43	2.37E-05	5.18E-05
PcG protein complex (GO:0031519)	6	6	2.47	+	2.43	4.87E-03	7.66E-03
epsilon DNA polymerase complex (GO:0008622)	6	6	2.47	+	2.43	4.87E-03	7.63E-03
COP9 signalosome (GO:0008180)	17	17	7.00	+	2.43	2.79E-07	7.95E-07
cis-Golgi network (GO:0005801)	10	10	4.12	+	2.43	1.40E-04	2.71E-04
TRAPP complex (GO:0030008)	21	21	8.65	+	2.43	8.01E-09	2.72E-08
proteasome regulatory particle, lid subcomplex (GO:0008541)	21	21	8.65	+	2.43	8.01E-09	2.69E-08
U4 snRNP (GO:0005687)	13	13	5.35	+	2.43	9.74E-06	2.22E-05
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	18	18	7.41	+	2.43	1.15E-07	3.46E-07
nuclear envelope (GO:0005635)	85	83	34.99	+	2.37	1.18E-29	1.32E-28
