




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	large_families_high_stringency.txt (21135)	large_families_high_stringency.txt (expected)	large_families_high_stringency.txt (over/under)	large_families_high_stringency.txt (fold Enrichment)	large_families_high_stringency.txt (raw P-value)	large_families_high_stringency.txt (FDR)
phospholipase C activity (GO:0004629)	15	15	5.68	+	2.64	4.66E-07	1.79E-06
L-lysine transmembrane transporter activity (GO:0015189)	10	10	3.78	+	2.64	6.01E-05	1.75E-04
basic amino acid transmembrane transporter activity (GO:0015174)	10	10	3.78	+	2.64	6.01E-05	1.74E-04
peptide transmembrane transporter activity (GO:1904680)	18	18	6.81	+	2.64	2.52E-08	1.12E-07
nitrate transmembrane transporter activity (GO:0015112)	7	7	2.65	+	2.64	1.11E-03	2.51E-03
metalloaminopeptidase activity (GO:0070006)	9	9	3.41	+	2.64	1.59E-04	4.11E-04
microfilament motor activity (GO:0000146)	27	27	10.22	+	2.64	3.98E-12	2.45E-11
oligopeptide transmembrane transporter activity (GO:0035673)	18	18	6.81	+	2.64	2.52E-08	1.11E-07
MAP kinase kinase kinase activity (GO:0004709)	29	29	10.97	+	2.64	5.70E-13	3.94E-12
L-glutamate transmembrane transporter activity (GO:0005313)	10	10	3.78	+	2.64	6.01E-05	1.73E-04
sterol transporter activity (GO:0015248)	26	25	9.84	+	2.54	4.61E-10	2.49E-09
water transmembrane transporter activity (GO:0005372)	51	49	19.30	+	2.54	1.02E-18	1.09E-17
acidic amino acid transmembrane transporter activity (GO:0015172)	17	16	6.43	+	2.49	1.93E-06	6.71E-06
hexokinase activity (GO:0004396)	28	26	10.60	+	2.45	1.61E-09	8.07E-09
cysteine-type endopeptidase inhibitor activity (GO:0004869)	9	8	3.41	+	2.35	2.51E-03	5.45E-03
endopeptidase inhibitor activity (GO:0004866)	9	8	3.41	+	2.35	2.51E-03	5.43E-03
peptidase inhibitor activity (GO:0030414)	9	8	3.41	+	2.35	2.51E-03	5.40E-03
alpha-glucosidase activity (GO:0090599)	13	11	4.92	+	2.24	7.58E-04	1.76E-03
glucosidase activity (GO:0015926)	85	70	32.16	+	2.18	4.74E-17	4.39E-16
glutathione transferase activity (GO:0004364)	84	69	31.79	+	2.17	1.02E-16	9.10E-16
aminopeptidase activity (GO:0004177)	11	9	4.16	+	2.16	3.81E-03	8.00E-03
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	27	22	10.22	+	2.15	7.08E-06	2.33E-05
protein serine/threonine kinase activity (GO:0004674)	898	726	339.81	+	2.14	4.73E-156	4.65E-154
aspartic-type endopeptidase activity (GO:0004190)	31	25	11.73	+	2.13	1.77E-06	6.20E-06
P-type ion transporter activity (GO:0015662)	67	54	25.35	+	2.13	1.56E-12	1.03E-11
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	485	389	183.53	+	2.12	6.93E-82	2.43E-80
actin monomer binding (GO:0003785)	10	8	3.78	+	2.11	8.35E-03	1.62E-02
cis-regulatory region sequence-specific DNA binding (GO:0000987)	492	390	186.17	+	2.09	2.84E-79	8.71E-78
steroid binding (GO:0005496)	38	30	14.38	+	2.09	2.92E-07	1.15E-06
sterol binding (GO:0032934)	38	30	14.38	+	2.09	2.92E-07	1.14E-06
protein serine/threonine phosphatase activity (GO:0004722)	142	112	53.73	+	2.08	2.87E-23	3.61E-22
single-stranded telomeric DNA binding (GO:0043047)	66	52	24.97	+	2.08	1.40E-11	8.26E-11
long-chain fatty acid-CoA ligase activity (GO:0004467)	23	18	8.70	+	2.07	1.11E-04	2.99E-04
amide transmembrane transporter activity (GO:0042887)	23	18	8.70	+	2.07	1.11E-04	2.97E-04
protein kinase activity (GO:0004672)	1089	850	412.08	+	2.06	1.36E-164	1.67E-162
amino acid transmembrane transporter activity (GO:0015171)	173	133	65.46	+	2.03	1.72E-25	2.48E-24
L-amino acid transmembrane transporter activity (GO:0015179)	43	33	16.27	+	2.03	2.70E-07	1.07E-06
actin filament binding (GO:0051015)	120	92	45.41	+	2.03	7.55E-18	7.42E-17
carboxypeptidase activity (GO:0004180)	89	68	33.68	+	2.02	1.52E-13	1.13E-12
alcohol binding (GO:0043178)	65	49	24.60	+	1.99	1.21E-09	6.12E-09
chitinase activity (GO:0004568)	36	27	13.62	+	1.98	7.27E-06	2.38E-05
actin binding (GO:0003779)	134	100	50.71	+	1.97	5.82E-18	5.83E-17
solute:proton symporter activity (GO:0015295)	27	20	10.22	+	1.96	1.89E-04	4.81E-04
solute:monoatomic cation symporter activity (GO:0015294)	27	20	10.22	+	1.96	1.89E-04	4.78E-04
symporter activity (GO:0015293)	27	20	10.22	+	1.96	1.89E-04	4.76E-04
ubiquitin protein ligase binding (GO:0031625)	46	34	17.41	+	1.95	8.49E-07	3.11E-06
glucosyltransferase activity (GO:0046527)	221	163	83.63	+	1.95	2.86E-27	4.39E-26
calmodulin binding (GO:0005516)	80	59	30.27	+	1.95	7.88E-11	4.40E-10
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	1339	980	506.68	+	1.93	1.22E-155	1.00E-153
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	488	357	184.66	+	1.93	7.36E-57	1.51E-55
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	279	204	105.57	+	1.93	6.37E-33	1.08E-31
phosphoric diester hydrolase activity (GO:0008081)	107	78	40.49	+	1.93	2.54E-13	1.81E-12
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	92	67	34.81	+	1.92	1.38E-11	8.29E-11
