




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	small_families_high_stringency.txt (22994)	small_families_high_stringency.txt (expected)	small_families_high_stringency.txt (over/under)	small_families_high_stringency.txt (fold Enrichment)	small_families_high_stringency.txt (raw P-value)	small_families_high_stringency.txt (FDR)
oxidoreductase activity, acting on metal ions (GO:0016722)	7	7	2.88	+	2.43	2.00E-03	5.23E-03
calcium channel activity (GO:0005262)	14	14	5.76	+	2.43	4.01E-06	1.84E-05
fucosyltransferase activity (GO:0008417)	14	14	5.76	+	2.43	4.01E-06	1.82E-05
succinate transmembrane transporter activity (GO:0015141)	7	7	2.88	+	2.43	2.00E-03	5.20E-03
rRNA (adenine) methyltransferase activity (GO:0016433)	8	8	3.29	+	2.43	8.25E-04	2.31E-03
monosaccharide binding (GO:0048029)	7	7	2.88	+	2.43	2.00E-03	5.18E-03
TBP-class protein binding (GO:0017025)	14	14	5.76	+	2.43	4.01E-06	1.81E-05
ubiquitin ligase-substrate adaptor activity (GO:1990756)	5	5	2.06	+	2.43	1.18E-02	2.40E-02
RNA cap binding (GO:0000339)	12	12	4.94	+	2.43	2.37E-05	9.22E-05
amino acid binding (GO:0016597)	5	5	2.06	+	2.43	1.18E-02	2.39E-02
Hsp70 protein binding (GO:0030544)	15	15	6.18	+	2.43	1.65E-06	8.35E-06
phosphatidylcholine binding (GO:0031210)	5	5	2.06	+	2.43	1.18E-02	2.38E-02
organic cation transmembrane transporter activity (GO:0015101)	13	13	5.35	+	2.43	9.74E-06	4.02E-05
snoRNA binding (GO:0030515)	35	35	14.41	+	2.43	3.19E-14	4.23E-13
pre-mRNA binding (GO:0036002)	23	23	9.47	+	2.43	1.36E-09	1.39E-08
protein kinase A binding (GO:0051018)	6	6	2.47	+	2.43	4.87E-03	1.12E-02
microtubule plus-end binding (GO:0051010)	6	6	2.47	+	2.43	4.87E-03	1.12E-02
protein kinase A regulatory subunit binding (GO:0034237)	6	6	2.47	+	2.43	4.87E-03	1.11E-02
structural constituent of nuclear pore (GO:0017056)	20	20	8.23	+	2.43	1.95E-08	1.47E-07
cyclase activity (GO:0009975)	6	6	2.47	+	2.43	4.87E-03	1.11E-02
potassium channel activity (GO:0005267)	9	9	3.71	+	2.43	3.39E-04	1.08E-03
voltage-gated potassium channel activity (GO:0005249)	9	9	3.71	+	2.43	3.39E-04	1.07E-03
nucleoside transmembrane transporter activity (GO:0005337)	9	9	3.71	+	2.43	3.39E-04	1.06E-03
snRNA binding (GO:0017069)	30	29	12.35	+	2.35	1.19E-10	1.42E-09
RNA polymerase II activity (GO:0001055)	25	24	10.29	+	2.33	8.44E-09	6.58E-08
RNA polymerase III activity (GO:0001056)	21	20	8.65	+	2.31	2.49E-07	1.45E-06
SUMO transferase activity (GO:0019789)	13	12	5.35	+	2.24	1.91E-04	6.46E-04
sulfurtransferase activity (GO:0016783)	26	24	10.70	+	2.24	6.64E-08	4.35E-07
carbohydrate binding (GO:0030246)	12	11	4.94	+	2.23	4.30E-04	1.27E-03
fatty acid binding (GO:0005504)	12	11	4.94	+	2.23	4.30E-04	1.26E-03
small GTPase binding (GO:0031267)	11	10	4.53	+	2.21	9.62E-04	2.68E-03
double-stranded RNA binding (GO:0003725)	21	19	8.65	+	2.20	3.69E-06	1.73E-05
magnesium ion binding (GO:0000287)	20	18	8.23	+	2.19	8.14E-06	3.51E-05
thiosulfate sulfurtransferase activity (GO:0004792)	20	18	8.23	+	2.19	8.14E-06	3.48E-05
SUMO ligase activity (GO:0061665)	10	9	4.12	+	2.19	2.14E-03	5.44E-03
voltage-gated monoatomic cation channel activity (GO:0022843)	10	9	4.12	+	2.19	2.14E-03	5.41E-03
5'-nucleotidase activity (GO:0008253)	9	8	3.71	+	2.16	4.71E-03	1.10E-02
protein tyrosine phosphatase activity (GO:0004725)	9	8	3.71	+	2.16	4.71E-03	1.10E-02
xylosyltransferase activity (GO:0042285)	15	13	6.18	+	2.11	7.41E-04	2.10E-03
heat shock protein binding (GO:0031072)	29	25	11.94	+	2.09	9.38E-07	4.95E-06
single-stranded DNA helicase activity (GO:0017116)	14	12	5.76	+	2.08	1.42E-03	3.84E-03
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	7	6	2.88	+	2.08	2.20E-02	4.15E-02
DNA replication origin binding (GO:0003688)	13	11	5.35	+	2.06	2.75E-03	6.76E-03
RNA polymerase binding (GO:0070063)	45	38	18.53	+	2.05	4.19E-09	3.81E-08
basal RNA polymerase II transcription machinery binding (GO:0001099)	44	37	18.11	+	2.04	8.08E-09	6.61E-08
basal transcription machinery binding (GO:0001098)	44	37	18.11	+	2.04	8.08E-09	6.51E-08
RNA polymerase core enzyme binding (GO:0043175)	42	35	17.29	+	2.02	3.06E-08	2.12E-07
transcription coactivator activity (GO:0003713)	45	37	18.53	+	2.00	2.09E-08	1.53E-07
translation initiation factor activity (GO:0003743)	88	72	36.23	+	1.99	9.01E-15	1.23E-13
DNA helicase activity (GO:0003678)	44	36	18.11	+	1.99	7.50E-08	4.85E-07
RNA polymerase II complex binding (GO:0000993)	38	31	15.64	+	1.98	4.52E-07	2.49E-06
kinase activator activity (GO:0019209)	32	26	13.17	+	1.97	5.17E-06	2.27E-05
protein kinase activator activity (GO:0030295)	32	26	13.17	+	1.97	5.17E-06	2.25E-05
3'-5' DNA helicase activity (GO:0043138)	19	15	7.82	+	1.92	1.52E-03	4.05E-03
iron-sulfur cluster binding (GO:0051536)	33	26	13.59	+	1.91	1.90E-05	7.52E-05
ATP-dependent activity, acting on DNA (GO:0008094)	113	89	46.52	+	1.91	6.55E-16	9.75E-15
transcription factor binding (GO:0008134)	28	22	11.53	+	1.91	6.98E-05	2.52E-04
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	54	42	22.23	+	1.89	7.70E-08	4.91E-07
catalytic activity, acting on a rRNA (GO:0140102)	31	24	12.76	+	1.88	6.22E-05	2.28E-04
rRNA methyltransferase activity (GO:0008649)	31	24	12.76	+	1.88	6.22E-05	2.26E-04
RNA methyltransferase activity (GO:0008173)	53	41	21.82	+	1.88	1.37E-07	8.60E-07
tRNA methyltransferase activity (GO:0008175)	13	10	5.35	+	1.87	1.09E-02	2.24E-02
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	47	36	19.35	+	1.86	1.56E-06	7.98E-06
RNA polymerase I activity (GO:0001054)	29	22	11.94	+	1.84	2.04E-04	6.85E-04
Hsp90 protein binding (GO:0051879)	16	12	6.59	+	1.82	8.97E-03	1.90E-02
N-acyltransferase activity (GO:0016410)	55	41	22.64	+	1.81	6.64E-07	3.54E-06
