




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	small_families_low_stringency.txt (14397)	small_families_low_stringency.txt (expected)	small_families_low_stringency.txt (over/under)	small_families_low_stringency.txt (fold Enrichment)	small_families_low_stringency.txt (raw P-value)	small_families_low_stringency.txt (FDR)
histone H3K4 methyltransferase activity (GO:0042800)	4	4	1.03	+	3.88	4.41E-03	9.34E-03
phospholipase A2 activity (GO:0004623)	4	4	1.03	+	3.88	4.41E-03	9.30E-03
metallocarboxypeptidase activity (GO:0004181)	4	4	1.03	+	3.88	4.41E-03	9.26E-03
protein phosphatase binding (GO:0019903)	4	4	1.03	+	3.88	4.41E-03	9.22E-03
phosphatase binding (GO:0019902)	4	4	1.03	+	3.88	4.41E-03	9.18E-03
signaling receptor complex adaptor activity (GO:0030159)	4	4	1.03	+	3.88	4.41E-03	9.14E-03
cyclic-nucleotide phosphodiesterase activity (GO:0004112)	4	4	1.03	+	3.88	4.41E-03	9.10E-03
cell adhesion molecule binding (GO:0050839)	4	4	1.03	+	3.88	4.41E-03	9.07E-03
SUMO binding (GO:0032183)	4	4	1.03	+	3.88	4.41E-03	9.03E-03
phosphorus-oxygen lyase activity (GO:0016849)	4	4	1.03	+	3.88	4.41E-03	8.99E-03
rRNA (adenine) methyltransferase activity (GO:0016433)	8	8	2.06	+	3.88	1.95E-05	6.83E-05
protein-membrane adaptor activity (GO:0043495)	4	4	1.03	+	3.88	4.41E-03	8.95E-03
growth factor activity (GO:0008083)	4	4	1.03	+	3.88	4.41E-03	8.92E-03
signaling adaptor activity (GO:0035591)	4	4	1.03	+	3.88	4.41E-03	8.88E-03
carbohydrate binding (GO:0030246)	12	12	3.09	+	3.88	8.57E-08	4.48E-07
small GTPase binding (GO:0031267)	11	11	2.84	+	3.88	3.33E-07	1.67E-06
RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163)	3	3	.77	+	3.88	1.71E-02	2.99E-02
protein kinase A binding (GO:0051018)	6	6	1.55	+	3.88	2.93E-04	8.00E-04
microtubule plus-end binding (GO:0051010)	6	6	1.55	+	3.88	2.93E-04	7.95E-04
protein kinase A regulatory subunit binding (GO:0034237)	6	6	1.55	+	3.88	2.93E-04	7.91E-04
monosaccharide binding (GO:0048029)	7	7	1.80	+	3.88	7.55E-05	2.29E-04
nucleoside transmembrane transporter activity (GO:0005337)	9	9	2.32	+	3.88	5.01E-06	2.03E-05
myosin binding (GO:0017022)	6	6	1.55	+	3.88	2.93E-04	7.86E-04
