Gene_ID	Chromosome	Start	End	Strand
gene:GLYMA_01G000100	1	27355	28320	-
gene:GLYMA_01G000200	1	58975	67527	-
gene:GLYMA_01G000300	1	67770	69968	+
gene:GLYMA_01G000400	1	90152	95947	-
gene:GLYMA_01G000500	1	90289	91197	+
gene:GLYMA_01G000600	1	116094	127845	+
gene:GLYMA_01G000700	1	143467	155573	+
gene:GLYMA_01G000800	1	157030	157772	+
gene:GLYMA_01G000900	1	170534	193342	+
gene:GLYMA_01G001000	1	196256	201895	+
gene:GLYMA_01G001100	1	205453	222233	+
gene:GLYMA_01G001200	1	221661	225775	-
gene:GLYMA_01G001300	1	227021	237987	-
gene:GLYMA_01G001400	1	244111	244455	+
gene:GLYMA_01G001500	1	246904	260666	+
gene:GLYMA_01G001600	1	260356	269483	-
gene:GLYMA_01G001700	1	269071	274045	+
gene:GLYMA_01G001800	1	275426	278431	+
gene:GLYMA_01G001900	1	280963	285491	+
gene:GLYMA_01G002000	1	285907	288571	+
gene:GLYMA_01G002100	1	291328	297375	-
gene:GLYMA_01G002200	1	303812	307964	-
gene:GLYMA_01G002300	1	318431	323032	+
gene:GLYMA_01G002400	1	329019	331724	+
gene:GLYMA_01G002500	1	333316	334217	-
gene:GLYMA_01G002600	1	335051	337046	+
gene:GLYMA_01G002700	1	339803	343224	+
gene:GLYMA_01G002800	1	343880	344482	+
gene:GLYMA_01G002900	1	346352	349873	+
gene:GLYMA_01G003000	1	363183	365184	-
gene:GLYMA_01G003100	1	369871	372222	+
gene:GLYMA_01G003200	1	370674	375704	-
gene:GLYMA_01G003300	1	376938	378710	+
gene:GLYMA_01G003400	1	379878	381664	+
gene:GLYMA_01G003500	1	384640	386760	+
gene:GLYMA_01G003600	1	387719	390823	-
gene:GLYMA_01G003700	1	391477	396784	+
gene:GLYMA_01G003800	1	397272	400412	-
gene:GLYMA_01G003900	1	411125	413137	+
gene:GLYMA_01G004000	1	415193	417507	+
gene:GLYMA_01G004100	1	418636	423778	+
gene:GLYMA_01G004200	1	425398	427700	+
gene:GLYMA_01G004300	1	429326	430538	+
gene:GLYMA_01G004400	1	431039	432924	-
gene:GLYMA_01G004500	1	434344	437413	+
gene:GLYMA_01G004600	1	438340	439522	-
gene:GLYMA_01G004700	1	441820	445055	-
gene:GLYMA_01G004800	1	446825	452825	+
gene:GLYMA_01G004900	1	457480	459034	-
gene:GLYMA_01G005000	1	464509	466549	-
gene:GLYMA_01G005100	1	505665	508556	+
gene:GLYMA_01G005200	1	512341	517668	+
gene:GLYMA_01G005300	1	518598	520667	-
gene:GLYMA_01G005400	1	524166	529281	-
gene:GLYMA_01G005500	1	544871	550997	+
gene:GLYMA_01G005600	1	559875	561878	+
gene:GLYMA_01G005700	1	562924	566748	-
gene:GLYMA_01G005800	1	567515	572169	-
gene:GLYMA_01G005900	1	576688	580396	+
gene:GLYMA_01G006000	1	585972	587305	+
gene:GLYMA_01G006100	1	588481	598820	-
gene:GLYMA_01G006200	1	599475	602191	+
gene:GLYMA_01G006300	1	600230	601509	+
gene:GLYMA_01G006400	1	604446	613008	+
gene:GLYMA_01G006500	1	614283	642085	+
gene:GLYMA_01G006600	1	643566	651359	+
gene:GLYMA_01G0067002	1	652561	654690	-
gene:GLYMA_01G0067001	1	655433	658525	-
gene:GLYMA_01G006800	1	664159	668838	+
gene:GLYMA_01G006900	1	671149	674564	+
gene:GLYMA_01G007000	1	681557	683847	-
gene:GLYMA_01G007100	1	707570	708601	-
gene:GLYMA_01G007200	1	730042	735381	+
gene:GLYMA_01G007300	1	736361	740960	+
gene:GLYMA_01G007400	1	742024	745606	-
gene:GLYMA_01G007500	1	746804	750737	-
gene:GLYMA_01G007600	1	752482	756771	+
gene:GLYMA_01G007700	1	759038	761554	-
gene:GLYMA_01G007800	1	763291	771911	+
gene:GLYMA_01G007900	1	774324	780026	+
gene:GLYMA_01G008000	1	779555	783740	-
gene:GLYMA_01G008100	1	787097	791147	+
gene:GLYMA_01G008200	1	802095	812507	+
gene:GLYMA_01G008300	1	813496	815748	-
gene:GLYMA_01G008400	1	818047	823167	+
gene:GLYMA_01G008500	1	827132	832098	-
gene:GLYMA_01G008600	1	837682	840121	-
gene:GLYMA_01G008700	1	841903	854296	-
gene:GLYMA_01G008800	1	861997	864605	+
gene:GLYMA_01G008900	1	865285	873763	-
gene:GLYMA_01G009000	1	882738	883553	-
gene:GLYMA_01G009100	1	897628	900082	+
