geneName	family
KRG88657	1
KRG89571	1
KRG89764	1
KRG90431	1
KRG91501	1
KRG92419	1
KRG93460	1
KRG93528	1
KRG93563	1
KRG94936	1
KRG95664	1
KRG96025	1
KRG96619	1
KRG96660	1
KRG97208	1
KRG97941	1
KRG98401	1
KRH00706	1
KRH01168	1
KRH01207	1
KRH02902	1
KRH03474	1
KRH04009	1
KRH04372	1
KRH05529	1
KRH06443	1
KRH07477	1
KRH10743	1
KRH13720	1
KRH15479	1
KRH15488	1
KRH17348	1
KRH18112	1
KRH18462	1
KRH18536	1
KRH18986	1
KRH19894	1
KRH21585	1
KRH22165	1
KRH22467	1
KRH22574	1
KRH22841	1
KRH24019	1
KRH24301	1
KRH25089	1
KRH25458	1
KRH25478	1
KRH26521	1
KRH26778	1
KRH26879	1
KRH27160	1
KRH27697	1
KRH28028	1
KRH29280	1
KRH29300	1
KRH30589	1
KRH31704	1
KRH32503	1
KRH33667	1
KRH33726	1
KRH34387	1
KRH35328	1
KRH39562	1
KRH40058	1
KRH40103	1
KRH40490	1
KRH41018	1
KRH41941	1
KRH43737	1
KRH46482	1
KRH47884	1
KRH48176	1
KRH49024	1
KRH49935	1
KRH50565	1
KRH51400	1
KRH52158	1
KRH53067	1
KRH54016	1
KRH54334	1
KRH54549	1
KRH56050	1
KRH56057	1
KRH56060	1
KRH56914	1
KRH57123	1
KRH57285	1
KRH58168	1
KRH60702	1
KRH61462	1
KRH62347	1
KRH62468	1
KRH63306	1
KRH63348	1
KRH63612	1
KRH63931	1
KRH64960	1
KRH65099	1
KRH65587	1
KRH67378	1
KRH67733	1
KRH68350	1
KRH68389	1
KRH68929	1
KRH69121	1
KRH69136	1
KRH70776	1
KRH70777	1
KRH70778	1
KRH71019	1
KRH72982	1
KRH74186	1
KRH74396	1
KRH74911	1
KRH75180	1
KRH77336	1
KRH77404	1
KRH77781	1
KRG89277	1
KRG91494	1
KRG91990	1
KRG91991	1
KRG94012	1
KRG96503	1
KRH02323	1
KRH02634	1
KRH03766	1
KRH04166	1
KRH06175	1
KRH06177	1
KRH07045	1
KRH09018	1
KRH10036	1
KRH10204	1
KRH11988	1
KRH16413	1
KRH17997	1
KRH18309	1
KRH19274	1
KRH20828	1
KRH22481	1
KRH23131	1
KRH24713	1
KRH26874	1
KRH27893	1
KRH28144	1
KRH30933	1
KRH31822	1
KRH32183	1
KRH34790	1
KRH34791	1
KRH35334	1
KRH37017	1
KRH37834	1
KRH38485	1
KRH41236	1
KRH43663	1
KRH44125	1
KRH47101	1
KRH47591	1
KRH47594	1
KRH50345	1
KRH50769	1
