gene_id	paralog_count
KRH45126	11
KRH27888	15
KRH45127	32
KRH45128	86
KRH45129	304
KRH35830	29
KRH35831	105
KRH35832	112
KRH35833	117
KRH35834	9
KRH35836	4
KRH30581	90
KRH35837	20
KRH35839	13
KRH08255	89
KRH55561	514
KRH08256	93
KRH55562	45
KRH08257	18
KRH30586	94
KRG96652	10
KRH55563	11
KRG96654	43
KRH55564	17
KRH08259	76
KRH30588	28
KRH30589	372
KRG96655	90
KRH55566	74
KRG96656	143
KRG96657	32
KRH16201	188
KRH16204	17
KRH63510	500
KRH16205	15
KRH22951	8
KRH16206	7
KRH22952	139
KRH63512	3
KRH18690	342
KRH16207	44
KRH22953	93
KRH63513	151
KRH18691	12
KRH16208	20
KRH63514	621
KRH18692	19
KRH63515	31
KRH18693	59
KRH63516	11
KRH22957	642
KRH63517	458
KRH18695	20
KRH22958	19
KRH63518	9
KRH18696	19
KRH22959	6
KRH63519	24
KRH18697	114
KRH18698	1
KRH18699	11
KRH26640	8
KRH26642	14
KRH26643	10
KRH26644	26
KRH73950	13
KRH21390	35
KRH26645	101
KRH73951	30
KRH21391	22
KRH73952	5
KRH21392	14
KRH26647	8
KRH26648	130
KRH46370	384
KRH73954	128
KRH26649	33
KRH46371	16
KRH46372	349
KRH21396	38
KRH46373	1
KRH21397	15
KRH46374	113
KRH46376	44
KRH07010	50
KRH07011	53
KRH46379	62
KRH07014	54
KRH54320	252
KRH07015	35
KRH07016	65
KRG95411	23
KRH54322	11
KRG95412	29
KRH54323	50
KRH07018	10
KRH54324	9
KRH54325	31
KRG90160	3
KRG90161	68
KRH54328	9
KRG90163	81
KRH54329	20
KRG90164	7
KRG90165	61
KRG90166	3
KRG90168	502
KRG90169	38
KRH17450	638
KRH58010	17
KRH17452	8
KRH17453	26
KRH64760	14
KRH58014	1278
KRH17455	18
KRH64762	25
KRH58016	120
KRH58017	12
KRH58018	74
KRH64765	8
KRH58019	205
KRH37181	25
KRH64766	171
KRH37183	12
KRH37184	6
KRH25401	62
KRH37185	14
KRH25402	383
KRH37186	11
KRH37187	42
KRH25404	31
KRH37188	1585
KRH72710	43
KRH25405	11
KRH37189	3
KRH20151	9
KRH25406	366
KRH72712	25
KRH25407	18
KRH27891	8
KRH25408	23
KRH45130	133
KRH27892	52
KRH72714	23
KRH20154	163
KRH25409	26
KRH27893	383
KRH72715	475
KRH20155	16
KRH45132	67
KRH27894	14
KRH72716	32
KRH20156	4
KRH72717	11
KRH20157	15
KRH72718	389
KRH20158	107
KRH45135	500
KRH20159	38
KRH27898	504
KRH45137	11
KRH27899	13
KRH35844	9
KRH08261	164
KRH30590	24
KRH35846	32
KRH30591	33
KRH35847	16
KRH30592	45
KRH08264	109
KRH30593	108
KRH35849	19
KRH08265	140
KRG96660	379
KRH08266	28
KRH08267	162
KRH30596	255
KRG96663	332
KRH08268	38
KRH30597	574
KRG96664	6
KRH55574	518
KRH08269	66
KRH30598	241
KRH55575	9
