geneName	family
KRG88457	1
KRG89649	1
KRG89941	1
KRG89990	1
KRG90002	1
KRG93975	1
KRG94208	1
KRG94209	1
KRG94667	1
KRG98875	1
KRG98961	1
KRG99669	1
KRG99750	1
KRH04976	1
KRH12533	1
KRH12920	1
KRH13008	1
KRH13009	1
KRH13130	1
KRH17943	1
KRH25514	1
KRH25515	1
KRH25636	1
KRH26128	1
KRH30073	1
KRH30125	1
KRH33515	1
KRH37637	1
KRH37670	1
KRH37746	1
KRH37747	1
KRH38677	1
KRH38679	1
KRH38680	1
KRH38681	1
KRH45533	1
KRH49223	1
KRH49282	1
KRH49284	1
KRH49697	1
KRH55038	1
KRH55039	1
KRH55040	1
KRH55709	1
KRH55710	1
KRH55711	1
KRH55712	1
KRH57617	1
KRH57618	1
KRH57620	1
KRH57820	1
KRH62669	1
KRH62893	1
KRH71591	1
KRH71719	1
KRH75175	1
KRH75218	1
KRH75297	1
KRH75481	1
KRH75720	1
KRH75721	1
KRH76206	1
KRG88567	1
KRG88756	1
KRG89537	1
KRG89538	1
KRG89648	1
KRG89655	1
KRG89656	1
KRG89991	1
KRG90003	1
KRG90364	1
KRG93761	1
KRG94122	1
KRG94207	1
KRG94666	1
KRG99116	1
KRG99117	1
KRG99118	1
KRG99512	1
KRG99599	1
KRG99662	1
KRG99670	1
KRG99685	1
KRG99817	1
KRH04460	1
KRH04977	1
KRH05159	1
KRH08139	1
KRH12547	1
KRH12921	1
KRH13132	1
KRH13207	1
KRH13252	1
KRH15766	1
KRH15914	1
KRH15915	1
KRH16293	1
KRH16294	1
KRH16360	1
KRH17733	1
KRH17893	1
KRH17959	1
KRH26089	1
KRH26095	1
KRH26129	1
KRH30126	1
KRH37636	1
KRH37671	1
KRH37884	1
KRH38678	1
KRH38727	1
KRH45271	1
KRH45715	1
KRH48767	1
KRH48894	1
KRH49592	1
KRH49621	1
KRH54679	1
KRH54825	1
KRH54924	1
KRH55131	1
KRH55306	1
KRH55708	1
KRH57619	1
KRH57873	1
KRH62600	1
KRH66051	1
KRH71590	1
KRH71686	1
KRH72195	1
KRH75296	1
KRH75680	1
KRG89945	1
KRG94218	1
KRH07557	1
KRH16220	1
KRH26130	1
KRH30042	1
KRH30731	1
KRH38163	1
KRH38676	1
KRH45072	1
KRH49283	1
KRH55174	1
KRH62847	1
KRH75580	1
KRH76092	1
KRH25283	1
KRH26199	1
KRH57943	1
KRG93663	1
KRH04978	1
KRH05260	1
KRH26211	1
KRH33117	1
KRH33120	1
KRH33514	1
KRH37820	1
KRH38675	1
KRH66101	1
KRH75434	1
KRH55707	1
KRG99720	1
KRH13251	1
KRH63305	1
KRG99721	1
KRH63153	1
KRH75896	1
KRH15767	1
KRH55296	1
KRG90240	1
KRH55896	1
KRH16184	1
KRH05158	1
KRH12919	1
KRH27457	1
KRG68574	2
KRH17749	2
KRH17758	2
KRH17759	2
KRH17760	2
KRH17761	2
KRH17767	2
KRH17770	2
KRH17771	2
KRH17772	2
KRH17775	2
KRH17776	2
KRH17777	2
KRH17778	2
KRH17779	2
KRH17780	2
KRH17787	2
KRH17790	2
KRH17792	2
KRH17793	2
KRH17794	2
KRH17796	2
KRH17797	2
KRH17798	2
KRH17802	2
KRH17803	2
KRH17804	2
KRH17806	2
KRH17807	2
KRH17808	2
KRH17809	2
KRH17810	2
KRH17811	2
KRH17812	2
KRH17816	2
KRH17817	2
KRH17818	2
KRH17819	2
KRH17820	2
KRH17823	2
KRH17824	2
KRH17825	2
KRH17826	2
KRH17827	2
KRH17828	2
KRH17829	2
KRH17831	2
KRH17832	2
KRH17833	2
KRH17836	2
KRH17837	2
KRH17839	2
KRH17840	2
KRH17841	2
KRH17842	2
KRH17847	2
KRH17849	2
KRH17855	2
KRH17857	2
KRH17859	2
KRH17860	2
KRH17862	2
KRH17863	2
KRH17864	2
KRH17865	2
KRH17867	2
KRH17870	2
KRH17871	2
KRH17872	2
KRH17873	2
KRH17874	2
KRG68575	2
KRH17852	2
KRH08791	2
KRH17745	2
KRH17751	2
KRH17753	2
KRH17755	2
KRH17757	2
KRH17762	2
KRH17781	2
KRH17784	2
KRH17799	2
KRH17822	2
KRH17845	2
KRH17858	2
KRH17861	2
KRH17866	2
KRH17877	2
KRH17878	2
KRH57743	2
KRH17742	2
KRH17738	2
KRH17739	2
KRH17740	2
KRH17791	2
KRH17891	2
KRH17800	2
KRH17801	2
KRH17850	2
KRG90129	3
KRG90130	3
KRG92180	3
KRG92309	3
KRG92310	3
KRG94719	3
KRG95653	3
KRG97053	3
KRG98699	3
KRH01076	3
KRH06816	3
KRH10926	3
KRH10962	3
KRH12100	3
KRH19552	3
KRH21338	3
KRH21384	3
KRH22040	3
KRH27281	3
KRH31710	3
KRH32179	3
KRH33374	3
KRH34484	3
KRH34485	3
KRH40171	3
KRH48811	3
KRH53825	3
KRH66525	3
KRH66526	3
KRH66532	3
KRH66533	3
KRH67370	3
KRG92311	3
KRH14334	3
KRH32175	3
KRH33376	3
KRH34483	3
KRH48815	3
KRH59504	3
KRG91682	3
KRH01504	3
KRH04191	3
KRH04192	3
KRH08410	3
KRH10927	3
KRH10963	3
KRH14810	3
KRH19547	3
KRH21337	3
KRH21385	3
KRH25634	3
KRH26242	3
KRH28164	3
KRH28165	3
KRH32582	3
KRH34607	3
KRH35113	3
KRH37227	3
KRH37228	3
KRH43369	3
KRH45195	3
KRH46237	3
KRH50274	3
KRH54084	3
KRH55195	3
KRH55920	3
KRH57483	3
KRH57484	3
KRH59733	3
KRH63877	3
KRH63879	3
KRH64119	3
KRH70063	3
KRH71142	3
KRH73332	3
KRH73797	3
KRH77323	3
KRH77324	3
KRH12207	3
KRH12208	3
KRH66522	3
KRH69130	3
KRG92185	3
KRH48809	3
KRH31709	3
KRH44513	3
KRH47397	3
KRH66529	3
KRH37226	3
KRH45546	3
KRH12836	3
KRH66531	3
KRG88476	4
KRG88477	4
KRG88479	4
KRH24333	4
KRH24336	4
KRH24341	4
KRH24343	4
KRH24346	4
KRH25742	4
KRH25746	4
KRH25752	4
KRH25758	4
KRH25760	4
KRH39784	4
KRH39785	4
KRH39788	4
KRH39795	4
KRH39799	4
KRH39801	4
KRH39805	4
KRH39807	4
KRH39812	4
KRH43530	4
KRH43531	4
KRH43533	4
KRH51441	4
KRH55754	4
KRH55755	4
KRH55758	4
KRH55764	4
KRH55765	4
KRH55775	4
KRH55777	4
KRH55781	4
KRH55782	4
KRH55786	4
KRH55788	4
KRH55789	4
KRH55790	4
KRH55791	4
KRH55795	4
KRH55797	4
KRH55798	4
KRG88480	4
KRH24332	4
KRH24337	4
KRH24338	4
KRH24342	4
KRH24345	4
KRH25730	4
KRH25731	4
KRH25734	4
KRH25735	4
KRH25737	4
KRH25743	4
KRH25745	4
KRH25751	4
KRH25754	4
KRH25755	4
KRH25756	4
KRH25759	4
KRH39789	4
KRH39791	4
KRH39792	4
KRH39802	4
KRH39806	4
KRH39808	4
KRH39811	4
KRH43529	4
KRH43532	4
KRH43534	4
KRH55772	4
KRH55773	4
KRH55774	4
KRH55785	4
KRH55794	4
KRH60743	4
KRH24335	4
KRH51440	4
KRG88596	5
KRG90045	5
KRG93833	5
KRG93942	5
KRG94230	5
KRG98847	5
KRG99032	5
KRG99072	5
KRH04589	5
KRH12724	5
KRH12821	5
KRH13112	5
KRH13504	5
KRH16248	5
KRH16461	5
KRH17950	5
KRH26058	5
KRH30270	5
KRH30351	5
KRH30712	5
KRH32834	5
KRH32956	5
KRH32979	5
KRH33193	5
KRH33223	5
KRH37621	5
KRH45140	5
KRH45373	5
KRH45416	5
KRH48967	5
KRH49134	5
KRH49607	5
KRH49782	5
KRH55088	5
KRH57696	5
KRH62546	5
KRH63514	5
KRH66268	5
KRH66438	5
KRH66681	5
KRH71662	5
KRH71663	5
KRH71855	5
KRH71883	5
KRH71884	5
KRH72080	5
KRH76284	5
KRH04588	5
KRH12723	5
KRH76037	5
KRG94229	5
KRH33408	5
KRH55089	5
KRH75066	5
KRG99401	5
KRH54803	5
KRH66110	5
KRG98848	5
KRH38370	5
KRH45001	5
KRH48869	5
KRH49306	5
KRH66127	5
KRG99073	5
KRH12482	5
KRH66267	5
KRH72079	5
KRH54608	5
KRH33533	5
KRH13502	5
KRH63075	5
KRH12859	5
KRH04073	6
KRG88716	6
KRG88849	6
KRG89775	6
KRG90065	6
KRG90263	6
KRG98803	6
KRG99336	6
KRH07355	6
KRH08360	6
KRH13328	6
KRH16563	6
KRH20668	6
KRH26113	6
KRH31606	6
KRH31908	6
KRH49570	6
KRH54969	6
KRH62432	6
KRH63256	6
KRG90066	6
KRG90171	6
KRG90199	6
KRG90276	6
KRG94694	6
KRG96892	6
KRG98987	6
KRG99008	6
KRG99062	6
KRH00185	6
KRH05240	6
KRH05532	6
KRH07619	6
KRH12845	6
KRH12932	6
KRH17666	6
KRH20667	6
KRH21781	6
KRH30391	6
KRH32903	6
KRH32907	6
KRH32945	6
KRH33292	6
KRH33419	6
KRH36379	6
KRH37711	6
KRH38013	6
KRH45214	6
KRH45821	6
KRH49639	6
KRH54852	6
KRH54930	6
KRH55103	6
KRH55200	6
KRH55201	6
KRH55209	6
KRH58009	6
KRH62544	6
KRH62584	6
KRH62833	6
KRH66060	6
KRH71630	6
KRH71844	6
KRH72133	6
KRH75973	6
KRH04802	6
KRH37418	6
KRH37610	6
KRH49569	6
KRH65587	7
KRG89571	7
KRG92419	7
KRG95664	7
KRG97042	7
KRG97941	7
KRH10743	7
KRH21585	7
KRH22467	7
KRH22481	7
KRH24019	7
KRH25478	7
KRH26879	7
KRH27697	7
KRH30933	7
KRH31704	7
KRH32183	7
KRH34387	7
KRH41941	7
KRH49935	7
KRH50565	7
KRH54938	7
KRH56050	7
KRH67378	7
KRH68789	7
KRH69121	7
KRH77781	7
KRG91501	7
KRH13720	7
KRH25458	7
KRH34142	7
KRH35328	7
KRH43737	7
KRH48176	7
KRH22165	7
KRH27160	7
KRH71019	7
KRH75180	7
KRG93563	7
KRH00706	7
KRH01207	7
KRH18462	7
KRH29300	7
KRH40058	7
KRH53067	7
KRH62347	7
KRH65099	7
KRH70777	7
KRH70778	7
KRH07477	7
KRH74396	7
KRH04009	7
KRH57285	7
KRH17348	7
KRH28028	7
KRH39562	7
KRH72982	7
KRH77404	7
KRH40490	7
KRH56060	7
KRG88495	8
KRG88582	8
KRG88584	8
KRG88611	8
KRG89672	8
KRH08947	8
KRH08949	8
KRH08954	8
KRH08956	8
KRH08966	8
KRH08972	8
KRH08979	8
KRH08985	8
KRH08995	8
KRH08996	8
KRH09000	8
KRH09004	8
KRH09027	8
KRH09029	8
KRH09030	8
KRH09031	8
KRH09037	8
KRH09042	8
KRH09048	8
KRH09053	8
KRH09056	8
KRH09058	8
