geneA	geneB	tag_id	startA	endA	strandA	startB	endB	strandB	orientation
KRH74121	KRH74123	5825_TAG1	143467	155573	1	170534	193342	1	tandem
KRH74134	KRH74136	463_TAG1	227436	237628	-1	246904	260666	1	divergent
KRH74209	KRH74213	2568_TAG1	588481	598820	-1	604446	613008	1	divergent
KRH74246	KRH74248	384_TAG1	730042	735381	1	736361	740960	1	tandem
KRH74249	KRH74250	1137_TAG1	742024	745606	-1	746804	750737	-1	tandem
KRH74292	KRH74294	4270_TAG1	1018533	1021955	1	1029283	1033685	1	tandem
KRH74307	KRH74308	897_TAG1	1091564	1095405	-1	1122016	1126673	-1	tandem
KRH74307	KRH74310	897_TAG1	1091564	1095405	-1	1134872	1136320	-1	tandem
KRH74308	KRH74310	897_TAG1	1122016	1126673	-1	1134872	1136320	-1	tandem
KRH74313	KRH74315	897_TAG2	1162070	1167484	-1	1181837	1185096	-1	tandem
KRH74327	KRH74328	4_TAG1	1278300	1280130	-1	1284193	1292972	-1	tandem
KRH74370	KRH74373	5768_TAG1	1485325	1491704	-1	1501239	1505312	-1	tandem
KRH74390	KRH74391	5767_TAG1	1553067	1556242	-1	1555182	1556040	-1	tandem
KRH74406	KRH74407	1456_TAG1	1662657	1663915	1	1673427	1674421	1	tandem
KRH74456	KRH74457	252_TAG1	2104937	2109784	-1	2122589	2125447	1	divergent
KRH74467	KRH74469	5920_TAG1	2197811	2200232	1	2205370	2206736	1	tandem
KRH74474	KRH74475	172_TAG1	2235786	2236837	1	2239362	2241294	1	tandem
KRH74506	KRH74508	5513_TAG1	2484222	2486235	1	2502596	2504339	1	tandem
KRH74530	KRH74531	885_TAG1	2757742	2760499	1	2765244	2767576	1	tandem
KRH74600	KRH74602	770_TAG1	3202613	3206095	-1	3208232	3215706	1	divergent
KRH74625	KRH74626	92_TAG1	3396704	3399050	-1	3404831	3411453	1	divergent
KRH74632	KRH74633	1172_TAG1	3455319	3459556	1	3459557	3462334	1	tandem
KRH74632	KRH74635	1172_TAG1	3455319	3459556	1	3487315	3493797	1	tandem
KRH74632	KRH74636	1172_TAG1	3455319	3459556	1	3499474	3504138	1	tandem
KRH74633	KRH74635	1172_TAG1	3459557	3462334	1	3487315	3493797	1	tandem
KRH74633	KRH74636	1172_TAG1	3459557	3462334	1	3499474	3504138	1	tandem
KRH74635	KRH74636	1172_TAG1	3487315	3493797	1	3499474	3504138	1	tandem
KRH74638	KRH74640	2037_TAG1	3514070	3519602	1	3526381	3528862	1	tandem
KRH74638	KRH74641	2037_TAG1	3514070	3519602	1	3532237	3533019	1	tandem
KRH74640	KRH74641	2037_TAG1	3526381	3528862	1	3532237	3533019	1	tandem
KRH74642	KRH74643	4496_TAG1	3535699	3539383	1	3545086	3549390	1	tandem
KRH74651	KRH74653	259_TAG1	3576923	3579461	-1	3583053	3583811	1	divergent
KRH74651	KRH74656	259_TAG1	3576923	3579461	-1	3588552	3590901	-1	tandem
KRH74651	KRH74657	259_TAG1	3576923	3579461	-1	3599923	3602578	-1	tandem
KRH74651	KRH74658	259_TAG1	3576923	3579461	-1	3605528	3607302	-1	tandem
KRH74651	KRH74659	259_TAG1	3576923	3579461	-1	3613545	3615901	-1	tandem
KRH74653	KRH74656	259_TAG1	3583053	3583811	1	3588552	3590901	-1	convergent
KRH74653	KRH74657	259_TAG1	3583053	3583811	1	3599923	3602578	-1	convergent
KRH74653	KRH74658	259_TAG1	3583053	3583811	1	3605528	3607302	-1	convergent
KRH74653	KRH74659	259_TAG1	3583053	3583811	1	3613545	3615901	-1	convergent
KRH74656	KRH74657	259_TAG1	3588552	3590901	-1	3599923	3602578	-1	tandem
KRH74656	KRH74658	259_TAG1	3588552	3590901	-1	3605528	3607302	-1	tandem
KRH74656	KRH74659	259_TAG1	3588552	3590901	-1	3613545	3615901	-1	tandem
KRH74657	KRH74658	259_TAG1	3599923	3602578	-1	3605528	3607302	-1	tandem
KRH74657	KRH74659	259_TAG1	3599923	3602578	-1	3613545	3615901	-1	tandem
KRH74658	KRH74659	259_TAG1	3605528	3607302	-1	3613545	3615901	-1	tandem
KRH74667	KRH74671	5916_TAG1	3636273	3639674	1	3645633	3650030	1	tandem
KRH74677	KRH74678	141_TAG3	3755286	3756659	1	3761748	3762981	1	tandem
KRH74677	KRH74680	141_TAG3	3755286	3756659	1	3789929	3790606	-1	convergent
KRH74678	KRH74680	141_TAG3	3761748	3762981	1	3789929	3790606	-1	convergent
KRH74695	KRH74696	387_TAG1	3922226	3924037	-1	3927491	3927844	1	divergent
KRH74695	KRH74697	387_TAG1	3922226	3924037	-1	3931848	3933221	1	divergent
KRH74696	KRH74697	387_TAG1	3927491	3927844	1	3931848	3933221	1	tandem
KRH74740	KRH74741	997_TAG1	4336374	4338196	1	4341457	4342817	1	tandem
KRH74740	KRH74742	997_TAG1	4336374	4338196	1	4345723	4347332	1	tandem
KRH74741	KRH74742	997_TAG1	4341457	4342817	1	4345723	4347332	1	tandem
KRH74748	KRH74753	213_TAG1	4392159	4393458	-1	4403613	4404643	-1	tandem
KRH74748	KRH74754	213_TAG1	4392159	4393458	-1	4420529	4421978	-1	tandem
KRH74753	KRH74754	213_TAG1	4403613	4404643	-1	4420529	4421978	-1	tandem
KRH74869	KRH74871	800_TAG1	5615672	5619252	1	5627602	5631187	1	tandem
KRH74878	KRH74879	5900_TAG1	5681940	5684496	-1	5695082	5697378	-1	tandem
KRH74901	KRH74902	2009_TAG1	6026181	6027108	1	6027753	6027965	1	tandem
KRH74910	KRH74911	3_TAG3	6114439	6115803	1	6252995	6254510	1	tandem
KRH74938	KRH74939	1966_TAG1	6518999	6534157	1	6538430	6538971	1	tandem
KRH75017	KRH75018	43_TAG1	7525703	7533850	-1	7537464	7539817	-1	tandem
KRH75044	KRH75048	765_TAG1	7775524	7777317	-1	7790857	7792847	-1	tandem
KRH75123	KRH75127	40_TAG1	9380928	9394254	1	9497939	9500657	1	tandem
KRH75151	KRH75152	5918_TAG1	10080759	10085887	1	10100394	10108404	1	tandem
KRH75156	KRH75157	1916_TAG1	10191246	10193108	-1	10337068	10338889	-1	tandem
KRH75156	KRH75159	1916_TAG1	10191246	10193108	-1	10403999	10405863	-1	tandem
KRH75157	KRH75159	1916_TAG1	10337068	10338889	-1	10403999	10405863	-1	tandem
KRH75209	KRH75210	1388_TAG1	11957903	11958314	-1	11974212	11975335	-1	tandem
KRH75238	KRH75239	1773_TAG1	13341778	13344853	-1	13344929	13357815	-1	tandem
KRH75258	KRH75259	1_TAG10	14446411	14448213	-1	14448653	14450534	-1	tandem
KRH75280	KRH75282	2640_TAG1	16817206	16817747	1	16835215	16837297	1	tandem
KRH75280	KRH75283	2640_TAG1	16817206	16817747	1	16872442	16890182	1	tandem
KRH75282	KRH75283	2640_TAG1	16835215	16837297	1	16872442	16890182	1	tandem
KRH75287	KRH75288	47_TAG2	17042561	17049552	1	17154114	17157080	-1	convergent
KRH75296	KRH75297	5_TAG3	18069356	18069964	1	18073653	18077662	-1	convergent
KRH75378	KRH75379	1641_TAG1	23676023	23681576	1	23698304	23701695	1	tandem
KRH75442	KRH75445	146_TAG1	25231530	25245899	1	25274635	25277191	1	tandem
KRH75442	KRH75446	146_TAG1	25231530	25245899	1	25343208	25345580	1	tandem
KRH75442	KRH75447	146_TAG1	25231530	25245899	1	25378074	25380736	1	tandem
KRH75445	KRH75446	146_TAG1	25274635	25277191	1	25343208	25345580	1	tandem
KRH75445	KRH75447	146_TAG1	25274635	25277191	1	25378074	25380736	1	tandem
KRH75446	KRH75447	146_TAG1	25343208	25345580	1	25378074	25380736	1	tandem
KRH75456	KRH75469	4343_TAG1	25676433	25688055	-1	25701810	25706023	-1	tandem
KRH75479	KRH75480	1948_TAG1	26205090	26210292	-1	26240964	26243645	-1	tandem
KRH75549	KRH75550	309_TAG1	27892476	27893782	-1	27894130	27894578	-1	tandem
KRH75553	KRH75554	4337_TAG1	27900005	27900942	-1	27944192	27945565	-1	tandem
KRH75637	KRH75641	11371_TAG1	32659609	32661787	1	32700313	32702482	1	tandem
KRH75700	KRH75702	747_TAG1	34131955	34133696	1	34164743	34168253	1	tandem
KRH75700	KRH75705	747_TAG1	34131955	34133696	1	34337791	34343121	1	tandem
KRH75702	KRH75705	747_TAG1	34164743	34168253	1	34337791	34343121	1	tandem
KRH75720	KRH75721	5_TAG8	34756185	34757159	-1	34760707	34761652	1	divergent
KRH75749	KRH75750	128_TAG1	35856268	35858442	1	35880778	35882807	1	tandem
KRH75773	KRH75774	564_TAG1	36947715	36956807	-1	36968202	36971897	-1	tandem
KRH75773	KRH75775	564_TAG1	36947715	36956807	-1	36981928	36986006	-1	tandem
KRH75774	KRH75775	564_TAG1	36968202	36971897	-1	36981928	36986006	-1	tandem
KRH75780	KRH75781	2306_TAG2	37059402	37063387	1	37085477	37089095	1	tandem
KRH75822	KRH75825	72_TAG1	38052055	38061835	1	38071339	38078837	1	tandem
KRH75841	KRH75842	932_TAG2	38951181	38951998	1	38958799	38959230	1	tandem
KRH75841	KRH75843	932_TAG2	38951181	38951998	1	38975352	38976242	1	tandem
KRH75842	KRH75843	932_TAG2	38958799	38959230	1	38975352	38976242	1	tandem
KRH75885	KRH75887	665_TAG1	40138944	40152980	1	40154907	40156231	1	tandem
KRH75885	KRH75888	665_TAG1	40138944	40152980	1	40163286	40165597	1	tandem
KRH75885	KRH75889	665_TAG1	40138944	40152980	1	40191469	40199263	1	tandem
KRH75887	KRH75888	665_TAG1	40154907	40156231	1	40163286	40165597	1	tandem
KRH75887	KRH75889	665_TAG1	40154907	40156231	1	40191469	40199263	1	tandem
KRH75888	KRH75889	665_TAG1	40163286	40165597	1	40191469	40199263	1	tandem
KRH75893	KRH75895	662_TAG1	40366052	40369893	1	40497296	40501480	-1	convergent
KRH75929	KRH75931	42_TAG1	40757639	40769800	1	40784231	40793131	1	tandem
KRH75929	KRH75936	42_TAG1	40757639	40769800	1	40803098	40803482	1	tandem
KRH75929	KRH75937	42_TAG1	40757639	40769800	1	40805269	40807834	1	tandem
KRH75929	KRH75938	42_TAG1	40757639	40769800	1	40826050	40838828	1	tandem
KRH75929	KRH75939	42_TAG1	40757639	40769800	1	40859920	40890833	1	tandem
KRH75931	KRH75936	42_TAG1	40784231	40793131	1	40803098	40803482	1	tandem
