geneA	geneB	tag_id	startA	endA	strandA	startB	endB	strandB	orientation
KRH74118	KRH74120	82_TAG1	90152	95947	-1	116094	127845	1	divergent
KRH74121	KRH74123	3819_TAG1	143467	155573	1	170534	193342	1	tandem
KRH74134	KRH74136	633_TAG1	227436	237628	-1	246904	260666	1	divergent
KRH74209	KRH74213	2398_TAG1	588481	598820	-1	604446	613008	1	divergent
KRH74227	KRH74232	1450_TAG1	652561	654690	-1	655433	658525	-1	tandem
KRH74246	KRH74248	481_TAG1	730042	735381	1	736361	740960	1	tandem
KRH74249	KRH74250	2_TAG3	742024	745606	-1	746804	750737	-1	tandem
KRH74292	KRH74294	42_TAG1	1018533	1021955	1	1029283	1033685	1	tandem
KRH74307	KRH74308	447_TAG1	1091564	1095405	-1	1122016	1126673	-1	tandem
KRH74307	KRH74310	447_TAG1	1091564	1095405	-1	1134872	1136320	-1	tandem
KRH74308	KRH74310	447_TAG1	1122016	1126673	-1	1134872	1136320	-1	tandem
KRH74313	KRH74315	447_TAG2	1162070	1167484	-1	1181837	1185096	-1	tandem
KRH74327	KRH74328	1_TAG3	1278300	1280130	-1	1284193	1292972	-1	tandem
KRH74367	KRH74368	47_TAG2	1459585	1462094	1	1463543	1464612	1	tandem
KRH74370	KRH74373	1498_TAG1	1485325	1491704	-1	1501239	1505312	-1	tandem
KRH74390	KRH74391	4540_TAG1	1553067	1556242	-1	1555182	1556040	-1	tandem
KRH74402	KRH74403	15_TAG1	1642862	1643728	1	1648646	1650096	-1	convergent
KRH74406	KRH74407	273_TAG1	1662657	1663915	1	1673427	1674421	1	tandem
KRH74453	KRH74454	1_TAG5	2067151	2067966	-1	2069065	2069931	1	divergent
KRH74456	KRH74457	430_TAG1	2104937	2109784	-1	2122589	2125447	1	divergent
KRH74467	KRH74469	37_TAG1	2197811	2200232	1	2205370	2206736	1	tandem
KRH74474	KRH74475	1_TAG6	2235786	2236837	1	2239362	2241294	1	tandem
KRH74506	KRH74508	309_TAG1	2484222	2486235	1	2502596	2504339	1	tandem
KRH74552	KRH74556	1_TAG8	2923915	2927479	1	2929035	2934455	1	tandem
KRH74600	KRH74602	937_TAG1	3202613	3206095	-1	3208232	3215706	1	divergent
KRH74632	KRH74633	8_TAG2	3455319	3459556	1	3459557	3462334	1	tandem
KRH74632	KRH74635	8_TAG2	3455319	3459556	1	3487315	3493797	1	tandem
KRH74632	KRH74636	8_TAG2	3455319	3459556	1	3499474	3504138	1	tandem
KRH74633	KRH74635	8_TAG2	3459557	3462334	1	3487315	3493797	1	tandem
KRH74633	KRH74636	8_TAG2	3459557	3462334	1	3499474	3504138	1	tandem
KRH74635	KRH74636	8_TAG2	3487315	3493797	1	3499474	3504138	1	tandem
KRH74638	KRH74640	23_TAG1	3514070	3519602	1	3526381	3528862	1	tandem
KRH74638	KRH74641	23_TAG1	3514070	3519602	1	3532237	3533019	1	tandem
KRH74638	KRH74642	23_TAG1	3514070	3519602	1	3535699	3539383	1	tandem
KRH74638	KRH74643	23_TAG1	3514070	3519602	1	3545086	3549390	1	tandem
KRH74640	KRH74641	23_TAG1	3526381	3528862	1	3532237	3533019	1	tandem
KRH74640	KRH74642	23_TAG1	3526381	3528862	1	3535699	3539383	1	tandem
KRH74640	KRH74643	23_TAG1	3526381	3528862	1	3545086	3549390	1	tandem
KRH74641	KRH74642	23_TAG1	3532237	3533019	1	3535699	3539383	1	tandem
KRH74641	KRH74643	23_TAG1	3532237	3533019	1	3545086	3549390	1	tandem
KRH74642	KRH74643	23_TAG1	3535699	3539383	1	3545086	3549390	1	tandem
KRH74651	KRH74653	105_TAG1	3576923	3579461	-1	3583053	3583811	1	divergent
KRH74651	KRH74656	105_TAG1	3576923	3579461	-1	3588552	3590901	-1	tandem
KRH74651	KRH74657	105_TAG1	3576923	3579461	-1	3599923	3602578	-1	tandem
KRH74651	KRH74658	105_TAG1	3576923	3579461	-1	3605528	3607302	-1	tandem
KRH74651	KRH74659	105_TAG1	3576923	3579461	-1	3613545	3615901	-1	tandem
KRH74653	KRH74656	105_TAG1	3583053	3583811	1	3588552	3590901	-1	convergent
KRH74653	KRH74657	105_TAG1	3583053	3583811	1	3599923	3602578	-1	convergent
KRH74653	KRH74658	105_TAG1	3583053	3583811	1	3605528	3607302	-1	convergent
KRH74653	KRH74659	105_TAG1	3583053	3583811	1	3613545	3615901	-1	convergent
KRH74656	KRH74657	105_TAG1	3588552	3590901	-1	3599923	3602578	-1	tandem
KRH74656	KRH74658	105_TAG1	3588552	3590901	-1	3605528	3607302	-1	tandem
KRH74656	KRH74659	105_TAG1	3588552	3590901	-1	3613545	3615901	-1	tandem
KRH74657	KRH74658	105_TAG1	3599923	3602578	-1	3605528	3607302	-1	tandem
KRH74657	KRH74659	105_TAG1	3599923	3602578	-1	3613545	3615901	-1	tandem
KRH74658	KRH74659	105_TAG1	3605528	3607302	-1	3613545	3615901	-1	tandem
KRH74667	KRH74671	1504_TAG1	3636273	3639674	1	3645633	3650030	1	tandem
KRH74677	KRH74678	24_TAG3	3755286	3756659	1	3761748	3762981	1	tandem
KRH74677	KRH74680	24_TAG3	3755286	3756659	1	3789929	3790606	-1	convergent
KRH74678	KRH74680	24_TAG3	3761748	3762981	1	3789929	3790606	-1	convergent
KRH74695	KRH74696	214_TAG1	3922226	3924037	-1	3927491	3927844	1	divergent
KRH74695	KRH74697	214_TAG1	3922226	3924037	-1	3931848	3933221	1	divergent
KRH74695	KRH74698	214_TAG1	3922226	3924037	-1	3946315	3948100	-1	tandem
KRH74696	KRH74697	214_TAG1	3927491	3927844	1	3931848	3933221	1	tandem
KRH74696	KRH74698	214_TAG1	3927491	3927844	1	3946315	3948100	-1	convergent
KRH74697	KRH74698	214_TAG1	3931848	3933221	1	3946315	3948100	-1	convergent
KRH74740	KRH74741	59_TAG1	4336374	4338196	1	4341457	4342817	1	tandem
KRH74740	KRH74742	59_TAG1	4336374	4338196	1	4345723	4347332	1	tandem
KRH74741	KRH74742	59_TAG1	4341457	4342817	1	4345723	4347332	1	tandem
KRH74748	KRH74753	128_TAG1	4392159	4393458	-1	4403613	4404643	-1	tandem
KRH74748	KRH74754	128_TAG1	4392159	4393458	-1	4420529	4421978	-1	tandem
KRH74753	KRH74754	128_TAG1	4403613	4404643	-1	4420529	4421978	-1	tandem
KRH74763	KRH74764	33_TAG1	4559162	4561049	-1	4561360	4561594	-1	tandem
KRH74869	KRH74871	677_TAG1	5615672	5619252	1	5627602	5631187	1	tandem
