chromosome	start	end	gap_size_bp	gap_center_bp	buffer_bp
1	32762273	37032551	270278	34897412	2000000
10	25716247	30040499	324251	27878373	2000000
11	21159154	25525285	366131	23342219	2000000
12	17602725	21858880	256154	19730802	2000000
13	5432921	9785506	352585	7609214	2000000
14	35458408	39794860	336452	37626634	2000000
15	34670225	39016794	346569	36843510	2000000
16	10589943	14907595	317651	12748769	2000000
17	22490967	26792202	301235	24641585	2000000
18	28677672	33086525	408853	30882098	2000000
19	22730597	27156128	425531	24943363	2000000
2	19076845	23450261	373416	21263553	2000000
20	12829983	17508344	678361	15169163	2000000
3	20006880	24234599	227719	22120740	2000000
4	26753749	31259555	505806	29006652	2000000
5	12072841	16416929	344087	14244885	2000000
6	28000818	32289802	288983	30145310	2000000
7	26897896	31346600	448704	29122248	2000000
8	23748211	28125691	377480	25936951	2000000
9	23613842	27885388	271546	25749615	2000000
