Rank	Gene_ID	Paralog_Count
1	KRH06825	5389
2	KRH58995	5144
3	KRH12883	5111
4	KRH38301	5065
5	KRH44353	5033
6	KRH08749	5030
7	KRH37880	5010
8	KRH09977	4856
9	KRH10502	4852
10	KRH75894	4838
11	KRH13557	4807
12	KRG91520	4675
13	KRH08037	4648
14	KRH57769	4639
15	KRH44232	4432
16	KRH10921	4431
17	KRH14297	4373
18	KRH21387	4352
19	KRH37171	4300
20	KRH20409	4275
21	KRH52317	4234
22	KRH27573	4230
23	KRH55129	4214
24	KRH50093	4206
25	KRH44237	4200
26	KRH14679	4194
27	KRH12110	4149
28	KRH73173	4115
29	KRH73468	4099
30	KRH04826	4099
31	KRG91824	4092
32	KRH01835	3979
33	KRH08044	3970
34	KRH77939	3940
35	KRH64023	3940
36	KRH08973	3937
37	KRH07065	3931
38	KRH18546	3878
39	KRH69824	3862
40	KRH75937	3835
41	KRH08996	3826
42	KRG91088	3796
43	KRH12892	3786
44	KRH72129	3754
45	KRH29181	3751
46	KRH27572	3726
47	KRH27784	3708
48	KRH35691	3695
49	KRH08720	3695
50	KRH42711	3680
51	KRG93408	3677
52	KRG90182	3662
53	KRH50010	3584
54	KRH28320	3575
55	KRH07638	3569
56	KRH26331	3483
57	KRH77166	3478
58	KRH10123	3476
59	KRH49252	3464
60	KRG98715	3449
61	KRH11046	3443
62	KRH04727	3421
63	KRH33228	3406
64	KRH12294	3383
65	KRH21237	3335
66	KRH75003	3325
67	KRH29736	3322
68	KRH55203	3309
69	KRH65630	3298
70	KRH70864	3281
71	KRH09153	3271
72	KRH24158	3259
73	KRG88453	3237
74	KRH73362	3227
75	KRH08949	3200
76	KRH20481	3186
77	KRH18545	3179
78	KRH29123	3178
79	KRH66279	3168
80	KRH28933	3168
81	KRG91260	3155
82	KRH30341	3148
83	KRH42255	3129
84	KRH65669	3117
85	KRH04830	3117
86	KRH73886	3111
87	KRH08744	3104
88	KRH08799	3102
89	KRH70639	3091
90	KRH75532	3090
91	KRG91353	3082
92	KRH33257	3069
93	KRH49006	3046
94	KRG88534	3044
95	KRH37313	3043
96	KRG93550	3042
97	KRG94379	3038
98	KRG93454	3033
99	KRH35551	3031
100	KRH35476	3031
101	KRH56709	3025
102	KRH71145	3017
103	KRH25727	3013
104	KRH41471	3006
105	KRH34777	3002
106	KRH09050	3002
107	KRH43844	3000
108	KRH12371	2994
109	KRH03836	2992
110	KRH07076	2989
111	KRH49712	2982
112	KRH08795	2979
113	KRG92006	2978
114	KRH49574	2970
115	KRH26904	2968
116	KRH25623	2968
117	KRH60191	2957
118	KRH55932	2957
119	KRH07082	2947
120	KRH50271	2943
121	KRH48427	2941
122	KRG98935	2941
123	KRH19593	2938
124	KRH48631	2933
125	KRH67834	2926
126	KRH76387	2919
127	KRH37787	2918
128	KRH07069	2915
129	KRH27688	2913
130	KRH74203	2910
131	KRH50373	2908
132	KRH28638	2891
133	KRH11174	2887
134	KRH28592	2884
135	KRH39474	2880
136	KRH42927	2878
137	KRH09065	2874
138	KRH08090	2873
139	KRH42561	2861
140	KRH09085	2861
141	KRH09036	2857
142	KRH76837	2856
143	KRH58668	2850
144	KRH08797	2850
145	KRH08794	2849
146	KRH33167	2845
147	KRH51930	2839
148	KRH08599	2838
149	KRH63118	2832
150	KRH21079	2829
151	KRH06824	2827
152	KRH70617	2825
153	KRH00133	2821
154	KRG88582	2813
155	KRH07059	2809
156	KRH08993	2806
