Gene1	Gene2	Gene1_name	Gene2_name	Family_ID	Chromosome	Genes_Apart	Distance_bp	Strand1	Strand2	Same_Orientation
KRH75062	KRH75066	GLYMA_01G059800	GLYMA_01G060200	1	1	4	190795	+	+	True
KRH75224	KRH75236	GLYMA_01G071200	GLYMA_01G072100	1	1	6	332205	+	-	False
KRH75258	KRH75259	GLYMA_01G073700	GLYMA_01G073800	1	1	1	2242	-	-	True
KRH75450	KRH75453	GLYMA_01G086100	GLYMA_01G086400	1	1	3	89208	-	+	False
KRH76030	KRH76037	GLYMA_01G125700	GLYMA_01G126300	1	1	6	69792	-	-	True
KRH76037	KRH76044	GLYMA_01G126300	GLYMA_01G127000	1	1	7	175658	-	-	True
KRH32685	KRH32686	GLYMA_10G068300	GLYMA_10G068400	1	10	1	3177	+	+	True
KRH32752	KRH32753	GLYMA_10G072800	GLYMA_10G072900	1	10	1	3159	-	-	True
KRH32752	KRH32755	GLYMA_10G072800	GLYMA_10G073100	1	10	3	50459	-	-	True
KRH32753	KRH32755	GLYMA_10G072900	GLYMA_10G073100	1	10	2	47300	-	-	True
KRH32832	KRH32834	GLYMA_10G079600	GLYMA_10G079800	1	10	1	41064	+	-	False
KRH33047	KRH33055	GLYMA_10G095300	GLYMA_10G096000	1	10	6	899651	-	+	False
KRH33168	KRH33169	GLYMA_10G103700	GLYMA_10G103800	1	10	1	72919	-	+	False
KRH33168	KRH33170	GLYMA_10G103700	GLYMA_10G103900	1	10	2	75932	-	+	False
KRH33169	KRH33170	GLYMA_10G103800	GLYMA_10G103900	1	10	1	3013	+	+	True
KRH33210	KRH33223	GLYMA_10G107300	GLYMA_10G108200	1	10	8	255717	+	+	True
KRH33399	KRH33408	GLYMA_10G120600	GLYMA_10G121300	1	10	5	217059	-	-	True
KRH30343	KRH30351	GLYMA_11G177700	GLYMA_11G178500	1	11	8	1645859	+	-	False
KRH25667	KRH25674	GLYMA_12G119500	GLYMA_12G120000	1	12	5	102656	+	+	True
KRH26233	KRH26236	GLYMA_12G161800	GLYMA_12G162100	1	12	3	303287	+	+	True
KRH26298	KRH26314	GLYMA_12G166000	GLYMA_12G166700	1	12	8	90575	+	+	True
KRH26479	KRH26480	GLYMA_12G175500	GLYMA_12G175600	1	12	1	3278	+	+	True
KRH26479	KRH26481	GLYMA_12G175500	GLYMA_12G175700	1	12	2	3773	+	+	True
KRH26480	KRH26481	GLYMA_12G175600	GLYMA_12G175700	1	12	1	495	+	+	True
KRH17556	KRH17557	GLYMA_13G000300	GLYMA_13G000400	1	13	1	761	+	+	True
KRH17556	KRH17568	GLYMA_13G000300	GLYMA_13G001300	1	13	10	303496	+	+	True
KRH17557	KRH17568	GLYMA_13G000400	GLYMA_13G001300	1	13	9	302735	+	+	True
KRH17568	KRH17574	GLYMA_13G001300	GLYMA_13G001600	1	13	3	83553	+	-	False
KRH17568	KRH17597	GLYMA_13G001300	GLYMA_13G002300	1	13	10	218848	+	+	True
KRH17574	KRH17597	GLYMA_13G001600	GLYMA_13G002300	1	13	7	135295	-	+	False
KRH17640	KRH17656	GLYMA_13G005000	GLYMA_13G005700	1	13	5	251987	-	-	True
KRH17880	KRH17887	GLYMA_13G024400	GLYMA_13G025100	1	13	6	196696	+	+	True
KRH17908	KRH17927	GLYMA_13G026500	GLYMA_13G027400	1	13	4	890885	+	-	False
KRH18676	KRH18683	GLYMA_13G075400	GLYMA_13G076000	1	13	4	152292	-	+	False
KRH15773	KRH15775	GLYMA_14G110100	GLYMA_14G110300	1	14	2	15594	-	-	True
KRH16021	KRH16033	GLYMA_14G127000	GLYMA_14G128000	1	14	10	535003	+	+	True
KRH16033	KRH16046	GLYMA_14G128000	GLYMA_14G129000	1	14	9	814080	+	+	True
KRH16244	KRH16248	GLYMA_14G142800	GLYMA_14G143200	1	14	4	190479	-	+	False
KRH16748	KRH16749	GLYMA_14G174700	GLYMA_14G174800	1	14	1	3932	+	+	True
KRH12611	KRH12613	GLYMA_15G182200	GLYMA_15G182400	1	15	2	40292	-	-	True
KRH12722	KRH12723	GLYMA_15G189900	GLYMA_15G190000	1	15	1	33680	+	+	True
KRH12722	KRH12724	GLYMA_15G189900	GLYMA_15G190100	1	15	2	37173	+	+	True
KRH12722	KRH12730	GLYMA_15G189900	GLYMA_15G190400	1	15	4	117578	+	-	False
KRH12723	KRH12724	GLYMA_15G190000	GLYMA_15G190100	1	15	1	3493	+	+	True
KRH12723	KRH12730	GLYMA_15G190000	GLYMA_15G190400	1	15	3	83898	+	-	False
KRH12724	KRH12730	GLYMA_15G190100	GLYMA_15G190400	1	15	2	80405	+	-	False
KRH12778	KRH12779	GLYMA_15G193800	GLYMA_15G193900	1	15	1	2986	-	-	True
KRH12821	KRH12831	GLYMA_15G196600	GLYMA_15G197400	1	15	8	322306	+	-	False
KRH12831	KRH12837	GLYMA_15G197400	GLYMA_15G198000	1	15	5	208694	-	+	False
KRH13500	KRH13499	GLYMA_15G243600	GLYMA_15G243500	1	15	1	1827	-	-	True
KRH13500	KRH13501	GLYMA_15G243600	GLYMA_15G243700	1	15	2	5763	-	-	True
KRH13500	KRH13502	GLYMA_15G243600	GLYMA_15G243800	1	15	3	9034	-	-	True
KRH13500	KRH13504	GLYMA_15G243600	GLYMA_15G244000	1	15	5	35728	-	+	False
KRH13499	KRH13501	GLYMA_15G243500	GLYMA_15G243700	1	15	1	3936	-	-	True
KRH13499	KRH13502	GLYMA_15G243500	GLYMA_15G243800	1	15	2	7207	-	-	True
KRH13499	KRH13504	GLYMA_15G243500	GLYMA_15G244000	1	15	4	33901	-	+	False
KRH13501	KRH13502	GLYMA_15G243700	GLYMA_15G243800	1	15	1	3271	-	-	True
KRH13501	KRH13504	GLYMA_15G243700	GLYMA_15G244000	1	15	3	29965	-	+	False
KRH13502	KRH13504	GLYMA_15G243800	GLYMA_15G244000	1	15	2	26694	-	+	False
KRH07890	KRH07893	GLYMA_16G117000	GLYMA_16G117300	1	16	3	86523	+	+	True
KRH07973	KRH07974	GLYMA_16G121500	GLYMA_16G121600	1	16	1	4013	+	+	True
KRH04588	KRH04589	GLYMA_17G171800	GLYMA_17G171900	1	17	1	12655	+	+	True
KRH04842	KRH04845	GLYMA_17G191200	GLYMA_17G191400	1	17	2	35109	-	-	True
KRH04908	KRH04909	GLYMA_17G195200	GLYMA_17G195300	1	17	1	29305	-	-	True
KRH05123	KRH05124	GLYMA_17G208600	GLYMA_17G208700	1	17	1	3587	+	+	True
KRG98487	KRG98488	GLYMA_18G077100	GLYMA_18G077200	1	18	1	3116	+	+	True
KRG98831	KRG98847	GLYMA_18G101500	GLYMA_18G102200	1	18	7	74062	+	-	False
KRG98831	KRG98848	GLYMA_18G101500	GLYMA_18G102300	1	18	8	76265	+	-	False
KRG98847	KRG98848	GLYMA_18G102200	GLYMA_18G102300	1	18	1	2203	-	-	True
KRG99072	KRG99073	GLYMA_18G118700	GLYMA_18G118800	1	18	1	2719	-	-	True
