gene_id	paralog_count
KRH45126	1
KRH27888	3
KRH45127	1
KRH45128	69
KRH45129	59
KRH35831	87
KRH35832	105
KRH35833	103
KRH35834	1
KRH35836	1
KRH30581	83
KRH35837	1
KRH35839	11
KRH08255	52
KRH55561	1933
KRH08256	50
KRH55562	13
KRH08257	1
KRH30586	83
KRG96652	2
KRH55563	4
KRH55564	5
KRH08259	59
KRH30588	10
KRG96654	8
KRH30589	335
KRG96655	66
KRH55566	64
KRG96656	125
KRG96657	23
KRH16201	176
KRH16204	6
KRH63510	1943
KRH16205	10
KRH16206	2
KRH22952	124
KRH18690	54
KRH16207	12
KRH22953	8
KRH63513	118
KRH18691	6
KRH16208	5
KRH18692	3
KRH63514	554
KRH18693	34
KRH63515	16
KRH63516	4
KRH22957	264
KRH18695	11
KRH63517	327
KRH22958	3
KRH18696	11
KRH63518	4
KRH22959	1
KRH18697	98
KRH18699	7
KRH26640	5
KRH26642	4
KRH26644	22
KRH73950	1
KRH21390	474
KRH26645	89
KRH73951	15
KRH21391	3
KRH73952	1
KRH21392	7
KRH26647	1
KRH26648	3
KRH46370	162
KRH73954	62
KRH26649	13
KRH46371	4
KRH46372	210
KRH21396	3
KRH46373	596
KRH21397	2
KRH46374	72
KRH46376	25
KRH07010	39
KRH07011	37
KRH46379	29
KRH07014	38
KRH54320	17
KRH07015	6
KRH07016	3
KRG95411	7
KRH54322	1
KRG95412	10
KRH54323	36
KRH07018	3
KRH54325	5
KRG90161	65
KRH54328	5
KRG90163	72
KRH54329	16
KRG90165	20
KRG90166	1
KRG90168	1817
KRG90169	5
KRH17450	353
KRH58010	6
KRH17452	5
KRH17453	10
KRH58014	348
KRH64760	7
KRH17455	3
KRH64762	14
KRH58016	110
KRH58018	25
KRH58019	76
KRH37181	2
KRH64765	1
KRH64766	59
KRH37183	4
KRH37184	3
KRH25401	39
KRH37185	5
KRH25402	9
KRH37186	6
KRH37187	19
KRH25404	7
KRH37188	3774
KRH72710	41
KRH25405	4
KRH20151	1
KRH25406	192
KRH72712	21
KRH25407	8
KRH27891	1
KRH25408	16
KRH45130	76
KRH27892	34
KRH72714	6
KRH20154	112
KRH27893	340
KRH72715	278
KRH20155	15
KRH45132	14
KRH27894	9
KRH72716	5
KRH20156	1
KRH20157	1
KRH72718	348
KRH20158	307
KRH45135	1885
KRH20159	19
KRH27898	1301
KRH45137	1
KRH27899	7
KRH35844	1
KRH08261	131
KRH30590	5
KRH35846	9
KRH30591	13
KRH35847	13
KRH30592	25
KRH08264	37
KRH30593	75
KRH35849	5
KRH08265	108
KRG96660	343
KRH08266	9
KRH08267	66
KRH30596	96
KRH08268	10
KRH30597	92
KRG96663	182
KRH55574	147
KRH08269	54
KRH30598	175
KRH55575	2
KRH55576	27
KRG96666	2
KRH55577	451
KRG96667	4
KRH55578	16
KRG96668	9
KRH16212	6
KRH55579	396
KRG96669	2
KRH16213	13
KRH22960	1
KRH63520	23
KRH63521	409
KRH63522	271
KRH22963	5
KRH63523	13
KRH16218	26
KRH22964	1860
KRH63524	1833
KRH16219	26
KRH22965	23
KRH22966	439
KRH22967	2
KRH63528	6
KRH26650	11
KRH26652	4
KRH26653	67
KRH26654	28
KRH73960	24
KRH26655	1
KRH26656	3
KRH73962	71
KRH26657	156
KRH26658	6
KRH46380	71
KRH26659	7
KRH46381	17
KRH34600	3
KRH34601	9
KRH73968	20
KRH46385	3
KRH34604	12
KRH34605	147
KRH07021	32
KRH34606	145
KRH07022	34
KRH34607	347
KRH07025	2
KRG95420	1763
KRH07026	71
KRG95421	4
KRH07027	76
KRH54333	49
KRH07028	104
KRH54334	344
KRH07029	35
KRG95424	1
KRH54335	10
KRG90170	50
KRG95425	13
KRH54336	14
KRG90171	188
KRH54337	74
KRG90172	35
KRG95427	2
KRG90173	24
KRG95428	141
KRG90174	7
KRG90175	113
KRG90176	35
KRG90177	11
KRG90178	4
KRG90179	108
KRH17460	173
KRH58020	6
KRH17461	182
KRH58021	7
KRH17462	176
KRH17463	178
KRH17464	186
KRH58024	26
KRH58025	7
KRH58026	12
KRH58027	15
KRH17468	12
KRH58028	15
KRH37190	1315
KRH58029	13
KRH37192	19
KRH37193	2
KRH25410	287
KRH37194	3
KRH25411	162
KRH25412	191
KRH25413	5
KRH37198	6
KRH72720	11
KRH72721	15
KRH72722	9
KRH20162	5
KRH25417	1
KRH72723	1977
KRH20163	30
KRH45140	524
KRH72724	25
KRH20164	1
KRH45141	120
KRH20165	1810
KRH72726	14
KRH20166	62
KRH72727	8
KRH45144	32
KRH72728	301
KRH20168	67
KRH45145	18
KRH45146	10
KRH35852	5
KRH08270	3
KRH08274	4
KRH55580	4
KRH08275	10
KRH55581	592
KRH55582	20
KRH08277	1557
KRG96672	8
KRH55583	406
KRH43800	59
KRH55584	249
KRG96674	32
KRH55585	317
KRH55586	194
KRH43803	6
KRG96676	5
KRH16220	154
KRH55587	5
KRG96677	126
KRH16221	31
KRH55588	15
KRG96678	12
KRH16222	47
KRH16223	135
KRH16224	13
KRH43808	1
KRH22970	146
KRH63530	86
KRH22971	14
KRH63531	5
KRH22972	13
KRH63532	545
KRH22973	51
KRH63533	12
KRH22974	5
KRH63534	10
KRH16229	1090
KRH22975	25
KRH63535	504
KRH63536	1218
KRH22977	50
KRH63537	78
KRH22978	608
KRH63538	9
KRH63539	4
KRH26660	20
KRH26661	35
KRH26662	5
KRH26663	9
KRH26664	168
KRH26665	26
KRH73971	10
KRH26666	27
KRH26667	28
KRH26668	11
KRH46390	2
KRH73974	3
KRH26669	11
KRH73975	6
KRH34610	26
KRH46393	20
KRH46394	6
KRH46395	80
KRH73979	12
KRH46396	80
KRH34615	3
KRH07031	49
KRH46398	25
KRH34617	118
KRH07033	3
KRH34618	98
KRH07034	2
KRH54340	1070
KRH54341	14
KRG95431	1
KRG95432	1
KRH54343	15
KRH07038	9
KRH54344	1
KRH54345	4
KRG95435	68
KRG95436	48
KRG90182	840
KRG95437	48
KRG90183	4
KRG95438	48
KRG90184	9
KRG95439	48
KRG90185	7
KRG90187	1
KRH17471	49
KRH58031	116
KRH17472	9
KRH58032	2
KRH17473	194
KRH58033	547
KRH17474	57
KRH58034	8
KRH64780	35
KRH17475	3
KRG62828	3
KRH58035	6
KRH64781	4
KRH17476	30
KRH58036	14
KRH58037	18
KRH17478	298
KRH58038	19
KRH17479	10
KRH58039	17
KRH64786	176
KRH25423	23
KRH25424	24
KRH20170	68
KRH25425	26
KRH72731	1
KRH25426	76
KRH20173	34
KRH25428	32
KRH20174	67
KRH25429	18
KRH72735	24
KRH20176	9
KRH72738	12
KRH20178	18
KRH45155	208
KRH72739	11
KRH45156	1027
KRH45157	291
KRH45158	20
KRH45159	1743
KRH35862	231
KRH53100	51
KRH35864	1
KRH08280	14
KRH08281	711
KRH53103	7
KRH35866	4
KRH08282	7
KRH35868	50
KRH55590	2
KRH08285	7
KRG96680	165
KRH55591	5
KRG96681	1
KRH55592	656
KRG96682	5
KRH55593	25
KRH08288	43
KRH43810	6
KRG96683	261
KRH55594	3
KRH55595	250
KRG96685	20
KRH55596	545
KRH16230	10
KRH55597	570
KRG96687	496
KRH16231	1
KRH16232	15
KRH55599	108
KRH43816	5
KRH43817	162
KRH43818	16
KRH22980	7
KRH63540	13
KRH16235	18
KRH16236	22
KRH22984	98
KRH63544	10
KRH16239	5
KRH63545	320
KRH22986	34
KRH63546	35
KRH22987	46
KRH63547	3
KRH22988	37
KRH63548	11
KRH22989	5
KRH26670	29
KRH26671	40
KRH26672	1457
KRH26673	1
KRH26674	486
KRH73980	3
KRH26675	1055
KRH26676	2968
KRH73983	19
KRH26679	15
KRH73985	14
KRH73986	1
KRH34621	12
KRH34622	30
KRH34623	9
KRH59600	76
KRH07040	2
KRH34625	2
KRH34626	3
KRH59602	2
KRH07042	13
KRH34627	25
KRH59603	18
KRH07043	73
KRH34628	47
KRH59604	1
KRH07044	81
KRH34629	320
KRH07045	340
KRG95440	46
KRH59606	165
KRH07046	8
KRG95441	24
KRG95442	1
KRH54353	26
KRH07048	5
KRH59609	45
KRH07049	15
KRH54355	47
KRG95445	1
KRH54356	3
KRH54357	296
KRG90192	2
KRG95447	85
KRH54358	1
KRH54359	4
KRG90195	1261
KRG90197	33
KRG90198	1
KRG90199	186
KRH62302	1
KRH58040	14
KRH17481	583
KRH62304	10
KRH58041	13
