seqnames	start	end	peptide_id	family	TAG
1	27355	28320	KRH74114	5430	0
1	90152	95947	KRH74118	979	0
1	116094	127845	KRH74120	3421	0
1	143467	155573	KRH74121	5825	1
1	157030	157772	KRH74122	58	0
1	170534	193342	KRH74123	5825	1
1	196268	201895	KRH74124	10639	0
1	205453	222233	KRH74128	10638	0
1	227436	237628	KRH74134	463	1
1	244111	244455	KRH74135	2839	0
1	246904	260666	KRH74136	463	1
1	260928	269195	KRH74138	10637	0
1	269385	274045	KRH74139	10708	0
1	275426	278431	KRH74141	2447	0
1	280967	285351	KRH74142	195	0
1	285907	288571	KRH74144	517	0
1	291328	297375	KRH74145	28	0
1	303812	307964	KRH74147	10707	0
1	318431	323032	KRH74148	4193	0
1	329019	331724	KRH74149	5779	0
1	333316	334217	KRH74150	5720	0
1	335051	337046	KRH74151	4287	0
1	339803	343224	KRH74152	1636	0
1	343880	344482	KRH74153	10641	0
1	346352	349873	KRH74154	10706	0
1	363183	365184	KRH74155	16	0
1	369871	372222	KRH74156	10705	0
1	372348	375704	KRH74160	10704	0
1	376938	378710	KRH74161	10703	0
1	379878	381664	KRH74162	2364	0
1	384640	386760	KRH74163	607	0
1	387719	390823	KRH74164	10702	0
1	391477	396784	KRH74165	10701	0
1	397272	400412	KRH74166	9249	0
1	411125	413137	KRH74169	265	0
1	415193	417507	KRH74170	10700	0
1	418636	423778	KRH74171	591	0
1	425409	427700	KRH74174	438	0
1	429326	430538	KRH74177	1943	0
1	431039	432924	KRH74179	8975	0
1	434344	437413	KRH74180	1845	0
1	446825	452825	KRH74184	5935	0
1	457480	459034	KRH74186	3	0
1	464509	466549	KRH74187	262	0
1	505665	508556	KRH74188	1427	0
1	512341	517668	KRH74192	2244	0
1	518598	520667	KRH74193	4288	0
1	524166	529281	KRH74196	415	0
1	545337	550831	KRH74198	194	0
1	559875	561878	KRH74203	2862	0
1	562924	566748	KRH74205	1400	0
1	567515	572169	KRH74206	1426	0
1	576688	580396	KRH74207	1144	0
1	585972	587305	KRH74208	1089	0
1	588481	598820	KRH74209	2568	1
1	599475	602191	KRH74211	10699	0
1	604446	613008	KRH74213	2568	1
1	614632	642085	KRH74220	10698	0
1	643566	651359	KRH74225	10697	0
1	655433	658525	KRH74232	1687	0
1	664159	668838	KRH74237	2187	0
1	671149	674564	KRH74240	9975	0
1	681991	683516	KRH74242	824	0
1	707570	708601	KRH74244	206	0
1	730042	735381	KRH74246	384	1
1	736361	740960	KRH74248	384	1
