Gene	tagpairs	genecount	Overlap_Count
KRG68574	False	True	1
KRG68575	False	True	1
KRG82897	False	True	1
KRG82898	False	True	1
KRG88450	False	True	1
KRG88451	False	True	1
KRG88475	False	True	1
KRG88476	False	True	1
KRG88477	False	True	1
KRG88478	False	True	1
KRG88479	False	True	1
KRG88480	False	True	1
KRG88483	False	True	1
KRG88492	False	True	1
KRG88503	False	True	1
KRG88506	False	True	1
KRG88507	False	True	1
KRG88508	False	True	1
KRG88520	False	True	1
KRG88521	False	True	1
KRG88528	False	True	1
KRG88530	False	True	1
KRG88531	False	True	1
KRG88532	False	True	1
KRG88538	False	True	1
KRG88539	False	True	1
KRG88540	False	True	1
KRG88544	False	True	1
KRG88548	False	True	1
KRG88551	False	True	1
KRG88555	False	True	1
KRG88557	False	True	1
KRG88558	False	True	1
KRG88566	False	True	1
KRG88568	False	True	1
KRG88569	False	True	1
KRG88570	False	True	1
KRG88572	False	True	1
KRG88573	False	True	1
KRG88574	False	True	1
KRG88575	False	True	1
KRG88578	False	True	1
KRG88579	False	True	1
KRG88580	False	True	1
KRG88582	False	True	1
KRG88583	False	True	1
KRG88584	False	True	1
KRG88592	False	True	1
KRG88593	False	True	1
KRG88594	False	True	1
KRG88595	False	True	1
KRG88596	False	True	1
KRG88599	False	True	1
KRG88600	False	True	1
KRG88601	False	True	1
KRG88603	False	True	1
KRG88604	False	True	1
KRG88605	False	True	1
KRG88606	False	True	1
KRG88608	False	True	1
KRG88609	False	True	1
KRG88610	False	True	1
KRG88611	False	True	1
KRG88612	False	True	1
KRG88613	False	True	1
KRG88614	False	True	1
KRG88615	False	True	1
KRG88617	False	True	1
KRG88618	False	True	1
KRG88629	False	True	1
KRG88631	False	True	1
KRG88635	False	True	1
KRG88636	False	True	1
KRG88639	False	True	1
KRG88648	False	True	1
KRG88651	False	True	1
KRG88723	False	True	1
KRG88725	False	True	1
KRG88736	False	True	1
KRG88739	False	True	1
KRG88782	False	True	1
KRG88783	False	True	1
KRG88785	False	True	1
KRG88796	False	True	1
KRG88862	False	True	1
KRG88863	False	True	1
KRG88891	False	True	1
KRG88892	False	True	1
KRG88899	False	True	1
KRG88902	False	True	1
KRG88914	False	True	1
KRG88915	False	True	1
KRG88916	False	True	1
KRG88917	False	True	1
KRG88924	False	True	1
KRG88926	False	True	1
KRG89008	False	True	1
KRG89010	False	True	1
KRG89011	False	True	1
KRG89012	False	True	1
KRG89013	False	True	1
KRG89137	True	True	2
KRG89138	True	True	2
KRG89146	True	True	2
KRG89147	True	True	2
KRG89154	True	True	2
KRG89155	True	True	2
KRG89167	True	True	2
KRG89168	True	True	2
KRG89180	True	True	2
KRG89182	True	True	2
KRG89183	True	True	2
KRG89184	True	True	2
KRG89185	True	True	2
KRG89186	True	True	2
KRG89189	False	True	1
KRG89193	False	True	1
KRG89202	False	True	1
KRG89209	False	True	1
KRG89246	True	True	2
KRG89247	True	True	2
KRG89248	True	True	2
KRG89249	True	True	2
KRG89250	True	True	2
KRG89251	True	True	2
KRG89306	True	True	2
KRG89308	True	True	2
KRG89310	True	True	2
KRG89311	True	True	2
KRG89313	True	True	2
KRG89320	False	True	1
KRG89321	True	True	2
KRG89322	True	True	2
KRG89324	False	True	1
KRG89359	True	True	2
KRG89361	True	True	2
KRG89362	True	True	2
KRG89372	True	True	2
KRG89373	True	True	2
KRG89392	True	True	2
KRG89393	True	True	2
KRG89397	True	True	2
KRG89400	True	True	2
KRG89443	True	True	2
KRG89447	True	True	2
KRG89522	True	True	2
KRG89523	True	True	2
KRG89524	True	True	2
KRG89525	True	True	2
KRG89526	True	True	2
KRG89527	True	True	2
KRG89529	True	True	2
KRG89530	True	True	2
KRG89533	True	True	2
KRG89535	True	True	2
KRG89537	True	True	2
KRG89538	True	True	2
KRG89558	False	True	1
KRG89564	True	True	2
KRG89566	True	True	2
KRG89567	True	True	2
KRG89568	True	True	2
KRG89579	True	True	2
KRG89581	True	True	2
KRG89590	True	True	2
KRG89591	True	True	2
KRG89600	True	True	2
KRG89618	False	True	1
KRG89627	True	True	2
KRG89628	True	True	2
KRG89631	True	True	2
KRG89632	True	True	2
KRG89648	True	True	2
KRG89649	True	True	2
KRG89655	True	True	2
KRG89656	True	True	2
KRG89658	True	True	2
KRG89659	True	True	2
KRG89664	True	True	2
KRG89665	True	True	2
KRG89666	True	True	2
KRG89667	True	True	2
KRG89668	True	True	2
KRG89670	True	True	2
KRG89671	True	True	2
KRG89673	True	True	2
KRG89677	True	True	2
KRG89679	True	True	2
KRG89694	False	True	1
KRG89705	False	True	1
KRG89708	False	True	1
KRG89729	True	True	2
KRG89732	True	True	2
KRG89742	False	True	1
KRG89748	True	True	2
KRG89749	True	True	2
KRG89764	True	True	2
KRG89766	True	True	2
KRG89817	True	True	2
KRG89818	True	True	2
KRG89840	True	True	2
KRG89841	True	True	2
KRG89851	True	True	2
KRG89853	True	True	2
KRG89857	True	True	2
KRG89858	True	True	2
KRG89860	True	True	2
KRG89862	False	True	1
KRG89866	False	True	1
KRG89873	True	True	2
KRG89875	True	True	2
KRG89883	False	True	1
KRG89888	True	True	2
KRG89889	True	True	2
KRG89895	True	True	2
KRG89898	True	True	2
KRG89899	True	True	2
KRG89901	True	True	2
KRG89902	True	True	2
KRG89913	False	True	1
KRG89931	True	True	2
KRG89933	True	True	2
KRG89941	False	True	1
KRG89945	False	True	1
KRG89948	True	True	2
KRG89951	True	True	2
KRG89953	True	True	2
KRG89957	True	True	2
KRG89990	True	True	2
KRG89991	True	True	2
KRG89994	True	True	2
KRG89997	True	True	2
KRG90002	True	True	2
KRG90003	True	True	2
KRG90005	True	True	2
KRG90006	True	True	2
KRG90027	True	True	2
KRG90028	True	True	2
KRG90040	True	True	2
KRG90042	True	True	2
KRG90043	True	True	2
KRG90044	True	True	2
KRG90052	False	True	1
KRG90065	True	True	2
KRG90066	True	True	2
KRG90067	True	True	2
KRG90068	True	True	2
KRG90120	True	True	2
KRG90123	True	True	2
KRG90129	True	True	2
KRG90130	True	True	2
KRG90150	True	True	2
KRG90152	True	True	2
KRG90154	True	True	2
KRG90169	True	True	2
KRG90170	True	True	2
KRG90172	True	True	2
KRG90177	True	True	2
KRG90178	True	True	2
KRG90184	True	True	2
KRG90185	True	True	2
KRG90201	True	True	2
KRG90204	True	True	2
KRG90210	True	True	2
KRG90211	True	True	2
KRG90212	False	True	1
KRG90213	True	True	2
KRG90215	True	True	2
KRG90216	False	True	1
KRG90233	True	False	1
KRG90235	True	False	1
KRG90253	False	True	1
KRG90256	False	True	1
KRG90263	False	True	1
KRG90265	True	True	2
KRG90266	True	True	2
KRG90276	False	True	1
KRG90290	True	True	2
KRG90291	True	True	2
KRG90294	False	True	1
KRG90298	True	True	2
KRG90299	True	True	2
KRG90301	True	True	2
KRG90304	True	True	2
KRG90310	True	True	2
KRG90312	True	True	2
KRG90373	True	True	2
KRG90374	True	True	2
KRG90382	True	True	2
KRG90384	True	True	2
KRG90433	False	True	1
KRG90437	False	True	1
KRG90449	True	True	2
KRG90450	True	True	2
KRG90451	True	True	2
KRG90453	False	True	1
KRG90455	False	True	1
KRG90457	False	True	1
KRG90466	True	True	2
KRG90467	True	True	2
KRG90492	True	True	2
KRG90493	True	True	2
KRG90497	False	True	1
KRG90501	False	True	1
KRG90524	False	True	1
KRG90527	True	True	2
KRG90528	True	True	2
KRG90531	False	True	1
KRG90533	False	True	1
KRG90567	True	True	2
KRG90568	True	True	2
KRG90597	True	True	2
KRG90598	True	True	2
KRG90599	True	True	2
KRG90601	True	True	2
KRG90603	True	True	2
KRG90604	True	True	2
KRG90605	True	True	2
KRG90606	True	True	2
KRG90620	True	True	2
KRG90621	True	True	2
KRG90634	True	True	2
KRG90635	True	True	2
KRG90666	True	True	2
KRG90667	True	True	2
KRG90668	True	True	2
KRG90686	True	True	2
KRG90687	True	True	2
KRG90688	True	True	2
KRG90689	True	True	2
KRG90691	True	True	2
KRG90719	True	True	2
KRG90724	True	True	2
KRG90727	True	True	2
KRG90771	True	True	2
KRG90772	True	True	2
KRG90773	True	True	2
KRG90863	True	True	2
KRG90866	True	True	2
KRG90868	True	True	2
KRG90869	True	True	2
KRG90873	True	True	2
KRG90874	True	True	2
KRG90879	True	True	2
KRG90880	True	True	2
KRG90882	True	True	2
KRG90883	True	True	2
KRG90884	True	True	2
KRG90886	True	True	2
KRG90887	True	True	2
KRG90889	True	True	2
KRG90908	True	True	2
KRG90910	True	True	2
KRG90911	True	True	2
KRG90913	True	True	2
KRG90924	True	True	2
KRG90927	True	True	2
KRG90942	True	True	2
KRG90943	True	True	2
KRG90944	True	True	2
KRG90997	True	True	2
KRG91000	True	True	2
KRG91039	True	True	2
KRG91040	True	True	2
KRG91092	False	True	1
KRG91104	False	True	1
KRG91107	True	True	2
KRG91108	True	True	2
KRG91113	True	True	2
KRG91114	True	True	2
KRG91115	True	True	2
KRG91147	True	True	2
KRG91148	True	True	2
KRG91149	False	True	1
KRG91158	True	True	2
KRG91159	True	True	2
KRG91162	True	False	1
KRG91163	True	True	2
KRG91164	True	True	2
KRG91166	True	True	2
KRG91167	True	True	2
KRG91168	True	True	2
KRG91170	True	True	2
KRG91171	True	True	2
KRG91172	True	True	2
KRG91173	True	True	2
KRG91175	True	True	2
KRG91176	True	True	2
KRG91178	True	True	2
KRG91179	True	True	2
KRG91180	True	True	2
KRG91181	True	True	2
KRG91184	True	True	2
KRG91189	True	True	2
KRG91190	True	True	2
KRG91192	True	True	2
KRG91193	True	True	2
KRG91196	True	True	2
KRG91198	True	True	2
KRG91205	True	True	2
KRG91206	True	True	2
KRG91209	True	True	2
KRG91211	False	True	1
KRG91212	True	True	2
KRG91213	True	True	2
KRG91214	False	True	1
KRG91215	True	True	2
KRG91216	True	True	2
KRG91217	True	True	2
KRG91220	True	True	2
KRG91239	True	True	2
KRG91240	True	True	2
KRG91241	True	True	2
KRG91266	True	True	2
KRG91267	True	True	2
KRG91268	True	True	2
KRG91282	True	True	2
KRG91283	True	True	2
KRG91286	True	True	2
KRG91287	True	True	2
KRG91303	True	True	2
KRG91304	True	True	2
KRG91306	True	True	2
KRG91307	True	True	2
KRG91318	False	True	1
KRG91319	False	True	1
KRG91322	True	True	2
KRG91323	True	True	2
KRG91329	True	True	2
KRG91330	True	True	2
KRG91332	True	True	2
KRG91336	True	True	2
KRG91340	True	True	2
KRG91364	True	True	2
KRG91365	True	True	2
KRG91413	True	True	2
KRG91414	True	True	2
KRG91437	True	True	2
KRG91438	True	True	2
KRG91494	True	True	2
KRG91501	True	True	2
KRG91532	True	True	2
KRG91533	True	True	2
KRG91544	True	True	2
KRG91547	True	True	2
KRG91556	True	True	2
KRG91557	True	True	2
KRG91616	True	True	2
KRG91617	True	True	2
KRG91619	True	True	2
KRG91631	True	True	2
KRG91636	True	True	2
KRG91638	True	True	2
KRG91639	True	True	2
KRG91725	True	True	2
KRG91728	True	True	2
KRG91730	True	True	2
KRG91755	True	True	2
KRG91756	True	True	2
KRG91777	True	True	2
KRG91778	True	True	2
KRG91779	True	True	2
KRG91785	True	True	2
KRG91786	True	True	2
KRG91803	True	True	2
KRG91804	True	True	2
KRG91826	True	True	2
KRG91827	True	True	2
KRG91913	True	True	2
KRG91915	True	True	2
KRG91990	True	True	2
KRG91991	True	True	2
KRG92074	True	True	2
KRG92075	True	True	2
KRG92110	True	True	2
KRG92115	True	True	2
KRG92118	True	True	2
KRG92119	True	True	2
KRG92132	True	True	2
