peptide_id	gene_id	transcript_id	genome	chromosome	start_pos	end_pos	strand	description	length	is_singleton
KRH71632	GLYMA_02G159800	KRH71632	Glycine_max_v2.0	2.0	17761140.0	17762361.0	1.0	hypothetical protein	53	True
KRH74479	GLYMA_01G0228002	KRH74479	Glycine_max_v2.0	1.0	2296901.0	2296940.0	1.0	hypothetical protein	13	True
KRH52311	GLYMA_06G060900	KRH52311	Glycine_max_v2.0	6.0	4595819.0	4596261.0	1.0	hypothetical protein	70	True
KRH36015	GLYMA_10G278700	KRH36015	Glycine_max_v2.0	10.0	50046045.0	50046427.0	1.0	hypothetical protein	88	True
KRH43429	GLYMA_08G149100	KRH43429	Glycine_max_v2.0	8.0	11428517.0	11428979.0	1.0	hypothetical protein	95	True
KRH06546	GLYMA_16G029700	KRH06546	Glycine_max_v2.0	16.0	2829345.0	2829503.0	-1.0	hypothetical protein	52	True
KRH49308	GLYMA_07G146900	KRH49308	Glycine_max_v2.0	7.0	17596757.0	17611735.0	1.0	hypothetical protein	106	True
KRH69804	GLYMA_02G049900	KRH69804	Glycine_max_v2.0	2.0	4529051.0	4529206.0	1.0	hypothetical protein	51	True
KRH00025	GLYMA_18G186300	KRH00025	Glycine_max_v2.0	18.0	44822231.0	44822728.0	1.0	hypothetical protein	119	True
KRH66840	GLYMA_03G132100	KRH66840	Glycine_max_v2.0	3.0	34690902.0	34691278.0	1.0	hypothetical protein	83	True
KRH32414	GLYMA_10G049700	KRH32414	Glycine_max_v2.0	10.0	4472259.0	4472456.0	-1.0	hypothetical protein	65	True
KRG93647	GLYMA_19G030200	KRG93647	Glycine_max_v2.0	19.0	3734989.0	3736738.0	-1.0	hypothetical protein	152	True
KRH68076	GLYMA_03G206700	KRH68076	Glycine_max_v2.0	3.0	41427224.0	41429276.0	1.0	hypothetical protein	84	True
KRH40397	GLYMA_09G2564002	KRH40397	Glycine_max_v2.0	9.0	47557747.0	47558018.0	1.0	hypothetical protein	90	True
KRG90253	GLYMA_20G077700	KRG90253	Glycine_max_v2.0	20.0	28466098.0	28466895.0	1.0	hypothetical protein	265	True
KRH32468	GLYMA_10G052400	KRH32468	Glycine_max_v2.0	10.0	4708521.0	4714572.0	-1.0	hypothetical protein	85	True
KRH65820	GLYMA_03G064000	KRH65820	Glycine_max_v2.0	3.0	10340878.0	10344509.0	-1.0	hypothetical protein	486	True
