seqnames	start	end	peptide_id	family	TAG
1	27355	28320	KRH74114	3144	0
1	58975	67527	KRH74115	2447	0
1	67770	69968	KRH74116	885	0
1	90152	95947	KRH74118	83	1
1	90289	91197	KRH74117	2064	0
1	116094	127845	KRH74120	83	1
1	143467	155573	KRH74121	1695	1
1	157030	157772	KRH74122	40	0
1	170534	193342	KRH74123	1695	1
1	196268	201895	KRH74124	6602	0
1	205453	222233	KRH74128	4042	0
1	221661	225775	KRH74132	1474	0
1	227436	237628	KRH74134	525	1
1	244111	244455	KRH74135	218	0
1	246904	260666	KRH74136	525	1
1	260928	269195	KRH74138	5384	0
1	269385	274045	KRH74139	6683	0
1	275426	278431	KRH74141	2	0
1	280967	285351	KRH74142	1	0
1	285907	288571	KRH74144	160	0
1	291328	297375	KRH74145	71	0
1	303812	307964	KRH74147	3892	0
1	318431	323032	KRH74148	2746	0
1	329019	331724	KRH74149	1365	0
1	333316	334217	KRH74150	1985	0
1	335051	337046	KRH74151	3422	0
1	339803	343224	KRH74152	1857	0
1	343880	344482	KRH74153	297	0
1	346352	349873	KRH74154	3149	0
1	363183	365184	KRH74155	45	0
1	369871	372222	KRH74156	5368	0
1	372348	375704	KRH74160	5938	0
1	376938	378710	KRH74161	5164	0
1	379878	381664	KRH74162	3	0
1	384640	386760	KRH74163	819	0
1	387719	390823	KRH74164	5265	0
1	391477	396784	KRH74165	6905	0
1	397272	400412	KRH74166	385	0
1	411125	413137	KRH74169	342	0
1	415193	417507	KRH74170	1365	0
1	418636	423778	KRH74171	325	0
1	425409	427700	KRH74174	543	0
1	429326	430538	KRH74177	2265	0
1	431039	432924	KRH74179	3	0
1	434344	437413	KRH74180	2199	0
1	438340	439522	KRH74182	954	0
1	441820	445055	KRH74183	947	0
1	446825	452825	KRH74184	1	0
1	457480	459034	KRH74186	7	0
1	464509	466549	KRH74187	251	0
1	505665	508556	KRH74188	1749	0
1	512341	517668	KRH74192	2387	0
1	518598	520667	KRH74193	803	0
1	524166	529281	KRH74196	438	0
1	545337	550831	KRH74198	329	0
1	559875	561878	KRH74203	2	0
1	562924	566748	KRH74205	310	0
1	567515	572169	KRH74206	1200	0
1	576688	580396	KRH74207	1495	0
1	585972	587305	KRH74208	420	0
1	588481	598820	KRH74209	2086	1
1	599475	602191	KRH74211	3878	0
1	600230	601509	KRH74212	5209	0
1	604446	613008	KRH74213	2086	1
1	614632	642085	KRH74220	1251	0
1	643566	651359	KRH74225	1896	0
1	652561	654690	KRH74227	1608	1
1	655433	658525	KRH74232	1608	1
1	664159	668838	KRH74237	36	0
1	671149	674564	KRH74240	6163	0
1	681991	683516	KRH74242	78	0
1	707570	708601	KRH74244	96	0
1	730042	735381	KRH74246	508	1
1	736361	740960	KRH74248	508	1
1	742024	745606	KRH74249	2	3
1	746804	750737	KRH74250	2	3
1	752482	756771	KRH74251	715	0
1	759038	761554	KRH74252	4316	0
1	763291	771911	KRH74253	2861	0
1	774324	780026	KRH74254	2983	0
1	779555	783740	KRH74256	196	0
1	787097	791147	KRH74258	811	0
1	802095	812507	KRH74259	89	0
1	813496	815748	KRH74260	315	0
1	818047	823167	KRH74261	13	0
1	827132	832098	KRH74263	440	0
1	837682	840121	KRH74265	6780	0
1	841987	854243	KRH74267	3452	0
1	861997	864605	KRH74269	6380	0
1	865285	873763	KRH74271	3600	0
1	882738	883553	KRH74273	911	0
1	897628	900082	KRH74274	50	0
1	901695	903187	KRH74275	2524	0
1	908484	917161	KRH74276	3001	0
1	920555	925808	KRH74278	470	0
1	934715	936944	KRH74279	238	0
1	937652	940822	KRH74280	31	0
1	952611	956924	KRH74281	3881	0
1	959845	963550	KRH74282	6850	0
1	967283	971604	KRH74283	3401	0
1	973266	978674	KRH74284	177	0
1	980614	987593	KRH74286	313	0
1	993024	997480	KRH74288	3961	0
1	1001210	1006864	KRH74289	923	0
1	1009200	1013846	KRH74291	41	0
1	1018533	1021955	KRH74292	49	1
1	1023389	1026035	KRH74293	5110	0
1	1029283	1033685	KRH74294	49	1
1	1036293	1043750	KRH74296	1901	0
1	1047531	1051340	KRH74297	6052	0
1	1053128	1053792	KRH74299	5812	0
1	1057125	1061925	KRH74300	5837	0
1	1066465	1073106	KRH74301	386	0
1	1084424	1087061	KRH74305	3	3
1	1087724	1091143	KRH74306	6192	0
1	1091564	1095405	KRH74307	427	1
1	1122016	1126673	KRH74308	427	1
1	1130669	1132629	KRH74309	3	3
1	1134872	1136320	KRH74310	427	1
1	1140332	1146805	KRH74311	94	0
1	1157100	1161503	KRH74312	25	0
1	1162070	1167484	KRH74313	427	1
1	1181837	1185096	KRH74315	427	1
1	1193004	1194457	KRH74316	2220	0
1	1197820	1201968	KRH74317	1027	0
1	1204032	1208621	KRH74318	7137	0
1	1207929	1208531	KRH74319	3216	0
1	1211160	1216306	KRH74320	22	0
1	1220267	1224974	KRH74321	427	2
1	1228018	1230052	KRH74322	5	0
1	1232056	1232591	KRH74323	94	2
1	1233755	1237513	KRH74324	25	0
1	1245513	1250153	KRH74325	427	2
1	1267962	1275041	KRH74326	94	2
1	1278300	1280130	KRH74327	1	3
1	1284193	1292972	KRH74328	1	3
1	1302163	1312432	KRH74331	684	0
1	1309915	1310645	KRH74333	3236	0
1	1314163	1316550	KRH74334	121	0
1	1327885	1331315	KRH74335	60	0
1	1337890	1341947	KRH74337	79	0
1	1352386	1356930	KRH74344	441	0
1	1371903	1382029	KRH74350	6055	0
1	1386439	1387102	KRH74351	4872	0
1	1389107	1393444	KRH74352	841	0
1	1395081	1397785	KRH74354	2831	0
1	1404603	1411232	KRH74357	48	0
1	1428730	1434310	KRH74365	539	0
1	1459585	1462094	KRH74367	31	0
1	1463543	1464612	KRH74368	3673	0
1	1479986	1484286	KRH74369	549	0
1	1485325	1491704	KRH74370	1157	1
1	1496846	1500010	KRH74371	4711	0
1	1501239	1505312	KRH74373	1157	1
1	1507298	1508864	KRH74375	4653	0
1	1510354	1511458	KRH74376	1551	0
1	1516447	1519964	KRH74377	856	0
1	1522027	1527320	KRH74378	2189	0
1	1528867	1532335	KRH74383	4240	0
1	1533147	1534160	KRH74386	37	0
1	1536576	1540311	KRH74387	102	0
1	1547216	1547437	KRH74388	715	0
1	1548355	1551672	KRH74389	14	0
1	1553067	1556242	KRH74390	4568	1
1	1555182	1556040	KRH74391	4568	1
1	1560698	1564822	KRH74393	1800	0
1	1573790	1583422	KRH74395	89	0
1	1592908	1595410	KRH74396	7	0
1	1599357	1600466	KRH74397	1207	0
1	1609124	1612598	KRH74398	2395	0
1	1614637	1619559	KRH74399	5665	0
1	1622886	1624365	KRH74400	1205	0
1	1634013	1637492	KRH74401	1254	0
1	1642862	1643728	KRH74402	4	1
1	1648646	1650096	KRH74403	4	1
1	1653678	1657140	KRH74405	19	0
1	1662657	1663915	KRH74406	294	1
1	1673427	1674421	KRH74407	294	1
1	1689030	1691957	KRH74408	199	0
1	1722270	1723518	KRH74409	6510	0
1	1734474	1735545	KRH74411	5075	0
1	1736217	1737749	KRH74412	7087	0
1	1745243	1746141	KRH74414	299	0
1	1748639	1749703	KRH74416	2268	0
1	1750027	1754223	KRH74417	627	0
1	1772897	1774869	KRH74418	9	0
1	1782875	1783916	KRH74419	2878	0
1	1783917	1787272	KRH74420	7028	0
1	1790049	1792039	KRH74422	582	0
1	1803842	1805405	KRH74424	316	0
1	1814560	1817417	KRH74425	5298	0
1	1818232	1821908	KRH74426	1241	0
1	1826798	1836353	KRH74428	1405	0
1	1839153	1846859	KRH74430	1827	0
1	1865692	1868540	KRH74431	1308	0
1	1887049	1889993	KRH74434	81	0
1	1905829	1906826	KRH74436	1400	0
1	1929870	1932580	KRH74437	3267	0
1	1941089	1943035	KRH74438	9	0
1	1971363	1976444	KRH74442	2846	0
1	1979613	1984005	KRH74443	1850	0
1	1990783	1994783	KRH74446	99	0
1	1999880	2008419	KRH74447	1	4
1	2009725	2010906	KRH74448	6220	0
1	2011230	2020186	KRH74449	1554	0
1	2035445	2036241	KRH74450	144	0
1	2039275	2056055	KRH74451	16	0
1	2067151	2067966	KRH74453	1	4
1	2069065	2069931	KRH74454	1	4
1	2092161	2100211	KRH74455	825	0
1	2104937	2109784	KRH74456	358	1
1	2122589	2125447	KRH74457	358	1
1	2140441	2142143	KRH74458	58	0
1	2148822	2155157	KRH74459	22	0
1	2159641	2163970	KRH74460	132	0
1	2171115	2176385	KRH74462	567	0
1	2186117	2186869	KRH74464	6121	0
1	2189923	2194362	KRH74465	5143	0
1	2197811	2200232	KRH74467	43	1
1	2202117	2203202	KRH74468	119	0
1	2205370	2206736	KRH74469	43	1
1	2209688	2210849	KRH74470	458	0
1	2210751	2211738	KRH74471	272	0
1	2212834	2213622	KRH74472	1009	0
1	2215383	2217438	KRH74473	43	1
1	2235786	2236837	KRH74474	4220	0
1	2239362	2241294	KRH74475	1	0
1	2246170	2251398	KRH74476	6	0
1	2281410	2286917	KRH74477	271	0
1	2287485	2293185	KRH74478	200	0
1	2298566	2303966	KRH74480	4581	0
1	2304042	2308423	KRH74482	1079	0
1	2314359	2317518	KRH74485	1765	0
1	2327716	2330874	KRH74487	3628	0
1	2331638	2339135	KRH74488	1494	0
1	2343215	2348080	KRH74492	72	0
1	2363290	2365720	KRH74494	2139	0
1	2367540	2372762	KRH74496	16	0
1	2380950	2402441	KRH74498	1519	0
1	2405107	2414341	KRH74499	2304	0
1	2426625	2433075	KRH74501	121	0
1	2433777	2442737	KRH74502	1671	0
1	2455767	2457198	KRH74503	429	0
1	2462884	2465300	KRH74504	50	0
1	2471111	2473720	KRH74505	145	0
1	2484222	2486235	KRH74506	257	1
1	2491294	2493664	KRH74507	2141	0
1	2502596	2504339	KRH74508	257	1
1	2504633	2507081	KRH74509	982	0
1	2529244	2531919	KRH74510	164	0
1	2537581	2544862	KRH74511	438	0
1	2550549	2551651	KRH74512	7144	0
1	2558045	2560286	KRH74513	105	0
1	2601431	2602687	KRH74514	1621	0
1	2616281	2621186	KRH74515	97	0
1	2649510	2652292	KRH74516	70	0
1	2683720	2685268	KRH74517	6	0
1	2699795	2701888	KRH74519	13	0
1	2702813	2706006	KRH74520	2	0
1	2712747	2712902	KRH74521	3826	0
1	2714436	2715928	KRH74522	190	0
1	2731088	2731862	KRH74523	2646	0
1	2732449	2740742	KRH74525	89	0
1	2741832	2744918	KRH74528	2313	0
1	2747392	2755356	KRH74529	97	0
1	2757742	2760499	KRH74530	1734	0
1	2765244	2767576	KRH74531	1144	0
1	2768571	2771462	KRH74532	4405	0
1	2781491	2782600	KRH74533	278	0
1	2800939	2807591	KRH74535	3973	0
1	2819064	2823273	KRH74537	3336	0
1	2829921	2833313	KRH74538	3140	0
1	2836310	2838537	KRH74539	15	0
1	2841569	2846006	KRH74540	1	0
1	2848853	2849035	KRH74543	3476	0
1	2852073	2856865	KRH74545	623	0
1	2859609	2863397	KRH74546	519	0
1	2874408	2877212	KRH74547	6107	0
1	2884478	2887943	KRH74548	1454	0
1	2889242	2892328	KRH74549	6432	0
1	2895690	2900577	KRH74550	222	0
1	2912340	2915599	KRH74551	61	0
1	2923915	2927479	KRH74552	1	7
1	2929035	2934455	KRH74556	1	7
1	2935173	2938414	KRH74558	6355	0
1	2948608	2957378	KRH74562	180	0
1	2998371	2999567	KRH74563	2404	0
1	2999967	3001495	KRH74564	7177	0
1	3002314	3007143	KRH74565	55	0
1	3014195	3020497	KRH74566	1	0
1	3037245	3038559	KRH74567	3912	0
1	3060271	3064492	KRH74568	2287	0
1	3079661	3082412	KRH74569	4622	0
1	3084233	3090081	KRH74570	721	0
1	3098701	3100169	KRH74571	217	0
1	3107239	3109811	KRH74572	471	0
1	3123489	3124811	KRH74574	3312	0
1	3130778	3135499	KRH74576	540	0
1	3137027	3140461	KRH74580	4093	0
1	3140702	3142591	KRH74581	4320	0
1	3148712	3151772	KRH74584	127	0
1	3152131	3157338	KRH74586	4536	0
1	3159945	3161005	KRH74589	2567	0
1	3163363	3164551	KRH74590	25	0
1	3167272	3172978	KRH74591	1	0
1	3178070	3179538	KRH74592	1331	0
1	3182949	3187700	KRH74593	844	0
1	3189328	3200277	KRH74597	671	0
1	3202613	3206095	KRH74600	993	1
1	3204824	3205142	KRH74601	4903	0
1	3208232	3215706	KRH74602	993	1
1	3234395	3237574	KRH74604	263	0
1	3242360	3244328	KRH74606	1480	0
1	3245447	3246270	KRH74607	187	0
1	3248473	3249000	KRH74609	339	0
1	3257841	3260562	KRH74610	5741	0
1	3264673	3271140	KRH74611	4460	0
1	3278502	3282846	KRH74615	233	0
1	3292411	3295255	KRH74617	26	0
1	3298861	3302133	KRH74618	744	0
1	3328121	3334148	KRH74619	154	0
1	3342396	3347771	KRH74621	349	0
1	3363639	3366996	KRH74622	1053	0
1	3374233	3387279	KRH74623	2034	0
1	3392970	3394819	KRH74624	4	0
1	3396704	3399050	KRH74625	6019	0
1	3404831	3411453	KRH74626	10	1
1	3415166	3425683	KRH74628	1517	0
1	3428092	3430571	KRH74629	950	0
1	3430682	3431061	KRH74630	4128	0
1	3440071	3441480	KRH74631	2902	0
1	3455319	3459556	KRH74632	10	1
1	3459557	3462334	KRH74633	25	0
1	3469089	3471498	KRH74634	43	0
1	3487315	3493797	KRH74635	10	1
1	3499474	3504138	KRH74636	10	1
1	3514070	3519602	KRH74638	27	1
1	3524820	3525113	KRH74639	37	0
1	3526381	3528862	KRH74640	27	1
1	3532237	3533019	KRH74641	27	1
