geneName	family
KRH55469	1
KRG88507	1
KRG88508	1
KRG88684	1
KRG88938	1
KRG89785	1
KRG90879	1
KRG90882	1
KRG90883	1
KRG90889	1
KRG91004	1
KRG91407	1
KRG91553	1
KRG91576	1
KRG92692	1
KRG93072	1
KRG93346	1
KRG93492	1
KRG93493	1
KRG93494	1
KRG93513	1
KRG93548	1
KRG93554	1
KRG93678	1
KRG93726	1
KRG94367	1
KRG94631	1
KRG94724	1
KRG95902	1
KRG95921	1
KRG96002	1
KRG96093	1
KRG96539	1
KRG96984	1
KRG97489	1
KRG97724	1
KRG97725	1
KRG97726	1
KRG97912	1
KRG97925	1
KRG98104	1
KRG98964	1
KRG99134	1
KRG99168	1
KRG99331	1
KRG99398	1
KRG99505	1
KRG99798	1
KRG99800	1
KRG99951	1
KRH00016	1
KRH00017	1
KRH00039	1
KRH00476	1
KRH00500	1
KRH00507	1
KRH00549	1
KRH00764	1
KRH00875	1
KRH01126	1
KRH01325	1
KRH01326	1
KRH01333	1
KRH01335	1
KRH01343	1
KRH01344	1
KRH01345	1
KRH01346	1
KRH01347	1
KRH01348	1
KRH01349	1
KRH01350	1
KRH01351	1
KRH01352	1
KRH01367	1
KRH01368	1
KRH01369	1
KRH01371	1
KRH01376	1
KRH01391	1
KRH01422	1
KRH02603	1
KRH02743	1
KRH02851	1
KRH02917	1
KRH03519	1
KRH03624	1
KRH03664	1
KRH04259	1
KRH04510	1
KRH04920	1
KRH05306	1
KRH05309	1
KRH06009	1
KRH06195	1
KRH06811	1
KRH06889	1
KRH07483	1
KRH07654	1
KRH07729	1
KRH07891	1
KRH07892	1
KRH07896	1
KRH07902	1
KRH07906	1
KRH07983	1
KRH08877	1
KRH09186	1
KRH09190	1
KRH09199	1
KRH09591	1
KRH09942	1
KRH09972	1
KRH09974	1
KRH09978	1
KRH09979	1
KRH09980	1
KRH10056	1
KRH10130	1
KRH10259	1
KRH10267	1
KRH10340	1
KRH10630	1
KRH10943	1
KRH11239	1
KRH11306	1
KRH11410	1
KRH11614	1
KRH11702	1
KRH12238	1
KRH12542	1
KRH13824	1
KRH14014	1
KRH14283	1
KRH14658	1
KRH14944	1
KRH15105	1
KRH15727	1
KRH15730	1
KRH16168	1
KRH16441	1
KRH16468	1
KRH16469	1
KRH16470	1
KRH16471	1
KRH16474	1
KRH16475	1
KRH16479	1
KRH17214	1
KRH17216	1
KRH17378	1
KRH18041	1
KRH18060	1
KRH18061	1
KRH18062	1
KRH18356	1
KRH18358	1
KRH18359	1
KRH18360	1
KRH18363	1
KRH18364	1
KRH18365	1
KRH18652	1
KRH18978	1
KRH19036	1
KRH19122	1
KRH19325	1
KRH19781	1
KRH19927	1
KRH20145	1
KRH20180	1
KRH20266	1
KRH20323	1
KRH20605	1
KRH20802	1
KRH20875	1
KRH21034	1
KRH21351	1
KRH21433	1
KRH21729	1
KRH22211	1
KRH22376	1
KRH22377	1
KRH22893	1
KRH22978	1
KRH23064	1
KRH23073	1
KRH23211	1
KRH23263	1
KRH23350	1
KRH23352	1
KRH23355	1
KRH23360	1
KRH23395	1
KRH23722	1
KRH23762	1
KRH24315	1
KRH24630	1
KRH24788	1
KRH24792	1
KRH24798	1
KRH24985	1
KRH25048	1
KRH25595	1
KRH25726	1
KRH26047	1
KRH26416	1
KRH26462	1
KRH26957	1
KRH27127	1
KRH27185	1
KRH27450	1
KRH28212	1
KRH28544	1
KRH28911	1
KRH28912	1
KRH28973	1
KRH29291	1
KRH29630	1
KRH29795	1
KRH29797	1
KRH29803	1
KRH29882	1
KRH30305	1
KRH30349	1
KRH30677	1
KRH30865	1
KRH30957	1
KRH30975	1
KRH30976	1
KRH31001	1
KRH31037	1
KRH31150	1
KRH31151	1
KRH31152	1
KRH31153	1
KRH31393	1
KRH31738	1
KRH31783	1
KRH32375	1
KRH32535	1
KRH32710	1
KRH32938	1
KRH34099	1
KRH35245	1
KRH35280	1
KRH35413	1
KRH35904	1
KRH35910	1
KRH36498	1
KRH36619	1
KRH36702	1
KRH36704	1
KRH36805	1
KRH36845	1
KRH36846	1
KRH36847	1
KRH36849	1
KRH37271	1
KRH37497	1
KRH38391	1
KRH39150	1
KRH39151	1
KRH39445	1
KRH39505	1
KRH39720	1
KRH39896	1
KRH40135	1
KRH40353	1
KRH40448	1
KRH40618	1
KRH40622	1
KRH40653	1
KRH40710	1
KRH41391	1
KRH41398	1
KRH41963	1
KRH41983	1
KRH42059	1
KRH42061	1
KRH42062	1
KRH42204	1
KRH42501	1
KRH42522	1
KRH42617	1
KRH42988	1
KRH43007	1
KRH43865	1
KRH44228	1
KRH44229	1
KRH44234	1
KRH44238	1
KRH44239	1
KRH44241	1
KRH44243	1
KRH44251	1
KRH44273	1
KRH45064	1
KRH45075	1
KRH45078	1
KRH45080	1
KRH45104	1
KRH45135	1
KRH45205	1
KRH45351	1
KRH45505	1
KRH45614	1
KRH45688	1
KRH45733	1
KRH45845	1
KRH45870	1
KRH46858	1
KRH47046	1
KRH47180	1
KRH47189	1
KRH47204	1
KRH47533	1
