geneName	family
AT4G01510.1	2
AT1G01020.1	2
AT2G46870.1	3
AT1G01030.2	3
AT3G61970.1	3
AT4G01500.1	3
AT2G18230.1	4
AT1G01050.1	4
AT2G46860.1	4
AT3G53620.1	4
AT4G01480.2	4
AT5G09650.1	4
AT2G46830.1	5
AT1G01060.5	5
AT1G09380.1	6
AT1G01070.2	6
AT1G11450.1	6
AT1G11460.1	6
AT1G25270.1	6
AT1G43650.1	6
AT1G44800.1	6
AT1G68170.2	6
AT1G75500.1	6
AT2G37460.1	6
AT3G18200.1	6
AT3G28050.1	6
AT3G30340.2	6
AT3G53210.3	6
AT4G01430.3	6
AT4G01440.2	6
AT4G01450.4	6
AT4G08290.1	6
AT4G08300.1	6
AT4G15540.2	6
AT4G28040.3	6
AT4G30420.1	6
AT5G07050.1	6
AT5G40210.1	6
AT5G40230.1	6
AT5G40240.2	6
AT5G45370.5	6
AT5G64700.1	6
AT1G21890.2	6
AT2G37450.2	6
AT2G39510.1	6
AT2G40900.1	6
AT3G28070.1	6
AT3G28080.1	6
AT3G28100.1	6
AT3G45870.8	6
AT3G56620.1	6
AT5G13670.1	6
AT1G70260.1	6
AT3G28130.1	6
AT4G19185.2	6
AT5G47470.1	6
AT1G60050.1	6
AT4G16620.2	6
AT4G24980.1	6
AT1G24180.1	8
AT1G01090.1	8
AT1G59900.2	8
AT4G00810.2	9
AT1G01100.2	9
AT5G24510.1	9
AT5G47700.2	9
AT1G04220.1	11
AT1G01120.1	11
AT1G07720.1	11
AT1G19440.1	11
AT1G25450.1	11
AT1G68530.2	11
AT1G71160.1	11
AT2G15090.1	11
AT2G16280.1	11
AT2G26250.1	11
AT2G26640.1	11
AT2G28630.2	11
AT2G46720.1	11
AT3G10280.1	11
AT3G52160.2	11
AT4G34250.1	11
AT4G34510.1	11
AT4G34520.1	11
AT5G04530.1	11
AT5G43760.1	11
AT5G49070.2	11
AT5G47170.1	12
AT1G01130.1	12
AT4G00850.2	14
AT1G01160.1	14
AT4G00860.1	15
AT1G01170.2	15
AT1G01280.1	16
AT1G01190.1	16
AT1G13710.1	16
AT1G33720.5	16
AT1G33730.1	16
AT1G66540.1	16
AT1G74110.1	16
AT1G74540.1	16
AT1G74550.1	16
AT2G05180.1	16
AT2G14100.1	16
AT2G25160.1	16
AT2G30750.1	16
AT2G40890.1	16
AT2G42250.1	16
AT2G45550.1	16
AT2G46660.1	16
AT3G20110.1	16
AT3G20120.3	16
AT3G20130.1	16
AT3G20140.1	16
AT3G20950.1	16
AT3G26330.1	16
AT3G28740.1	16
AT3G32047.1	16
AT3G61880.2	16
AT4G12300.1	16
AT4G12310.1	16
AT4G12320.1	16
AT4G15380.1	16
AT4G22690.1	16
AT4G22710.1	16
AT4G31940.1	16
AT4G31950.1	16
AT4G31970.1	16
AT4G37340.1	16
AT4G37370.1	16
AT4G37400.1	16
AT4G37430.1	16
AT5G06900.1	16
AT5G07990.1	16
AT5G09970.1	16
AT5G36220.1	16
AT5G44620.1	16
AT5G47990.1	16
AT5G57220.1	16
AT5G67310.1	16
AT1G11610.2	16
AT1G13080.1	16
AT1G13100.1	16
AT1G13110.1	16
AT1G16400.1	16
AT1G58260.1	16
AT1G79370.1	16
AT2G02580.1	16
AT2G22330.1	16
AT2G23190.1	16
AT2G23220.1	16
AT2G24180.1	16
AT2G30770.1	16
AT2G45570.1	16
AT2G45580.1	16
AT3G20090.2	16
AT3G20960.2	16
AT3G26160.1	16
AT3G26180.2	16
AT3G26200.1	16
AT3G26210.1	16
AT3G26220.1	16
AT3G26230.1	16
AT3G26270.1	16
AT3G26280.1	16
AT3G26290.2	16
AT3G26300.1	16
AT3G26310.1	16
AT3G26320.1	16
AT3G44250.1	16
AT3G48270.1	16
AT3G48280.1	16
AT3G48290.2	16
AT3G48300.1	16
AT3G48310.1	16
AT3G48320.1	16
AT3G53280.1	16
AT4G12330.1	16
AT4G13290.1	16
AT4G13310.1	16
AT4G13770.1	16
AT4G15350.1	16
AT4G15360.1	16
AT4G20240.1	16
AT4G36220.1	16
AT4G37310.1	16
AT4G37320.1	16
AT4G37330.1	16
AT4G37360.1	16
AT4G37410.1	16
AT4G39950.2	16
AT5G04330.1	16
AT5G05260.2	16
AT5G06905.1	16
AT5G10600.1	16
AT5G10610.1	16
AT5G24960.1	16
AT5G25120.1	16
AT5G25130.1	16
AT5G25140.1	16
AT5G25180.1	16
AT5G35917.1	16
AT5G42590.1	16
AT5G57260.1	16
AT1G11600.1	16
AT1G64900.1	16
AT1G64930.1	16
AT1G64940.1	16
AT1G64950.1	16
AT2G12190.1	16
AT3G03470.1	16
AT3G10560.1	16
AT3G10570.1	16
AT5G04630.1	16
AT5G04660.1	16
AT5G61320.1	16
AT1G13090.2	16
AT1G50520.1	16
AT1G50560.1	16
AT2G27000.1	16
AT3G20100.1	16
AT3G20940.1	16
AT3G26150.1	16
AT3G26170.1	16
AT3G26190.1	16
AT3G26830.1	16
AT3G52970.1	16
AT3G53290.1	16
AT3G53300.1	16
AT4G15330.1	16
AT4G31500.1	16
AT5G24950.1	16
AT5G35715.1	16
AT3G25180.2	16
AT3G61040.2	16
AT5G42580.1	16
AT1G28430.1	16
AT3G20080.1	16
AT1G16410.1	16
AT2G27010.1	16
AT3G20935.1	16
AT3G53305.1	16
AT5G25900.1	16
AT2G30490.1	16
AT1G75130.1	16
AT1G17060.1	16
AT2G26710.1	16
AT2G46950.2	16
AT3G14610.1	16
AT3G14620.1	16
AT3G14630.1	16
AT3G14640.1	16
AT3G14650.1	16
AT3G14660.3	16
AT3G14680.1	16
AT3G14690.2	16
AT1G67110.1	16
AT2G46960.2	16
AT4G27710.2	16
AT5G24900.2	16
AT5G24910.1	16
AT5G38450.1	16
AT5G52400.1	16
AT2G45560.3	16
AT4G20235.1	16
AT1G11680.1	16
AT2G26170.2	16
