peptide_id,gene_id,transcript_id,genome,chromosome,start_pos,end_pos,strand,description,length
KRH62851,GLYMA_04G137100,KRH62851,Glycine_max_v2.0,4,20921108,20923257,-1,hypothetical protein,58
KRH71632,GLYMA_02G159800,KRH71632,Glycine_max_v2.0,2,17761140,17762361,1,hypothetical protein,53
KRH74479,GLYMA_01G0228002,KRH74479,Glycine_max_v2.0,1,2296901,2296940,1,hypothetical protein,13
KRH52311,GLYMA_06G060900,KRH52311,Glycine_max_v2.0,6,4595819,4596261,1,hypothetical protein,70
KRH36015,GLYMA_10G278700,KRH36015,Glycine_max_v2.0,10,50046045,50046427,1,hypothetical protein,88
KRH43429,GLYMA_08G149100,KRH43429,Glycine_max_v2.0,8,11428517,11428979,1,hypothetical protein,95
KRH49962,GLYMA_07G191400,KRH49962,Glycine_max_v2.0,7,35881085,35881757,-1,hypothetical protein,64
KRH06546,GLYMA_16G029700,KRH06546,Glycine_max_v2.0,16,2829345,2829503,-1,hypothetical protein,52
KRH03845,GLYMA_17G123900,KRH03845,Glycine_max_v2.0,17,9889610,9890310,-1,hypothetical protein,128
KRH24920,GLYMA_12G071400,KRH24920,Glycine_max_v2.0,12,5237037,5241315,1,hypothetical protein,447
KRH58135,GLYMA_05G106600,KRH58135,Glycine_max_v2.0,5,28355824,28356860,1,hypothetical protein,265
KRH49308,GLYMA_07G146900,KRH49308,Glycine_max_v2.0,7,17596757,17611735,1,hypothetical protein,106
KRH06917,GLYMA_16G0544001,KRH06917,Glycine_max_v2.0,16,5339190,5339714,1,hypothetical protein,58
KRH73699,GLYMA_02G288200,KRH73699,Glycine_max_v2.0,2,46837228,46840249,1,hypothetical protein,77
KRH69804,GLYMA_02G049900,KRH69804,Glycine_max_v2.0,2,4529051,4529206,1,hypothetical protein,51
KRH00025,GLYMA_18G186300,KRH00025,Glycine_max_v2.0,18,44822231,44822728,1,hypothetical protein,119
KRH66840,GLYMA_03G132100,KRH66840,Glycine_max_v2.0,3,34690902,34691278,1,hypothetical protein,83
KRH32414,GLYMA_10G049700,KRH32414,Glycine_max_v2.0,10,4472259,4472456,-1,hypothetical protein,65
KRG93647,GLYMA_19G030200,KRG93647,Glycine_max_v2.0,19,3734989,3736738,-1,hypothetical protein,152
KRH68076,GLYMA_03G206700,KRH68076,Glycine_max_v2.0,3,41427224,41429276,1,hypothetical protein,84
KRH40397,GLYMA_09G2564002,KRH40397,Glycine_max_v2.0,9,47557747,47558018,1,hypothetical protein,90
KRG90253,GLYMA_20G077700,KRG90253,Glycine_max_v2.0,20,28466098,28466895,1,hypothetical protein,265
KRG94727,GLYMA_19G104800,KRG94727,Glycine_max_v2.0,19,35436640,35438898,1,hypothetical protein,57
KRH32468,GLYMA_10G052400,KRH32468,Glycine_max_v2.0,10,4708521,4714572,-1,hypothetical protein,85
KRH23585,GLYMA_13G365900,KRH23585,Glycine_max_v2.0,13,45184035,45185582,1,hypothetical protein,490
KRH65820,GLYMA_03G064000,KRH65820,Glycine_max_v2.0,3,10340878,10344509,-1,hypothetical protein,486
KRH50379,GLYMA_07G218700,KRH50379,Glycine_max_v2.0,7,39191550,39203163,-1,hypothetical protein,400
KRH69196,GLYMA_02G010800,KRH69196,Glycine_max_v2.0,2,1021013,1022240,1,hypothetical protein,30
KRH50423,GLYMA_07G221400,KRH50423,Glycine_max_v2.0,7,39674324,39679431,-1,hypothetical protein,71
KRG94554,GLYMA_19G093300,KRG94554,Glycine_max_v2.0,19,33008672,33009891,1,hypothetical protein,69
KRH51462,GLYMA_06G008100,KRH51462,Glycine_max_v2.0,6,626709,627957,1,hypothetical protein,92
KRH64372,GLYMA_04G232800,KRH64372,Glycine_max_v2.0,4,50114932,50117133,1,hypothetical protein,80
KRH53715,GLYMA_06G141900,KRH53715,Glycine_max_v2.0,6,11554516,11557258,-1,hypothetical protein,52
KRH03911,GLYMA_17G127600,KRH03911,Glycine_max_v2.0,17,10193888,10194406,-1,hypothetical protein,69
KRH22576,GLYMA_13G309400,KRH22576,Glycine_max_v2.0,13,40514471,40514665,1,hypothetical protein,64
KRH70008,GLYMA_02G061800,KRH70008,Glycine_max_v2.0,2,5591597,5591833,1,hypothetical protein,78
KRH22622,GLYMA_13G312100,KRH22622,Glycine_max_v2.0,13,40721652,40729349,1,hypothetical protein,412
KRH27387,GLYMA_12G232600,KRH27387,Glycine_max_v2.0,12,39190738,39190833,-1,hypothetical protein,31
KRH16226,GLYMA_14G141700,KRH16226,Glycine_max_v2.0,14,28560446,28563467,-1,hypothetical protein,171
KRG99510,GLYMA_18G1506001,KRG99510,Glycine_max_v2.0,18,27795025,27795119,-1,hypothetical protein,31
KRH08730,GLYMA_16G170000,KRH08730,Glycine_max_v2.0,16,33010197,33011304,-1,hypothetical protein,183
KRH32584,GLYMA_10G061600,KRH32584,Glycine_max_v2.0,10,5772708,5773444,1,hypothetical protein,85
KRH13913,GLYMA_15G272200,KRH13913,Glycine_max_v2.0,15,50951794,50953900,1,hypothetical protein,68
KRH33449,GLYMA_10G1235002,KRH33449,Glycine_max_v2.0,10,32208758,32208947,1,hypothetical protein,63
KRG96794,GLYMA_19G233200,KRG96794,Glycine_max_v2.0,19,48314796,48315818,-1,hypothetical protein,87
KRH10196,GLYMA_15G033900,KRH10196,Glycine_max_v2.0,15,2701565,2702716,1,hypothetical protein,383
KRG94658,GLYMA_19G099800,KRG94658,Glycine_max_v2.0,19,34685653,34685967,1,hypothetical protein,70
KRH74827,GLYMA_01G045000,KRH74827,Glycine_max_v2.0,1,5041216,5041816,1,hypothetical protein,68
KRH62431,GLYMA_04G108200,KRH62431,Glycine_max_v2.0,4,11504158,11504885,1,hypothetical protein,95
KRH65347,GLYMA_03G028700,KRH65347,Glycine_max_v2.0,3,3128776,3130648,1,hypothetical protein,433
KRH18394,GLYMA_13G056700,KRH18394,Glycine_max_v2.0,13,15423364,15424333,1,hypothetical protein,210
KRH11442,GLYMA_15G108600,KRH11442,Glycine_max_v2.0,15,8539704,8540076,-1,hypothetical protein,92
KRH51642,GLYMA_06G020000,KRH51642,Glycine_max_v2.0,6,1519744,1520178,-1,hypothetical protein,67
KRH32520,GLYMA_10G056100,KRH32520,Glycine_max_v2.0,10,5138034,5138219,-1,hypothetical protein,61
KRH23634,GLYMA_13G369600,KRH23634,Glycine_max_v2.0,13,45510155,45511352,1,hypothetical protein,105
KRH66048,GLYMA_03G079700,KRH66048,Glycine_max_v2.0,3,20218892,20219735,1,hypothetical protein,66
KRH30656,GLYMA_11G198600,KRH30656,Glycine_max_v2.0,11,27592911,27593579,1,hypothetical protein,72
KRH32725,GLYMA_10G070800,KRH32725,Glycine_max_v2.0,10,7125661,7125828,1,hypothetical protein,55
KRH12213,GLYMA_15G159600,KRH12213,Glycine_max_v2.0,15,13482721,13484803,-1,hypothetical protein,78
KRH17326,GLYMA_14G213500,KRH17326,Glycine_max_v2.0,14,47848400,47848688,1,hypothetical protein,46
KRH50691,GLYMA_07G237200,KRH50691,Glycine_max_v2.0,7,41864577,41866695,-1,hypothetical protein,188
KRH53963,GLYMA_06G157700,KRH53963,Glycine_max_v2.0,6,12952789,12952968,1,hypothetical protein,59
KRH67263,GLYMA_03G157100,KRH67263,Glycine_max_v2.0,3,37243156,37243356,-1,hypothetical protein,66
KRH34815,GLYMA_10G208100,KRH34815,Glycine_max_v2.0,10,43978676,43989186,-1,hypothetical protein,596
