Rank	Gene_ID	Paralog_Count
1	KRH07065	8862
2	KRH07059	6500
3	KRH07060	6259
4	KRG91463	5932
5	KRH12156	5931
6	KRH37162	5864
7	KRH35354	5836
8	KRH07070	5794
9	KRH07061	5765
10	KRH58543	5739
11	KRH42437	5619
12	KRH57106	5509
13	KRH67435	5424
14	KRH42321	5315
15	KRH67440	5298
16	KRH58443	5282
17	KRH13407	5268
18	KRG95718	5258
19	KRH75100	5232
20	KRG91721	5230
21	KRG99860	5219
22	KRH70959	5193
23	KRH35050	5184
24	KRH34632	5167
25	KRH18124	5167
26	KRH27378	5164
27	KRH64523	5160
28	KRH53418	5146
29	KRH21908	5108
30	KRH03251	5101
31	KRH27392	5094
32	KRH28774	5092
33	KRH00188	5091
34	KRH07063	5085
35	KRG95717	5078
36	KRG92156	5071
37	KRH46804	5059
38	KRH69809	5054
39	KRH01038	5053
40	KRG89760	4980
41	KRH33495	4973
42	KRH11043	4973
43	KRH57093	4972
44	KRH00186	4961
45	KRH15990	4951
46	KRH01055	4943
47	KRH59319	4934
48	KRH01051	4928
49	KRH43169	4917
50	KRH09613	4905
51	KRH03261	4901
52	KRH43841	4869
53	KRH07069	4858
54	KRH18305	4834
55	KRH21244	4827
56	KRH13628	4824
57	KRH01040	4795
58	KRH08102	4792
59	KRH35013	4785
60	KRG90257	4777
61	KRG91762	4773
62	KRH63566	4767
63	KRH69595	4764
64	KRH73937	4754
65	KRH58407	4749
66	KRH67464	4746
67	KRG93765	4739
68	KRH77409	4730
69	KRH14774	4724
70	KRH70218	4719
71	KRH61075	4719
72	KRH75229	4708
73	KRH51753	4701
74	KRG95745	4675
75	KRH65266	4674
76	KRH31305	4669
77	KRH57301	4660
78	KRH46430	4658
79	KRH28026	4643
80	KRH58312	4641
81	KRH32252	4640
82	KRG92461	4636
83	KRG98433	4626
84	KRH73363	4622
85	KRH43924	4611
86	KRH01458	4609
87	KRH34124	4605
88	KRH72362	4602
89	KRH14195	4587
90	KRH17214	4579
91	KRH76408	4562
92	KRH44862	4558
93	KRH07053	4558
94	KRH01112	4558
95	KRH74566	4557
96	KRH34337	4548
97	KRH45170	4544
98	KRH02989	4536
99	KRH26159	4530
100	KRH72846	4529
101	KRH07051	4518
102	KRH14770	4513
103	KRG97568	4512
104	KRG94387	4507
105	KRH39710	4501
106	KRH09211	4499
107	KRH42193	4498
108	KRH37939	4493
109	KRH38735	4490
110	KRH59649	4475
111	KRH71074	4461
112	KRH27397	4458
113	KRH58311	4455
114	KRH38704	4451
115	KRH14772	4451
116	KRH44860	4440
117	KRH40995	4439
118	KRH07050	4431
119	KRH55049	4427
120	KRH27395	4427
121	KRH21906	4426
122	KRH01110	4426
123	KRH19626	4415
124	KRH23763	4412
125	KRH50121	4411
126	KRG92719	4409
127	KRH04024	4406
128	KRH23822	4405
129	KRG91394	4405
130	KRH39953	4403
131	KRH00507	4403
132	KRH03535	4396
133	KRH40653	4374
134	KRG88511	4374
135	KRH35424	4373
136	KRH29397	4367
137	KRH05414	4367
138	KRH73570	4364
139	KRH14558	4362
140	KRH58184	4346
141	KRH17216	4342
142	KRH21905	4326
143	KRH56872	4320
144	KRH65315	4308
145	KRH22430	4305
146	KRH04350	4305
147	KRH20386	4303
148	KRH24413	4302
149	KRH75939	4286
150	KRH62112	4280
151	KRH28297	4275
152	KRH77190	4273
153	KRH45951	4272
154	KRH25510	4267
155	KRG93649	4267
156	KRH30677	4261
157	KRH55885	4253
158	KRH53813	4251
159	KRH15603	4247
160	KRH42483	4244
161	KRH01105	4243
162	KRH64131	4242
163	KRH01109	4242
164	KRH14451	4240
165	KRH62553	4232
166	KRH52254	4226
167	KRH09237	4226
168	KRH61582	4213
169	KRH74249	4212
170	KRH76031	4210
171	KRH01283	4204
172	KRH23856	4199
173	KRH52802	4184
174	KRH56378	4182
175	KRH01151	4182
176	KRH77188	4179
177	KRH22336	4169
178	KRH23852	4168
179	KRH16265	4168
180	KRH01549	4168
181	KRH70560	4166
182	KRH58580	4166
183	KRH56966	4166
184	KRH14902	4159
185	KRH64211	4158
186	KRH40181	4148
187	KRH03414	4145
188	KRH73241	4143
189	KRH73704	4135
190	KRH65581	4134
191	KRH18386	4130
192	KRH08721	4126
193	KRH26990	4125
194	KRG98104	4122
195	KRH31195	4116
196	KRH06813	4116
197	KRH63411	4114
198	KRH07286	4103
199	KRG97674	4102
200	KRH74250	4096
201	KRH62141	4096
202	KRH65306	4093
203	KRH01111	4092
204	KRH52853	4085
205	KRG99047	4083
206	KRH01108	4079
207	KRH21191	4074
208	KRH53723	4073
209	KRH49459	4073
210	KRH21355	4073
211	KRH00325	4061
212	KRH54498	4042
213	KRH54609	4034
214	KRH41590	4030
215	KRH45044	4029
216	KRG95336	4027
217	KRH67019	4023
218	KRH00443	4015
219	KRH65607	4007
220	KRH38834	4007
221	KRH00500	4004
222	KRH43070	3992
223	KRH39759	3992
224	KRH39755	3975
225	KRH72338	3968
226	KRH60296	3967
227	KRH07285	3964
228	KRH09331	3962
229	KRH59038	3961
230	KRH03012	3954
231	KRG95268	3944
232	KRH76022	3942
233	KRH10792	3942
234	KRH64327	3941
235	KRH40729	3939
236	KRH63281	3934
237	KRH21523	3918
238	KRH56662	3915
239	KRH36704	3915
240	KRH20524	3911
241	KRH42002	3906
242	KRH43071	3904
243	KRH14964	3901
244	KRH08724	3898
245	KRH39724	3893
246	KRH21678	3892
247	KRH66939	3891
248	KRH59200	3891
249	KRH21933	3891
250	KRH01301	3880
