Gene1	Gene2	Gene1_name	Gene2_name	Family_ID	Chromosome	Distance_bp	Gene1_Start	Gene2_Start	Strand1	Strand2	Same_Orientation
KRH75258	KRH75259	GLYMA_01G073700	GLYMA_01G073800	1	1	2242	14446411	14448653	-	-	True
KRH75450	KRH75453	GLYMA_01G086100	GLYMA_01G086400	1	1	89208	25515292	25604500	-	+	False
KRH76030	KRH76037	GLYMA_01G125700	GLYMA_01G126300	1	1	69792	43443189	43512981	-	-	True
KRH32685	KRH32686	GLYMA_10G068300	GLYMA_10G068400	1	10	3177	6758776	6761953	+	+	True
KRH32752	KRH32753	GLYMA_10G072800	GLYMA_10G072900	1	10	3159	7468072	7471231	-	-	True
KRH32752	KRH32755	GLYMA_10G072800	GLYMA_10G073100	1	10	50459	7468072	7518531	-	-	True
KRH32753	KRH32755	GLYMA_10G072900	GLYMA_10G073100	1	10	47300	7471231	7518531	-	-	True
KRH32832	KRH32834	GLYMA_10G079600	GLYMA_10G079800	1	10	41064	9182456	9223520	+	-	False
KRH33168	KRH33169	GLYMA_10G103700	GLYMA_10G103800	1	10	72919	21864887	21937806	-	+	False
KRH33168	KRH33170	GLYMA_10G103700	GLYMA_10G103900	1	10	75932	21864887	21940819	-	+	False
KRH33169	KRH33170	GLYMA_10G103800	GLYMA_10G103900	1	10	3013	21937806	21940819	+	+	True
KRH26298	KRH26314	GLYMA_12G166000	GLYMA_12G166700	1	12	90575	32037527	32128102	+	+	True
KRH26479	KRH26480	GLYMA_12G175500	GLYMA_12G175600	1	12	3278	33335822	33339100	+	+	True
KRH26479	KRH26481	GLYMA_12G175500	GLYMA_12G175700	1	12	3773	33335822	33339595	+	+	True
KRH26480	KRH26481	GLYMA_12G175600	GLYMA_12G175700	1	12	495	33339100	33339595	+	+	True
KRH17556	KRH17557	GLYMA_13G000300	GLYMA_13G000400	1	13	761	127633	128394	+	+	True
KRH17568	KRH17574	GLYMA_13G001300	GLYMA_13G001600	1	13	83553	431129	514682	+	-	False
KRH15773	KRH15775	GLYMA_14G110100	GLYMA_14G110300	1	14	15594	12377858	12393452	-	-	True
KRH16748	KRH16749	GLYMA_14G174700	GLYMA_14G174800	1	14	3932	43181006	43184938	+	+	True
KRH12611	KRH12613	GLYMA_15G182200	GLYMA_15G182400	1	15	40292	17841913	17882205	-	-	True
KRH12722	KRH12723	GLYMA_15G189900	GLYMA_15G190000	1	15	33680	20197625	20231305	+	+	True
KRH12722	KRH12724	GLYMA_15G189900	GLYMA_15G190100	1	15	37173	20197625	20234798	+	+	True
KRH12723	KRH12724	GLYMA_15G190000	GLYMA_15G190100	1	15	3493	20231305	20234798	+	+	True
KRH12723	KRH12730	GLYMA_15G190000	GLYMA_15G190400	1	15	83898	20231305	20315203	+	-	False
KRH12724	KRH12730	GLYMA_15G190100	GLYMA_15G190400	1	15	80405	20234798	20315203	+	-	False
KRH12778	KRH12779	GLYMA_15G193800	GLYMA_15G193900	1	15	2986	21463199	21466185	-	-	True
KRH13500	KRH13499	GLYMA_15G243600	GLYMA_15G243500	1	15	1827	46471930	46473757	-	-	True
KRH13500	KRH13501	GLYMA_15G243600	GLYMA_15G243700	1	15	5763	46471930	46477693	-	-	True
KRH13500	KRH13502	GLYMA_15G243600	GLYMA_15G243800	1	15	9034	46471930	46480964	-	-	True
KRH13500	KRH13504	GLYMA_15G243600	GLYMA_15G244000	1	15	35728	46471930	46507658	-	+	False
KRH13499	KRH13501	GLYMA_15G243500	GLYMA_15G243700	1	15	3936	46473757	46477693	-	-	True
KRH13499	KRH13502	GLYMA_15G243500	GLYMA_15G243800	1	15	7207	46473757	46480964	-	-	True
KRH13499	KRH13504	GLYMA_15G243500	GLYMA_15G244000	1	15	33901	46473757	46507658	-	+	False
KRH13501	KRH13502	GLYMA_15G243700	GLYMA_15G243800	1	15	3271	46477693	46480964	-	-	True
KRH13501	KRH13504	GLYMA_15G243700	GLYMA_15G244000	1	15	29965	46477693	46507658	-	+	False
KRH13502	KRH13504	GLYMA_15G243800	GLYMA_15G244000	1	15	26694	46480964	46507658	-	+	False
KRH07890	KRH07893	GLYMA_16G117000	GLYMA_16G117300	1	16	86523	26140411	26226934	+	+	True
KRH07973	KRH07974	GLYMA_16G121500	GLYMA_16G121600	1	16	4013	27007186	27011199	+	+	True
KRH04588	KRH04589	GLYMA_17G171800	GLYMA_17G171900	1	17	12655	16601259	16613914	+	+	True
KRH04842	KRH04845	GLYMA_17G191200	GLYMA_17G191400	1	17	35109	27153452	27188561	-	-	True
KRH04908	KRH04909	GLYMA_17G195200	GLYMA_17G195300	1	17	29305	30143462	30172767	-	-	True
KRH05123	KRH05124	GLYMA_17G208600	GLYMA_17G208700	1	17	3587	34237997	34241584	+	+	True
KRG98487	KRG98488	GLYMA_18G077100	GLYMA_18G077200	1	18	3116	7323406	7326522	+	+	True
KRG98831	KRG98847	GLYMA_18G101500	GLYMA_18G102200	1	18	74062	10768240	10842302	+	-	False
KRG98831	KRG98848	GLYMA_18G101500	GLYMA_18G102300	1	18	76265	10768240	10844505	+	-	False
KRG98847	KRG98848	GLYMA_18G102200	GLYMA_18G102300	1	18	2203	10842302	10844505	-	-	True
KRG99072	KRG99073	GLYMA_18G118700	GLYMA_18G118800	1	18	2719	14667148	14669867	-	-	True
KRG99400	KRG99401	GLYMA_18G1423002	GLYMA_18G1423001	1	18	4311	22245889	22250200	+	+	True
KRG99400	KRG99403	GLYMA_18G1423002	GLYMA_18G142400	1	18	23790	22245889	22269679	+	-	False
KRG99401	KRG99403	GLYMA_18G1423001	GLYMA_18G142400	1	18	19479	22250200	22269679	+	-	False
KRH00157	KRH00158	GLYMA_18G196500	GLYMA_18G196600	1	18	382	47245113	47245495	+	+	True
