gene	age_class	ks_used	selection_class	w_used
KRG62078	Recent	0.6929	Purifying_selection	0.5889
KRG62828	Recent	0.1164	Purifying_selection	0.7523
KRG68574	Recent	0.0155	Purifying_selection	0.911
KRG69542	Recent	0.1006	Purifying_selection	0.5405
KRG72309	Recent	0.0071	Purifying_selection	0.7729
KRG72579	Recent	0.1312	Purifying_selection	0.3296
KRG72766	Recent	0.0171	Neutral	1
KRG72947	Recent	0.0451	Purifying_selection	0.5509
KRG82897	Recent	0.0129	Neutral	1
KRG82898	Recent	0.1217	Purifying_selection	0.7326
KRG83086	Recent	0.1375	Purifying_selection	0.2458
KRG84052	Recent	0.1882	Purifying_selection	0.7196
KRG84333	Recent	0.0239	Neutral	1
KRG84467	Recent	0.4253	Purifying_selection	0.4761
KRG85800	Recent	0.0116	Positive_selection	2.3262
KRG86788	Recent	0.1507	Purifying_selection	0.478
KRG87169	Recent	1.4545	Purifying_selection	0.2596
KRG87404	Recent	0.0232	Neutral	1
KRG87937	Recent	0.1567	Purifying_selection	0.6177
KRG88199	Recent	0.2129	Purifying_selection	0.3466
KRG88422	Recent	0.0589	Neutral	1
KRG88423	Recent	0.1306	Purifying_selection	0.4192
KRG88427	Recent	0.1416	Purifying_selection	0.4937
KRG88428	Recent	0.1255	Purifying_selection	0.8557
KRG88429	Recent	0.0322	Neutral	1
KRG88430	Recent	0.3739	Purifying_selection	0.3137
KRG88431	Recent	0.0251	Purifying_selection	0.9428
KRG88433	Recent	0.0454	Neutral	1
KRG88435	Recent	0.1087	Purifying_selection	0.2856
KRG88437	Recent	0.0449	Purifying_selection	0.9596
KRG88438	Recent	0.0139	Purifying_selection	0.7961
KRG88440	Recent	0.0197	Purifying_selection	0.5572
KRG88442	Recent	0.0099	Neutral	1
KRG88448	Recent	0.021	Neutral	1
KRG88449	Recent	0.1711	Purifying_selection	0.1665
KRG88450	Recent	0.0691	Purifying_selection	0.6866
KRG88451	Recent	0.0201	Purifying_selection	0.6615
KRG88452	Recent	0.0753	Purifying_selection	0.4134
KRG88453	Recent	0.3825	Purifying_selection	0.5977
KRG88454	Recent	0.042	Purifying_selection	0.6826
KRG88456	Recent	0.2221	Purifying_selection	0.4086
KRG88457	Recent	0.0181	Purifying_selection	0.5043
KRG88458	Recent	0.0194	Purifying_selection	0.6704
KRG88459	Recent	0.1464	Purifying_selection	0.701
KRG88461	Recent	0.0208	Purifying_selection	0.4699
KRG88463	Recent	0.0868	Purifying_selection	0.3454
KRG88464	Recent	0.2454	Purifying_selection	0.2876
KRG88467	Recent	0.0175	Neutral	1
KRG88468	Recent	0.0232	Neutral	1
KRG88469	Recent	0.0239	Purifying_selection	0.4154
KRG88470	Recent	0.0617	Purifying_selection	0.5862
KRG88471	Recent	0.0668	Purifying_selection	0.639
KRG88472	Recent	0.6478	Purifying_selection	0.6108
KRG88473	Recent	0.0039	Neutral	1
KRG88474	Recent	0.0527	Purifying_selection	0.8209
KRG88475	Recent	0.0146	Neutral	1
KRG88476	Recent	0.0271	Purifying_selection	0.8173
KRG88477	Recent	0.0126	Purifying_selection	0.525
KRG88478	Recent	0.0139	Neutral	1
KRG88479	Recent	0.0359	Purifying_selection	0.5817
KRG88480	Recent	0.0421	Purifying_selection	0.9776
KRG88481	Recent	0.1205	Purifying_selection	0.4629
KRG88483	Recent	0.0503	Neutral	1
KRG88484	Recent	0.2539	Purifying_selection	0.1736
KRG88492	Recent	0.0835	Purifying_selection	0.9353
KRG88495	Recent	0.0343	Neutral	1
KRG88496	Recent	0.1346	Purifying_selection	0.9555
KRG88497	Recent	0.0302	Purifying_selection	0.4008
KRG88500	Recent	0.1294	Purifying_selection	0.5778
KRG88502	Recent	0.2216	Purifying_selection	0.7144
KRG88503	Recent	0.1473	Purifying_selection	0.4025
KRG88506	Recent	0.1035	Purifying_selection	0.3624
KRG88507	Recent	0.5476	Purifying_selection	0.3929
KRG88508	Recent	0.0328	Purifying_selection	0.9519
KRG88510	Recent	0.1918	Purifying_selection	0.6014
KRG88511	Recent	0.0298	Purifying_selection	0.831
KRG88512	Recent	0.0106	Neutral	1
KRG88514	Recent	0.0062	Neutral	1
KRG88517	Recent	0.0848	Neutral	1
KRG88518	Recent	0.0278	Purifying_selection	0.4893
KRG88520	Recent	0.2239	Purifying_selection	0.8051
KRG88521	Recent	0.0524	Neutral	1
KRG88522	Recent	0.0113	Purifying_selection	0.8793
KRG88523	Recent	0.0335	Purifying_selection	0.8186
KRG88525	Recent	0.0773	Purifying_selection	0.5952
KRG88527	Recent	0.3696	Purifying_selection	0.8074
KRG88528	Recent	0.0436	Purifying_selection	0.9806
KRG88529	Recent	0.0115	Neutral	1
KRG88530	Recent	0.0115	Neutral	1
KRG88531	Recent	0.0072	Purifying_selection	0.7915
KRG88532	Recent	0.0299	Purifying_selection	0.4808
KRG88533	Recent	0.5112	Purifying_selection	0.3791
KRG88534	Recent	0.0232	Neutral	1
KRG88535	Recent	0.0087	Neutral	1
KRG88537	Recent	0.0094	Neutral	1
KRG88538	Recent	0.1704	Purifying_selection	0.8431
KRG88539	Recent	0.1838	Purifying_selection	0.7414
KRG88540	Recent	0.098	Purifying_selection	0.2525
KRG88544	Recent	0.0072	Purifying_selection	0.0333
KRG88545	Recent	0.0225	Neutral	1
KRG88546	Recent	0.0119	Neutral	1
KRG88547	Recent	0.0042	Purifying_selection	0.5308
KRG88548	Recent	0.0082	Purifying_selection	0.8161
KRG88551	Recent	0.0198	Purifying_selection	0.4755
KRG88555	Recent	0.01	Neutral	1
KRG88557	Recent	0.0124	Purifying_selection	0.582
KRG88558	Recent	0.0376	Purifying_selection	0.6907
KRG88562	Recent	1.3131	Purifying_selection	0.311
KRG88566	Recent	0.0141	Neutral	1
KRG88567	Recent	0.0446	Purifying_selection	0.7392
KRG88568	Recent	0.036	Purifying_selection	0.8305
KRG88569	Recent	0.0431	Purifying_selection	0.8853
KRG88570	Recent	0.0192	Purifying_selection	0.5594
KRG88572	Recent	0.0302	Neutral	1
KRG88573	Recent	0.0374	Purifying_selection	0.5273
KRG88574	Recent	0.0302	Neutral	1
KRG88575	Recent	0.0645	Neutral	1
KRG88576	Recent	0.02	Purifying_selection	0.8764
KRG88578	Recent	0.0774	Neutral	1
KRG88579	Recent	0.0048	Neutral	1
KRG88580	Recent	0.0048	Neutral	1
KRG88581	Recent	0.0063	Neutral	1
KRG88582	Recent	0.0607	Purifying_selection	0.853
KRG88583	Recent	0.0221	Neutral	1
KRG88584	Recent	0.0232	Purifying_selection	0.9912
KRG88585	Recent	0.0643	Purifying_selection	0.3492
KRG88586	Recent	0.1674	Purifying_selection	0.8956
KRG88587	Recent	0.0309	Positive_selection	1.1124
KRG88591	Recent	0.012	Neutral	1
KRG88592	Recent	0.026	Neutral	1
KRG88593	Recent	0.0254	Purifying_selection	0.9231
KRG88594	Recent	0.1372	Purifying_selection	0.5559
KRG88595	Recent	0.1223	Purifying_selection	0.379
KRG88596	Recent	0.1101	Purifying_selection	0.7837
KRG88597	Recent	0.1542	Purifying_selection	0.0338
KRG88599	Recent	0.0232	Neutral	1
KRG88600	Recent	0.3145	Purifying_selection	0.7166
KRG88601	Recent	0.0176	Purifying_selection	0.4576
KRG88602	Recent	0.0327	Purifying_selection	0.9075
KRG88603	Recent	0.4172	Purifying_selection	0.5825
KRG88604	Recent	0.0848	Purifying_selection	0.7614
KRG88605	Recent	0.0286	Purifying_selection	0.411
KRG88606	Recent	0.0862	Purifying_selection	0.8783
KRG88608	Recent	0.0547	Purifying_selection	0.8953
KRG88609	Recent	0.0097	Neutral	1
KRG88610	Recent	0.0115	Neutral	1
KRG88611	Recent	0.0244	Neutral	1
KRG88612	Recent	0.0772	Neutral	1
KRG88613	Recent	0.0068	Neutral	1
KRG88614	Recent	0.0078	Neutral	1
KRG88615	Recent	0.0078	Neutral	1
KRG88616	Recent	0.0786	Purifying_selection	0.6309
KRG88617	Recent	0.0883	Purifying_selection	0.6304
KRG88618	Recent	0.0213	Neutral	1
KRG88620	Recent	0.0365	Purifying_selection	0.9283
KRG88621	Recent	0.1795	Purifying_selection	0.7747
KRG88622	Recent	0.127	Purifying_selection	0.6022
KRG88623	Recent	0.1043	Neutral	1
KRG88624	Recent	0.0074	Purifying_selection	0.2958
KRG88625	Recent	0.1627	Purifying_selection	0.7528
KRG88626	Recent	0.1501	Neutral	1
KRG88627	Recent	0.3445	Purifying_selection	0.5646
KRG88629	Recent	0.1596	Purifying_selection	0.3001
KRG88631	Recent	0.0567	Purifying_selection	0.6483
KRG88634	Recent	0.1113	Purifying_selection	0.2828
KRG88635	Recent	0.2391	Purifying_selection	0.7646
KRG88636	Recent	0.4643	Purifying_selection	0.5529
KRG88639	Recent	0.3631	Purifying_selection	0.4258
KRG88640	Recent	0.1464	Purifying_selection	0.2027
KRG88644	Recent	0.1114	Purifying_selection	0.5344
KRG88646	Recent	0.0397	Purifying_selection	0.8736
KRG88648	Recent	0.0843	Purifying_selection	0.5068
KRG88651	Recent	0.0864	Purifying_selection	0.405
KRG88656	Recent	0.0997	Purifying_selection	0.573
KRG88657	Recent	0.1604	Purifying_selection	0.5504
KRG88660	Recent	0.1776	Purifying_selection	0.381
KRG88661	Recent	0.1322	Purifying_selection	0.1965
KRG88664	Recent	0.1739	Neutral	1
KRG88666	Recent	0.0201	Purifying_selection	0.6457
KRG88667	Recent	0.1787	Purifying_selection	0.5842
KRG88669	Recent	0.2394	Purifying_selection	0.1119
KRG88670	Recent	0.2042	Purifying_selection	0.5013
KRG88671	Recent	0.1228	Purifying_selection	0.2269
KRG88672	Recent	0.0754	Purifying_selection	0.3433
KRG88681	Recent	0.0712	Purifying_selection	0.1425
KRG88684	Recent	0.1013	Purifying_selection	0.3146
KRG88688	Recent	0.0343	Purifying_selection	0.403
KRG88689	Recent	0.0852	Purifying_selection	0.4064
KRG88691	Recent	0.4917	Purifying_selection	0.1556
KRG88692	Recent	0.1097	Purifying_selection	0.3587
KRG88696	Recent	0.109	Purifying_selection	0.2626
KRG88698	Recent	0.0993	Purifying_selection	0.4047
KRG88708	Recent	0.0671	Purifying_selection	0.5557
KRG88716	Recent	1.1181	Purifying_selection	0.6004
KRG88717	Recent	0.1432	Purifying_selection	0.2468
KRG88719	Recent	0.1951	Purifying_selection	0.6722
KRG88723	Recent	0.2273	Purifying_selection	0.7018
KRG88725	Recent	0.0287	Purifying_selection	0.6352
KRG88726	Recent	0.4274	Purifying_selection	0.5999
KRG88727	Recent	0.1279	Purifying_selection	0.4245
KRG88728	Recent	0.1556	Purifying_selection	0.6077
KRG88729	Recent	0.1878	Purifying_selection	0.2666
KRG88730	Recent	0.0956	Purifying_selection	0.1998
KRG88732	Recent	0.3776	Purifying_selection	0.7371
KRG88733	Recent	0.318	Purifying_selection	0.0983
KRG88736	Recent	0.1648	Purifying_selection	0.4112
KRG88739	Recent	0.1665	Purifying_selection	0.4032
KRG88740	Recent	0.2157	Purifying_selection	0.408
KRG88741	Recent	0.131	Purifying_selection	0.3101
KRG88743	Recent	0.0586	Purifying_selection	0.4689
KRG88750	Recent	0.0932	Purifying_selection	0.6435
KRG88751	Recent	0.0945	Purifying_selection	0.2287
KRG88752	Recent	0.8198	Purifying_selection	0.3521
KRG88753	Recent	0.5289	Purifying_selection	0.3795
KRG88754	Recent	0.3126	Purifying_selection	0.4463
KRG88755	Recent	0.1234	Purifying_selection	0.3689
KRG88756	Recent	0.0586	Purifying_selection	0.7608
KRG88757	Recent	0.2989	Purifying_selection	0.1846
KRG88759	Recent	0.1238	Purifying_selection	0.4249
KRG88760	Recent	0.0906	Purifying_selection	0.3753
KRG88762	Recent	0.0508	Purifying_selection	0.5768
KRG88763	Recent	0.1393	Purifying_selection	0.7068
KRG88764	Recent	0.1677	Purifying_selection	0.2978
KRG88765	Recent	0.2117	Purifying_selection	0.2162
KRG88766	Recent	0.1523	Purifying_selection	0.2933
KRG88767	Recent	0.1576	Purifying_selection	0.1905
