gene1	gene2	ks	chrom	collinear
KRH74118	KRH74120	4.3689	1	True
KRH74121	KRH74123	3.4653	1	True
KRH74134	KRH74136	2.5912	1	True
KRH74162	KRH74179	2.2165	1	True
KRH74209	KRH74213	0.483	1	True
KRH74227	KRH74232	1.8239	1	True
KRH74246	KRH74248	0.1047	1	True
KRH74249	KRH74250	0.6338	1	True
KRH74292	KRH74294	1.5739	1	True
KRH74305	KRH74309	0.0175	1	True
KRH74307	KRH74308	0.3098	1	True
KRH74307	KRH74310	0.0273	1	True
KRH74307	KRH74313	0.3101	1	True
KRH74307	KRH74315	0.4432	1	True
KRH74307	KRH74321	0.33	1	True
KRH74307	KRH74325	0.3607	1	True
KRH74308	KRH74310	0.4157	1	True
KRH74308	KRH74313	0.3729	1	True
KRH74308	KRH74315	0.3892	1	True
KRH74308	KRH74321	0.0161	1	True
KRH74308	KRH74325	0.3647	1	True
KRH74310	KRH74313	0.3648	1	True
KRH74310	KRH74315	0.4262	1	True
KRH74310	KRH74321	0.4491	1	True
KRH74310	KRH74325	0.4193	1	True
KRH74313	KRH74315	0.3502	1	True
KRH74313	KRH74321	0.4027	1	True
KRH74313	KRH74325	0.3106	1	True
KRH74315	KRH74321	0.4187	1	True
KRH74315	KRH74325	0.3316	1	True
KRH74321	KRH74325	0.401	1	True
KRH74311	KRH74323	0.0145	1	True
KRH74311	KRH74326	0.2386	1	True
KRH74323	KRH74326	0.1436	1	True
KRH74312	KRH74324	0.1709	1	True
KRH74327	KRH74328	0.318	1	True
KRH74370	KRH74373	0.2036	1	True
KRH74390	KRH74391	2.1498	1	True
KRH74402	KRH74403	3.8875	1	True
KRH74406	KRH74407	3.0874	1	True
KRH74447	KRH74453	3.4478	1	True
KRH74447	KRH74454	3.2511	1	True
KRH74453	KRH74454	1.9849	1	True
KRH74456	KRH74457	0.9106	1	True
KRH74467	KRH74469	0.3596	1	True
KRH74467	KRH74473	1.1384	1	True
KRH74469	KRH74473	1.1125	1	True
KRH74506	KRH74508	0.4542	1	True
KRH74515	KRH74529	1.8502	1	True
KRH74540	KRH74552	4.3288	1	True
KRH74540	KRH74556	4.4167	1	True
KRH74552	KRH74556	2.6394	1	True
KRH74600	KRH74602	0.1418	1	True
KRH74626	KRH74632	1.724	1	True
KRH74626	KRH74636	2.0435	1	True
KRH74632	KRH74635	0.0471	1	True
KRH74632	KRH74636	0.0569	1	True
KRH74635	KRH74636	0.0559	1	True
KRH74638	KRH74640	0.3738	1	True
KRH74638	KRH74641	0.2348	1	True
KRH74638	KRH74642	1.3023	1	True
KRH74638	KRH74643	1.5535	1	True
KRH74640	KRH74641	1.7378	1	True
KRH74640	KRH74642	2.4712	1	True
KRH74640	KRH74643	2.4751	1	True
KRH74641	KRH74642	3.5185	1	True
KRH74641	KRH74643	2.1717	1	True
KRH74642	KRH74643	0.2884	1	True
KRH74651	KRH74653	0.6375	1	True
KRH74651	KRH74656	0.4662	1	True
KRH74651	KRH74657	0.6064	1	True
KRH74651	KRH74658	0.7122	1	True
KRH74651	KRH74659	0.6523	1	True
KRH74653	KRH74656	0.8454	1	True
KRH74653	KRH74657	0.4713	1	True
KRH74653	KRH74658	0.5722	1	True
KRH74653	KRH74659	0.515	1	True
KRH74656	KRH74657	0.7003	1	True
KRH74656	KRH74658	0.8836	1	True
KRH74656	KRH74659	0.6993	1	True
